82,85,3155
82,85,88,3066
82,85,91,3112
82,85,91,1757
82,85,88,91
82,85,88,1030
82,88,91,95
82,85,88,2122
82,85,91,411
82,85,88,535
82,85,91,535
88,91,252,2339
82,88,91,1254
88,91,2669,3284
82,85,91,248
82,85,91,2488
82,88,91,309
82,85,88,2876
82,85,91,252
82,88,91,3076
82,88,91,3066
82,85,91,3320
82,88,91,409
82,85,88,123
60,82,85,91
72,82,85,91
82,85,91,1336
85,88,91,2204
82,85,88,91,1383
82,85,88,91,745
60,85,91,1421,2572
82,88,91,1350,1601
82,85,88,91,2443
85,88,91,1354,2481
82,85,88,91,2793
82,85,88,2122,2861
82,85,88,91,2685
82,85,91,95,2572
85,88,91,248,2339
82,85,88,1479,2364
82,85,88,91,2289
82,85,88,91,2001
82,85,88,91,1219
82,85,88,91,2122
85,88,91,659,2309
72,82,85,91,1336
82,91,2122,2588,2707
88,91,1895,2317,3066
82,85,88,91,2364
82,85,88,91,535
82,85,88,478,2414
82,85,88,91,2763
82,85,88,1307,2996
91,1479,2441,2465,2940
82,85,91,1273,2339
82,85,88,91,2861
82,85,88,91,2452
82,85,91,248,2990
82,85,88,91,2717
82,88,91,309,861
82,88,91,524,786
82,85,91,2130,2669
85,88,91,409,2384
82,85,88,2876,2880
82,85,88,91,214
82,85,88,91,2874
82,85,88,218,1868
85,88,91,309,1865
82,85,88,209,2722
82,85,88,91,2586
82,91,1069,2095,2669
82,85,88,91,901
82,85,88,91,1804
82,85,88,91,2707
82,88,91,309,3066
82,88,91,409,1962
82,88,91,3069,3284
85,88,91,1575,1967
82,85,1336,1722,2763
82,85,91,1480,3021
82,85,88,2635,2905
82,85,88,218,932
82,85,88,1687,3066
82,85,88,91,2697
82,91,1070,1356,2001
82,85,91,248,1514
82,85,88,91,1915
82,85,88,91,459
82,85,1479,2441,2465
82,85,88,91,845
82,85,88,91,2013
82,88,91,309,1469
85,88,91,214,2572
82,85,88,91,3073
82,85,88,1967,2449
82,85,88,91,2929
82,85,91,252,2763
82,85,88,91,1208
82,88,91,309,1338
82,91,1358,2793,3309
82,85,88,1724,2905
82,85,88,209,1069
82,85,1910,2339,3155
82,85,91,861,3090
82,1338,1575,1967,2926
82,85,88,91,524
82,85,88,1029,1338
82,85,91,1575,2940
82,85,91,1938,2763
82,85,88,91,537
82,85,91,100,1177
88,248,1024,1070,1356
85,88,91,2095,3067
82,88,91,1358,2686
82,85,88,91,2850
60,82,85,88,91
60,82,85,91,101
82,85,88,123,2523
82,85,88,535,890
82,85,88,91,95
58,82,88,91,2763
82,85,91,836,1148
82,85,88,91,252
82,85,1757,1967,2763
82,85,88,91,2058
82,85,91,248,2825
82,85,88,91,602
82,85,88,91,2588
85,88,91,1421,2572
14,85,91,1311,2707
82,85,88,91,2192
88,91,892,2339,2763
85,88,91,1822,3009
82,85,88,91,1374
82,85,88,218,2763
82,85,88,91,1904
82,85,88,91,2578
85,88,91,135,1941
82,85,91,919,3112
82,85,88,91,196
82,85,88,2008,3280
82,85,88,91,2797
82,85,88,91,2388
70,85,88,123,2796
82,85,88,91,680
82,85,88,91,1354
82,85,91,892,2452
85,88,91,907,2694
82,88,91,1254,2013
82,85,88,91,3052
85,88,91,2681,2697
85,88,218,2763,2876
88,91,1479,2250,2874
82,91,1358,2309,3309
82,85,88,91,1177
82,85,88,91,3284
82,85,88,91,660
82,85,88,91,2996
85,88,91,901,1139
82,85,91,535,939
82,85,88,91,1576
33,82,85,88,2796
82,85,88,91,3009
82,85,88,91,1926
82,85,88,91,879
82,85,88,91,2456
82,85,88,1687,2717
82,88,606,1654,2669
82,88,91,1421,2963
82,85,88,91,218
82,85,88,91,3107
82,85,88,91,892
82,85,88,91,1157
82,85,88,91,2963
82,85,88,1790,2707
72,82,85,253,1336
82,85,88,91,1916
82,85,88,2669,2876
82,88,91,939,2707
82,85,91,2722,2948
82,85,88,91,2446
82,85,88,91,2940
85,88,91,2669,3284
85,88,91,2588,3067
82,85,91,505,1944
82,85,88,91,1520
82,85,88,91,2423
82,85,88,1242,2707
14,82,85,88,91
72,82,85,88,91
82,85,88,91,2315
82,88,91,2339,3155
82,85,91,1139,2058
82,88,91,2779,3054
82,85,88,521,2779
82,85,88,95,2793
82,85,88,1895,2317
82,85,88,91,836
82,91,409,1338,2058
58,82,85,88,91
82,85,88,91,3316
85,88,91,459,3069
88,91,109,535,1514
82,85,88,91,2125
14,85,88,91,2707
82,85,88,1557,2685
82,85,91,251,1477
85,88,1568,1687,2722
60,91,932,999,1479
82,85,88,91,2897
85,88,91,797,3054
82,85,88,91,309
85,91,248,1897,2707
82,88,91,1332,2572
82,85,88,91,3054
82,85,88,2001,3066
82,85,88,91,672
82,85,88,606,3073
85,88,91,1865,2763
88,91,209,2161,2795
82,85,88,91,2635
82,85,94,409,2414
82,85,88,91,505
82,88,91,2707,2940
82,85,88,91,1938
85,88,1350,1601,1724
82,85,88,91,253
82,85,88,91,1421
82,85,88,91,2095
88,91,1356,1514,3066
82,85,88,1915,2449
82,85,88,91,2481
88,91,2669,3069,3284
82,85,88,535,1676
82,85,88,91,616
82,88,91,101,1885
85,88,91,537,1865
82,85,88,91,2988
82,85,88,91,1941
82,85,88,91,629
82,85,88,95,3080
82,85,88,91,1388
82,85,91,948,2008
70,85,88,91,123
82,88,91,2717,2825
82,85,88,1307,2452
82,91,1070,2008,2058
82,85,88,2122,2722
82,85,91,252,309
82,88,91,1254,2940
82,88,91,1421,1885
82,88,91,209,2795
82,85,88,91,1885
85,91,1477,1967,2449
82,85,91,2446,2717
82,88,91,3069,3244
82,85,91,1070,2058
82,85,1358,2309,3309
82,85,88,91,3066
82,85,252,2339,3155
82,85,88,91,3043
85,91,535,1480,3021
80,82,85,88,91
88,91,535,1514,2940
91,1070,1356,1757,2058
82,85,91,2825,2940
82,85,88,91,1708
82,85,91,1915,3313
82,85,88,91,1479
82,85,91,1311,3284
82,85,88,91,1070
82,85,88,91,432
82,85,88,535,939
82,85,88,91,1865
85,88,91,524,1562
82,88,91,2122,2707
85,88,91,1479,3066
82,85,88,91,409
82,85,88,91,903
82,85,88,91,939
82,88,91,1882,2707
85,123,2523,2796,2861
82,91,2355,2588,2717
82,85,91,248,2707
82,88,91,772,2963
82,85,88,91,3108
14,85,91,248,2707
82,85,88,356,1182
82,85,88,91,2339
82,85,88,1182,2572
82,85,88,91,1292
82,85,88,91,1148
82,85,88,91,101
85,88,91,309,2125
82,85,88,948,2876
82,85,88,91,3111
85,91,2130,2411,2669
82,85,91,95,1421
82,85,88,91,3232
82,85,88,91,2414
14,82,85,2339,3155
82,85,88,91,1897
82,85,88,91,2800
82,85,91,2339,3155
82,85,88,91,1488
82,88,91,890,2279
82,88,91,861,3011
82,85,88,91,2669
82,85,88,1724,2956
82,85,88,91,948
82,85,88,1724,1909
82,85,88,91,1069
82,85,88,91,2008
82,85,88,91,1599
85,88,91,1070,2058
82,85,88,1897,2717
82,91,95,906,1514
82,88,91,409,2058
82,85,88,2669,3066
82,88,91,1358,1919
82,85,88,91,2384
60,85,91,1336,1687
85,88,123,2523,2796
82,85,88,91,1687
82,85,88,445,2481
82,85,88,91,411
85,88,1336,1865,2796
82,85,88,215,1242
82,85,88,91,123
82,85,88,485,2414
82,85,88,91,1700
82,85,88,91,100
82,85,91,248,903
82,85,88,2717,3244
82,85,91,251,1029
82,88,91,2861,3244
82,85,88,91,2449
82,85,88,91,234
82,88,91,932,2707
82,88,91,1358,3309
82,85,88,91,1029
82,85,88,91,1932
82,85,91,1215,2874
82,85,88,91,1909
82,88,91,1599,2481
82,85,88,91,2848
88,91,248,1691,2339
82,85,88,91,3234
82,85,88,91,2825
82,85,88,91,3090
82,85,88,1804,2588
85,123,586,2523,2796
82,85,88,2013,2963
82,85,88,91,852
82,85,91,209,2795
82,85,88,91,2815
82,85,88,91,191
82,85,91,411,836
82,85,88,1338,1961
85,88,94,409,2384
82,85,88,91,1480
82,85,88,91,2154
82,85,88,462,606
85,88,91,1273,2384
82,85,88,91,1336
82,85,88,786,3066
82,88,91,1070,2058
82,85,88,91,3011
82,88,1790,2669,3062
82,85,88,91,1182
80,82,85,88,890
82,85,88,91,2880
82,85,88,91,786
82,85,88,91,907
82,85,88,91,2075
58,82,85,91,2122
82,85,88,91,1967
82,85,88,680,906
82,85,88,91,2317
82,88,91,901,2996
82,85,88,91,1944
82,85,88,91,3112
82,85,88,1354,2001
82,88,91,1421,2572
82,85,88,91,1139
82,88,1070,1961,2008
82,85,88,91,2572
82,85,88,91,478
82,85,88,91,1273
14,82,85,88,2697
82,85,88,91,3079
82,85,91,1336,1687
82,88,91,2707,2988
82,88,91,535,2572
82,85,88,91,3069
82,85,88,91,1757
82,85,88,91,2660
82,85,88,91,445
82,85,88,91,2516
91,248,1070,1356,2339
82,91,209,409,2424
85,88,91,1865,3066
82,85,88,91,1469
82,1070,1139,1356,2001
88,91,2130,2411,2669
82,88,91,907,2694
82,85,91,1332,2586
82,85,88,91,1338
82,88,91,2686,3076
82,85,88,91,1315
82,88,91,1757,3111
60,82,85,91,2996
82,85,88,252,3232
82,85,88,91,1557
82,85,91,1311,2001
82,88,91,1273,3011
82,85,88,91,2905
82,85,88,91,1822
88,91,2339,2763,2906
85,88,91,2653,2796
82,88,91,478,2669
82,88,91,2031,3112
82,85,88,91,1547
82,85,88,252,2669
82,85,88,91,356
82,85,88,91,1030
82,85,88,2660,2988
82,85,91,2779,3234
82,85,88,91,248
82,85,88,1601,3066
82,88,91,1823,1967
82,85,91,524,1421
82,88,91,1915,1941
82,85,88,91,611
85,88,91,1356,2825
82,85,88,91,1514
82,85,91,672,1148
82,85,88,91,3091
82,85,88,91,2309
82,85,91,101,1336
82,85,88,606,2122
85,88,1479,2465,3066
82,85,88,91,2021
82,85,88,91,2122,2793
60,88,91,109,1514,2423
82,85,91,409,478,2409
82,91,1070,1356,2339,2940
85,88,91,1568,1687,2722
82,85,88,91,1077,2095
82,85,88,524,672,1139
88,91,209,2161,2795,2940
82,91,1338,1479,1967,2465
72,82,85,91,1336,1615
82,91,478,578,1070,2058
82,85,88,91,1350,2267
60,82,85,88,769,2996
85,88,1242,1904,2669,3155
85,88,91,1350,1601,1757
82,85,88,535,890,2763
82,85,91,478,1336,1722
82,85,94,409,485,2414
82,85,88,91,2355,3111
82,85,88,91,2588,2904
82,85,88,91,478,3073
82,85,88,91,1967,2449
95,478,505,1944,2058,3021
88,91,478,1070,1356,1514
82,85,88,91,1350,3160
85,88,91,101,1967,3111
82,88,91,309,892,3066
60,82,85,91,1336,2339
82,91,2669,2940,3080,3288
82,88,91,478,1070,1356
82,85,88,91,209,2795
60,82,85,88,101,999
82,91,1070,1356,2746,2763
82,85,88,606,2339,3155
82,88,91,836,1967,2996
88,91,409,486,939,2058
85,88,91,1477,1967,2449
60,85,88,91,1254,2588
82,85,88,91,1070,1231
82,88,91,1967,2854,2996
82,88,181,478,1575,1790
82,85,1070,1350,1356,1757
82,85,88,91,1504,2897
82,478,1190,1575,2996,3066
82,85,88,91,1338,1961
91,248,1356,1779,2339,2746
85,88,2355,2940,3066,3171
82,85,88,91,356,1757
82,85,88,91,2588,2717
82,85,88,91,1757,2825
82,85,88,91,1514,3067
82,85,91,218,2219,2317
88,91,892,2763,2906,3171
82,91,1576,2588,2825,2948
60,82,85,88,1421,1557
82,91,1338,1477,1967,2926
82,85,91,1307,2996,3066
82,88,91,478,1070,1421
82,85,88,1139,1961,2424
82,85,88,91,2578,3066
82,85,91,1390,1557,2588
85,88,91,214,2572,2763
88,91,1350,1757,2031,2669
82,85,88,91,836,1947
82,85,88,91,411,836
85,88,91,1350,1576,1601
72,88,91,496,1336,1757
82,85,88,91,356,919
82,88,91,329,901,1941
82,85,91,1757,2058,2169
85,91,535,1480,1587,3021
82,85,88,91,892,2339
85,88,91,1070,1356,2339
60,82,85,91,1480,3021
82,85,91,95,1480,3021
85,88,91,478,1514,2423
82,85,88,91,2008,3280
82,85,91,2572,2763,2940
82,91,95,253,1338,2465
82,85,91,1514,2861,3299
82,85,88,91,95,3073
82,88,91,535,1378,2481
82,91,1575,1967,2996,3066
