82,85,1221
82,85,2185
85,88,91,178
82,85,88,91
82,85,88,477
85,88,91,2372
82,85,91,1880
82,85,91,1869
82,85,91,1682
82,88,91,383
82,85,91,326
85,88,254,3169
82,88,91,3294
82,85,91,1176
85,88,91,3094
82,85,91,616
82,85,88,3294
82,85,1091,2143
82,88,91,180
19,82,85,88
85,88,91,1972
85,88,91,616,1199
88,91,1004,1062,1941
82,85,91,616,1880
82,85,88,91,1131
85,88,91,968,1628
82,85,88,91,169
82,85,88,1327,1988
82,85,88,469,1176
82,85,88,91,2276
85,88,91,383,1131
82,85,88,91,326
85,88,91,1983,2000
85,88,91,1547,2372
82,85,88,91,712
82,85,88,91,1327
82,85,88,91,3169
82,85,88,91,954
82,85,88,91,2760
82,85,88,91,3025
82,88,91,247,2506
82,85,88,91,3290
82,85,88,223,822
88,202,1603,1983,3233
82,88,91,383,1131
88,764,968,2576,3150
19,85,88,91,2337
85,88,91,1652,1988
82,85,91,1603,2255
85,88,91,1745,2337
85,88,1091,2863,3255
85,88,91,1297,1652
82,85,88,91,1559
82,85,88,91,247
82,85,88,91,1595
82,85,88,91,2763
82,85,88,91,3028
85,91,686,1199,1609
82,85,88,91,633
82,85,88,91,2884
82,85,88,91,3270
85,88,91,1872,1958
82,85,88,91,1176
85,88,91,2255,2900
85,88,91,1522,1966
82,85,88,91,1297
82,85,88,91,2874
82,85,88,91,250
85,88,91,2000,2242
82,88,91,1966,2421
82,85,88,91,3260
82,85,91,1520,1791
82,85,91,617,1880
82,85,88,930,3255
82,85,88,91,613
82,85,88,889,2844
82,85,88,91,469
82,85,88,91,2576
82,85,88,91,1758
82,88,91,1533,2794
82,85,88,91,482
9,82,85,88,91
85,88,91,1758,2954
82,85,91,2884,2950
85,88,91,469,1280
82,85,88,91,1375
85,88,91,712,3258
82,85,88,91,1869
82,85,88,1702,3077
82,85,88,91,2255
82,85,185,1323,1547
82,85,88,91,1100
82,85,88,91,1221
82,85,88,91,1486
82,85,91,185,1639
82,85,88,91,910
82,85,88,91,1440
82,88,91,560,2320
85,88,1888,1899,2926
82,85,88,91,1188
82,88,91,2337,3150
82,85,88,91,1682
85,88,91,1473,3169
85,88,91,2421,2800
85,88,91,720,2000
82,85,88,444,2372
82,88,499,1117,1639
82,85,88,91,383
85,91,1941,1983,3238
82,85,88,91,3249
82,85,88,91,1299
82,88,91,499,1639
82,88,91,247,1009
82,85,88,91,2058
82,88,91,471,3153
82,85,88,91,1914
82,85,88,91,229
82,91,517,1676,2694
82,85,91,223,2372
82,85,88,91,2421
82,88,91,261,1199
82,85,88,91,736
82,85,88,91,1639
82,85,88,91,1904
82,85,88,91,1652
82,85,91,719,1595
82,85,88,91,1508
88,91,2337,2372,2943
85,88,91,180,3238
88,91,1872,1941,3238
82,85,88,91,1894
82,88,91,258,481
