166,181
70,185
10,31
37,109
49,73
48,70
58,185
115,161
10,45
10,166
109,181
41,144
11,106
31,182
46,59
76,166
136,161
54,77
10,47
161,183
69,185
69,175
46,84
10,200
46,136
10,69
44,183
41,70
35,111
41,47
70,190
115,197
36,200
106,115
41,112
161,185
64,108
126,181
8,49
37,61
44,185
37,38
44,162
162,185
10,136
161,197
70,136
46,183
24,136
1,8
41,48
59,74
106,139
49,112
161,186
70,161
144,185
22,115
41,106
10,95
44,65
106,161
109,185
21,183
48,177
106,108
8,108
73,186
159,185
10,185
10,41
12,44,117
7,48,70
41,103,134
53,161,183
29,36,102
41,47,48
46,49,147
41,48,49
37,113,158
46,70,183
70,161,183
41,49,120
42,70,87
87,102,113
83,181,185
36,41,70
166,169,181
46,49,58
6,92,109
10,46,83
10,46,181
109,144,182
166,183,194
70,91,159
47,82,113
46,166,181
7,101,166
47,49,69
12,117,181
41,161,183
49,94,181
48,70,185
4,46,181
44,61,110
49,109,181
58,143,161
20,69,70
40,49,185
58,70,189
46,90,185
4,10,166
42,47,87
33,115,183
48,49,194
10,41,48
49,70,147
7,136,166
87,94,110
55,70,185
144,181,185
41,161,185
10,48,153
22,87,197
47,70,185
46,70,98
10,49,69
10,41,70
10,46,185
53,70,161
35,136,166
4,10,47
90,166,181
44,82,102
46,67,181
41,47,185
69,133,197
70,102,127
30,69,183
46,158,181
6,58,147
20,70,87
10,24,49
87,109,110
10,115,181
46,69,196
58,143,185
10,37,94
31,109,181
46,80,183
36,41,53
58,154,189
36,48,70
36,161,189
41,48,185
9,89,131
10,22,49
41,70,194
109,113,178
70,124,185
46,90,166
54,131,193
46,58,70
13,102,145
41,70,161
29,36,185
10,166,181
160,181,185
10,70,185
58,70,114
35,115,136
47,48,70
10,108,166
46,69,185
10,47,48
47,49,127
32,44,166
10,49,70
58,117,147
47,70,153
61,87,110
36,115,183
10,32,106
41,112,185
35,79,166
41,48,56
106,136,166
49,70,127
10,41,185
48,49,56
44,46,58
10,70,197
10,94,182
10,47,70
10,158,166
46,90,158
47,49,185
10,90,166
136,166,181
166,181,185
33,161,198
47,48,49
10,46,90
10,32,128
10,46,67
22,151,187
57,87,158
27,29,89
161,183,194
49,70,185
69,70,185
36,54,89
25,70,117
58,105,147
41,70,185
47,112,147
36,56,200
87,109,113
47,70,102
7,10,120
37,87,94
19,140,166
38,80,121
38,70,112
58,98,161
49,142,185
47,48,185
7,46,166
10,144,181
10,49,185
10,46,49
16,24,44
47,112,149
44,82,87
82,102,104
41,47,49
10,31,94
46,101,136
47,82,102
7,10,24
12,166,181
70,118,200
46,70,161
115,183,189
9,54,193
31,139,186
10,115,166
10,131,151
46,58,76,166
22,41,106,161
41,133,134,198
41,144,162,166
41,44,162,166
28,46,84,112
41,69,117,185
49,85,147,200
11,70,106,185
10,41,47,48
41,44,65,115
41,64,108,194
28,46,112,119
70,115,153,194
44,46,181,185
70,106,161,185
10,22,70,115
10,36,41,185
10,36,161,186
36,152,159,161
10,41,70,161
10,22,166,181
10,43,115,161
41,49,85,147
21,85,166,200
36,41,49,85
10,54,95,151
1,8,49,90
10,24,136,181
22,41,137,161
10,69,134,198
106,108,166,194
21,41,172,183
49,142,147,185
89,106,139,166
10,41,47,70
46,70,158,161
22,70,115,161
40,41,48,185
41,159,167,185
10,22,70,137
11,106,161,185
11,58,70,161
10,48,49,134
36,41,75,147
70,125,137,161
39,47,112,139
59,74,166,185
10,46,136,158
28,84,108,166
62,106,139,166
11,58,106,185
10,73,94,186
49,70,112,185
62,108,139,166
106,159,185,186
46,70,136,190
41,44,144,162
10,109,185,186
10,41,47,49
22,41,70,104
14,41,134,185
70,161,183,190
152,159,161,185
10,83,160,166
10,115,126,158
41,47,49,112
70,159,161,185
70,136,183,190
46,144,177,181
10,70,158,159
47,60,70,185
10,68,181,185
41,70,106,115
41,70,161,185
34,59,166,181
10,22,70,161
89,106,166,188
22,41,47,104
34,46,59,181
74,160,166,185
41,54,70,77
10,70,115,197
70,106,136,159
44,46,166,185
36,41,85,200
10,146,170,181
10,36,70,107
28,112,113,119
99,104,166,181
10,22,41,166
58,59,166,181
70,89,161,197
10,41,47,142
41,50,112,166
54,107,151,186
37,38,109,181
41,54,77,185
70,150,161,186
2,28,83,166
22,43,70,161
36,87,117,185
10,49,69,175
28,49,108,113
109,117,181,185
10,22,115,161
106,115,161,197
7,8,49,90
76,89,139,166
41,44,144,185
10,70,106,197
41,63,94,109
10,22,47,104
49,109,181,185
46,161,183,190
62,106,108,139
6,48,118,177
36,41,49,70
46,136,183,190
22,47,70,104
41,48,70,77
18,106,150,186
41,70,77,185
10,31,41,182
10,41,50,89
41,70,106,161
10,70,131,191
1,7,8,49
10,32,49,69
10,49,112,142
41,106,159,185
58,106,161,185
41,108,166,194
2,21,28,83
10,43,70,115
46,108,183,198
10,22,95,131
49,61,73,109
11,58,161,185
10,94,115,158
44,76,163,182
41,144,162,185
6,37,109,176
10,45,115,158
31,63,94,182
41,106,108,166
74,83,160,166
58,166,195,197
72,117,147,185
10,69,134,185
94,126,173,181
26,46,58,181
10,35,111,166
44,144,166,185
41,47,89,166
11,70,106,161
61,109,138,161
10,35,111,169
8,49,90,108
