11,92
77,176
7,174
7,187
66,106
15,112
156,165
47,127
174,199
93,101
86,176
4,101
92,106
64,75
101,199
94,173
174,192
106,127
56,116
11,174
80,122
73,174
65,119
20,79
31,176
127,199
7,162,192
86,106,147
86,106,179
86,106,159
7,49,174
148,182,189
94,107,112
7,20,174
101,187,199
86,147,175
101,106,191
147,195,199
24,106,147
57,86,195
7,127,174
147,174,195
74,112,126
48,86,174
86,195,199
26,92,176
11,120,123
47,174,192
58,186,195
92,123,149
10,141,176
82,165,176
7,86,191
86,123,174
46,50,86
92,174,176
18,92,112
38,175,195
174,176,195
18,112,167
101,165,179
106,112,175
86,101,174
56,66,116,191
86,90,106,179
47,101,127,175
10,148,174,192
86,175,176,195
11,39,146,176
11,86,105,176
11,86,127,176
66,101,106,174
4,16,101,127
15,112,174,195
7,101,106,199
18,31,86,176
11,86,105,123
7,75,115,194
7,56,66,116
86,127,175,199
21,64,75,92
82,106,176,199
42,86,174,199
16,18,42,86
55,94,112,173
18,93,101,176
42,86,127,199
16,18,101,126
11,174,176,195
66,79,106,191
47,106,176,194
86,107,112,174
165,174,175,176
92,106,127,174
11,26,65,143
11,105,112,176
7,112,175,192
1,175,176,194
11,18,86,117
79,106,174,199
61,101,194,199
36,86,126,175
11,73,86,195
11,26,101,156
31,126,148,176
53,101,147,199
8,86,101,147
39,117,146,176
7,69,115,165
97,156,176,188
7,86,174,182
86,106,123,176
20,21,48,194
64,101,174,199
73,175,195,199
11,112,120,123
11,64,75,101
174,175,176,199
7,20,73,174
86,174,175,195
4,7,101,187
53,64,86,199
42,101,174,199
101,106,127,174
112,156,165,194
106,112,124,165
7,66,86,199
26,103,165,179
101,154,174,175
25,106,123,174
26,103,106,184
11,25,92,174
77,101,147,176
7,106,160,174
7,86,101,191
80,122,146,195
7,60,165,194
11,71,123,176
165,174,176,199
18,57,86,183
11,73,176,195
94,120,123,176
65,86,119,192
86,174,191,199
106,128,174,176
20,79,101,191
86,146,176,195
15,86,112,195
82,101,165,174,176
64,147,174,175,199
80,86,101,110,195
47,102,106,147,174
64,86,174,195,199
106,147,176,195,199
20,101,106,174,191
11,39,57,86,163
106,147,174,176,195
38,85,101,175,195
11,47,65,123,176
46,50,73,86,199
90,100,112,123,174
26,81,92,112,176
10,18,105,112,176
47,86,106,174,175
106,147,175,195,199
10,39,92,167,181
73,147,176,195,199
10,11,92,112,176
58,86,100,186,199
101,147,165,179,189
7,112,165,175,194
101,106,174,175,199
10,11,25,141,176
17,89,101,175,199
11,25,120,123,176
106,162,174,175,179
11,18,112,167,181
47,65,71,174,192
101,106,147,174,195
7,10,49,174,192
5,11,16,86,189
17,62,101,127,175
26,101,106,175,179
24,86,106,147,175
10,76,86,112,174
18,92,112,167,176
11,101,108,156,174
139,140,164,174,187
86,101,106,147,195
25,106,174,175,176
24,106,147,174,176
11,22,139,142,174
88,106,120,123,174
31,57,126,146,176
24,68,101,106,175
10,11,65,141,176
86,94,107,112,176
101,106,165,174,176
82,92,127,174,176
11,65,71,123,174
11,86,112,123,174
39,51,122,147,183
92,101,132,176,194
139,156,164,174,187
50,86,108,156,174
7,20,86,174,191
86,101,147,174,195
47,106,175,176,188
101,106,174,187,191
76,90,92,106,123
10,11,18,92,176
20,40,101,127,174
106,147,165,175,176
21,47,76,127,139
11,46,50,101,108
18,86,131,148,195
92,106,176,188,199
20,48,66,86,174
11,74,86,148,195
7,86,162,174,192
92,106,165,176,194
10,49,112,174,192
33,92,101,106,199
86,101,174,175,188
86,101,174,176,188
22,28,125,154,174
68,101,174,175,176
17,86,174,195,199
22,101,102,125,154
25,86,94,120,176
86,101,106,147,175
81,112,123,149,165
7,20,101,174,199
92,101,106,176,194
92,106,162,175,194
92,123,149,156,165
84,86,120,123,176
20,148,174,182,189
18,85,101,165,190
74,112,126,148,195
86,106,162,174,179
86,101,174,186,199
7,106,112,165,175
106,165,174,176,194
47,92,127,174,176
24,86,106,174,175
18,92,112,167,181
58,86,100,174,199
16,46,63,86,189
24,68,86,147,174
25,86,106,159,176
7,86,106,191,199
50,108,156,176,199
86,101,174,187,199
86,101,106,175,191
86,94,123,156,176
7,40,101,127,174
86,106,176,195,199
86,147,174,176,195
18,57,86,101,195
50,108,156,174,176
92,101,106,165,194
72,86,101,174,176
58,86,101,186,195
10,18,86,105,176
26,81,123,149,165
11,47,86,157,174,176
50,73,101,174,176,195
7,10,86,112,175,192
11,86,101,127,174,199
86,161,174,175,179,199
10,64,86,112,162,174
92,106,127,165,174,176
26,103,106,112,179,184
33,68,75,92,101,156
47,101,127,129,174,176
66,79,86,101,106,191
11,64,73,174,195,199
11,25,26,65,143,146
11,71,88,123,174,176
7,20,66,79,86,199
7,26,103,112,165,179
16,52,92,101,165,194
7,20,66,79,101,191
42,86,127,174,176,199
86,101,127,175,176,199
10,86,112,148,162,174
25,86,106,112,175,179
21,64,75,92,101,174
47,71,86,120,176,196
47,92,101,106,127,174
31,86,101,126,148,176
7,25,106,160,174,179
11,47,86,127,156,174
11,88,120,123,176,192
47,92,165,174,176,199
7,26,56,106,116,191
18,31,57,96,148,176
73,101,154,174,175,199
8,101,147,176,195,199
86,90,106,112,159,179
15,106,107,112,174,195
64,73,86,174,175,176
11,86,101,174,175,195
7,54,86,101,121,191
101,106,161,179,191,199
86,106,112,120,123,176
15,107,112,174,176,195
7,98,112,174,179,192
7,56,66,101,116,191
11,86,175,176,195,199
7,56,66,165,184,191
61,82,101,174,194,199
7,92,115,162,165,194
75,106,165,174,194,199
105,112,120,123,174,176
7,86,98,112,174,175
75,92,165,174,194,199
64,86,174,176,195,199
7,20,73,79,86,174
86,101,127,174,175,199
11,42,86,127,176,199
86,106,107,112,176,195
7,66,101,106,174,199
11,73,86,101,174,195
7,20,86,174,182,191
7,10,64,144,162,174
80,101,122,146,176,195
104,105,134,165,176,188
47,63,65,86,157,174
106,107,128,174,176,195
22,92,101,174,175,199
11,18,39,86,101,117
86,101,161,174,175,195
16,69,92,162,165,194
39,69,123,132,156,194
7,60,101,165,175,194
7,61,101,106,174,199
11,18,86,101,146,176
16,69,75,115,162,165
18,39,86,101,122,146
11,64,73,86,176,195
11,86,112,123,156,181
16,71,85,92,136,176
86,105,112,120,123,192
7,20,73,79,174,191
7,61,82,106,127,194
11,50,73,174,195,199
65,86,119,174,176,192
47,86,119,123,176,192
97,101,156,175,176,188
105,112,123,156,176,181
11,16,31,52,86,101
47,86,101,156,175,176
11,86,112,126,176,192
11,73,101,175,176,195
11,73,86,175,176,195
4,7,16,101,127,194
52,77,101,127,165,176
7,20,86,174,191,199
11,18,39,117,146,176
11,86,105,120,174,192
11,112,120,123,156,181
73,174,175,176,195,199
18,31,57,96,101,146
25,90,94,120,123,176
26,31,57,101,121,176
64,73,86,174,176,199
77,91,165,172,174,176
42,86,101,127,176,199
15,86,106,107,112,195
11,42,101,127,174,199
10,64,144,148,174,192
11,64,73,101,174,195
46,86,89,101,148,191
11,21,92,123,174,176
11,25,26,57,146,176
56,103,112,165,179,184
11,127,156,175,176,199
64,86,101,174,176,199
11,73,101,154,161,174
7,20,56,86,101,106
16,18,42,93,101,176
17,73,86,87,176,195
86,101,156,175,176,199
11,73,86,174,176,195
20,56,86,101,106,191
7,56,66,106,116,191
78,86,90,106,159,162
7,78,106,112,159,174
66,79,101,106,174,199
73,101,174,176,195,199
1,16,92,101,127,165
11,64,86,174,175,195
16,18,42,86,147,176
11,21,25,92,174,176
11,16,18,31,101,126
21,75,91,92,101,176
73,86,101,174,175,176
86,101,174,175,195,199
47,101,127,174,175,199
11,39,101,122,146,176
18,31,86,101,126,176
7,20,66,79,86,174
7,82,127,165,174,199
7,60,101,165,184,194
11,47,127,175,176,199
18,106,112,124,162,165
11,105,112,120,174,176
7,44,46,50,86,101
11,39,86,146,176,195
11,73,101,175,195,199
11,105,120,123,156,174
18,31,39,57,86,183
101,106,165,179,191,199
7,106,159,165,174,179
21,31,47,106,175,199
92,165,174,175,176,194
26,36,86,101,126,175
24,50,148,174,189,195
11,47,86,105,123,174
7,16,69,92,115,165
11,71,88,123,174,196
11,16,18,86,101,148
11,86,101,127,174,176
11,86,105,120,123,174
26,56,112,162,179,184
73,86,174,176,195,199
11,26,36,101,126,156
11,86,112,120,123,181
1,106,165,175,176,194
26,80,101,156,175,188
47,92,101,106,165,175
16,18,86,101,126,176
15,86,106,107,112,176
75,101,165,172,176,195
7,20,73,86,174,191
16,18,85,106,127,165
20,66,101,106,174,199
26,103,162,165,179,184
4,7,86,101,106,187
53,64,86,175,176,199
7,16,101,106,165,194
66,86,101,106,191,199
11,42,127,174,176,199
86,101,174,175,179,191
33,68,75,92,101,165
90,94,106,112,120,176
11,64,73,174,176,195
8,39,58,147,195,199
86,105,112,120,123,174
71,86,120,123,174,176
92,106,127,165,174,175
25,106,112,120,123,174
20,56,101,106,153,193
8,86,101,106,147,195
101,165,179,184,191,194
11,86,105,120,123,176
11,31,57,86,146,148
11,21,25,92,174,180
4,7,20,101,191,199
15,86,107,112,174,195
1,92,101,106,165,176
11,64,86,101,195,199
36,80,97,101,175,176
20,21,48,57,70,194
47,106,165,176,194,199
11,86,154,161,195,199
47,101,127,165,194,199
47,86,123,174,176,192
11,64,101,175,176,195
53,86,101,147,175,199
47,82,106,176,194,199
11,47,101,156,175,176
90,92,112,162,165,171
6,73,86,101,148,191
64,73,86,176,195,199
77,91,101,147,176,195
1,92,106,174,175,194
86,106,161,174,179,191
11,112,120,123,156,176
16,57,86,93,148,176
20,55,94,112,173,174
11,64,86,175,195,199
16,18,57,147,148,176
7,86,90,112,159,174
7,26,106,153,191,193
20,79,101,106,174,199
11,42,86,127,174,176
7,86,112,144,148,162
11,50,64,86,101,199
31,57,96,126,148,195
11,21,64,75,101,176
64,73,86,175,195,199
39,112,123,156,165,194
90,106,112,124,138,171
7,86,101,174,175,179
7,16,75,115,165,194
44,50,86,89,148,191
