71,198
137,198
73,91
8,65
39,65
90,91
95,137
62,73
65,141
90,96
137,139
29,154
11,31,33
91,109,129
1,33,65
4,73,145
9,91,140
62,91,196
9,55,73
72,172,196
66,95,137
90,107,154
31,154,198
90,151,196
71,73,90
73,91,137
65,154,198
102,129,165
8,33,62
33,91,96
73,91,139
25,65,73
91,95,198
33,62,80
65,154,182
33,62,91,95
62,71,90,198
2,33,73,128
62,65,90,135
62,65,71,91
42,62,90,165
62,90,91,95
35,71,95,198
2,8,65,91
44,65,137,198
33,65,95,137
62,65,72,198
39,55,65,196
29,65,90,141
65,71,90,137
95,121,137,193
73,82,137,198
62,65,137,139
42,62,73,91
39,62,65,198
35,62,90,91
91,165,193,198
42,62,73,139
62,90,137,196
42,65,73,91
33,56,90,96
28,33,65,180
90,91,159,189
14,31,40,62
33,60,73,132
9,65,90,116
28,29,90,154
6,65,73,95
91,129,137,198
2,65,137,165
31,95,126,129,198
33,69,73,133,198
36,65,154,182,198
31,73,93,154,198
19,38,42,91,137
19,54,65,106,198
33,91,95,96,137
1,33,54,71,80
71,73,115,144,154
31,91,109,129,137
25,65,86,101,138
31,91,108,126,198
21,33,62,73,178
17,33,62,80,141
9,11,55,65,73
42,96,137,166,193
31,33,72,90,165
22,42,62,65,95
25,73,91,139,196
19,55,62,71,137
71,73,90,91,198
1,33,65,80,198
65,72,90,91,198
72,90,98,182,198
55,62,65,91,103
65,72,90,91,165
72,90,172,175,196
33,65,71,91,198
65,71,95,145,198
33,62,91,137,193
33,65,73,90,141
21,62,73,91,198
33,50,55,65,73
28,36,65,154,182
20,91,137,157,198
19,28,65,80,127
65,90,151,196,198
33,50,55,71,73
11,31,33,65,93
33,53,65,73,183
8,9,31,91,140
41,42,73,90,91
33,45,55,73,154
62,71,73,96,188
19,71,137,139,196
39,42,62,71,172
9,31,42,55,84
4,55,73,91,145
31,91,95,126,198
65,71,91,95,198
62,71,95,96,198
65,90,91,137,196
42,65,139,154,198
31,62,65,137,198
31,62,72,91,196
91,102,129,165,184
71,90,91,95,193
33,65,71,145,200
33,65,72,108,137
3,33,73,91,137
8,33,62,91,95
33,62,65,71,91
62,65,71,73,137
1,33,62,71,141
31,55,90,107,154
31,33,131,137,193
1,11,31,62,95
13,31,73,137,150
25,65,73,86,138
48,62,91,196,198
33,66,72,95,137
65,71,73,90,91,188
31,33,65,72,76,90
71,73,90,95,193,198
33,56,62,71,90,96
90,91,137,159,189,198
9,60,73,82,137,198
9,28,33,65,132,180
19,91,105,138,191,196
62,65,73,137,138,196
39,55,65,73,137,196
1,17,56,65,73,198
39,62,65,90,137,198
42,62,71,73,90,138
1,56,60,62,73,198
1,65,71,73,141,154
12,62,65,90,135,138
42,65,66,71,90,139
33,49,95,98,165,198
12,55,65,71,135,137
9,28,33,65,73,198
33,62,65,72,95,137
19,20,90,91,196,198
62,71,91,137,184,196
28,33,60,73,132,198
62,90,91,95,156,198
16,73,87,90,162,198
42,62,65,71,90,91
8,41,42,65,71,186
42,91,137,165,193,198
20,31,33,35,90,137
65,71,90,91,95,137
39,42,65,91,138,196
9,15,73,132,154,192
6,33,45,55,90,122
42,62,65,73,90,139
9,33,60,65,154,180
42,51,62,96,115,198
9,15,33,132,192,198
71,91,129,137,152,198
42,62,71,73,91,135
8,33,53,73,91,176
33,62,71,89,90,198
2,31,44,62,72,198
2,65,72,90,137,165
33,44,65,72,137,198
62,65,73,90,91,95
35,40,61,62,90,91
9,11,65,90,116,154
39,55,65,172,187,196
19,33,48,72,137,198
42,62,90,91,95,165
60,73,82,90,137,154
30,33,65,72,90,198
62,73,89,95,124,188
55,73,90,91,95,137
19,33,42,69,90,137
33,42,65,73,91,95
71,90,95,121,137,193
39,72,80,132,138,196
22,33,62,90,91,137
42,62,71,80,139,141
90,91,95,137,165,193
22,33,42,73,90,95
19,65,71,90,91,196
9,33,41,65,74,107
39,62,65,72,88,138
33,66,73,95,188,198
35,62,90,91,137,198
62,90,120,137,138,196
2,31,65,90,137,198
2,8,9,31,65,91
1,28,29,33,90,154
2,33,73,107,128,137
33,42,91,126,137,152
42,65,73,138,139,198
33,62,65,72,129,198
28,33,132,154,192,198
42,73,90,120,138,196
1,8,33,40,62,86
62,65,71,90,196,198
62,71,80,90,139,196
14,31,40,62,65,165
9,28,33,65,73,74
31,65,72,90,95,175
12,55,62,65,73,196
11,65,93,116,165,198
6,65,71,73,95,137
2,31,33,73,91,198
33,42,62,90,91,95
9,33,65,73,82,154
8,53,73,90,137,188
42,65,73,91,137,196
33,55,73,90,91,137
35,62,71,90,95,198
12,55,62,137,138,196
19,31,33,90,137,188
42,62,65,137,139,150
15,33,73,192,193,198
31,55,65,172,187,196
28,29,33,65,90,141
9,31,33,90,131,137,193
33,62,65,69,91,149,198
33,65,71,95,145,198,200
33,69,73,90,133,188,198
22,33,42,55,62,71,73
42,65,71,90,91,95,137
33,71,90,91,100,137,165
31,62,65,73,139,150,163
65,73,91,101,138,139,196
8,9,31,65,91,137,140
9,33,90,91,137,165,198
9,28,33,36,90,154,198
19,38,65,137,139,196,198
13,31,42,65,139,150,154
31,33,95,126,129,137,198
9,31,65,73,91,126,137
33,42,69,73,90,137,188
25,31,91,95,126,129,198
55,65,90,91,103,137,196
21,33,71,73,137,178,198
65,73,86,91,101,138,139
33,65,72,91,108,137,198
33,50,55,65,71,73,91
1,33,65,71,73,90,141
11,28,31,65,73,90,198
65,72,91,95,132,137,198
25,73,86,91,101,138,139
65,66,90,91,95,137,198
1,33,65,71,73,91,198
9,31,44,77,137,165,198
1,33,62,65,71,73,192
25,65,73,86,101,138,139
19,55,71,103,137,139,196
33,42,73,95,166,188,193
3,33,45,55,73,115,154
8,33,42,62,65,73,91
28,54,65,139,165,192,198
31,62,65,90,91,165,198
1,33,62,73,90,91,198
21,62,71,73,137,178,198
31,33,62,91,132,137,198
55,62,65,91,103,139,196
33,56,62,65,71,90,95
31,72,95,126,129,137,198
65,71,73,83,95,137,198
42,90,95,96,137,166,193
11,31,33,55,90,107,154
56,62,65,91,129,177,198
9,11,28,31,33,73,198
62,65,71,95,145,198,200
41,55,71,73,78,135,139
25,65,73,91,101,139,196
11,31,33,55,65,107,154
33,65,66,72,95,137,198
7,72,86,90,172,175,196
11,36,65,90,154,182,198
3,33,71,73,115,144,154
22,33,42,55,62,65,95
27,50,55,65,71,73,91
19,54,65,106,165,192,198
9,31,42,137,139,150,198
9,31,42,55,65,84,139
9,11,28,31,33,65,154
65,72,91,95,146,165,198
33,55,62,69,71,137,149
9,13,31,73,137,150,198
33,62,65,71,73,91,198
19,55,62,65,71,137,139
33,50,55,65,71,91,145
19,62,65,72,91,125,137
31,43,48,62,86,90,91
39,71,73,91,137,172,198
42,65,137,139,150,154,198
31,68,90,91,95,137,146
21,33,62,71,73,137,178
21,39,62,65,137,142,196
33,62,91,95,96,137,193
31,62,65,72,95,137,198
33,62,71,73,90,193,199
9,11,28,31,55,90,154
1,56,65,71,90,93,198
9,19,65,93,113,165,198
25,73,86,101,138,139,196
33,62,71,90,91,137,198
33,62,71,95,137,188,198
9,31,33,65,73,137,198
33,91,95,108,132,193,197
9,11,28,33,90,154,198
91,95,102,129,165,184,198
73,90,91,115,123,162,198
19,62,65,72,98,165,198
31,42,91,109,129,137,165
42,62,71,172,184,196,198
55,71,73,78,135,138,139
33,62,71,73,96,137,188
22,42,55,62,71,73,95
13,65,73,137,139,150,154
22,55,63,65,71,73,137
31,73,125,137,139,150,163
21,71,137,142,173,196,198
65,70,91,137,139,151,198
62,90,91,95,96,188,193
62,65,70,90,151,196,198
31,33,65,73,90,94,198
38,62,65,137,173,196,198
25,65,73,86,91,138,139
62,65,71,90,95,137,198
19,55,62,65,71,91,196
33,65,66,71,73,90,91
21,33,62,65,69,137,198
39,42,62,71,90,172,198
33,50,55,65,73,95,145
19,31,62,65,90,91,137
1,33,54,65,71,80,141
19,38,42,62,65,91,137
65,72,90,91,137,165,198
73,89,91,95,96,137,198
17,33,62,80,141,145,198
28,33,36,65,90,154,182
33,62,65,72,90,91,165
42,62,71,73,95,96,198
41,42,55,65,73,90,91
28,33,35,65,71,80,200
66,71,73,91,95,137,188
21,38,65,71,137,142,198
