84,124,291,399,480
16,190,202,310,408
124,217,428,460,480
49,221,238,336,383
231,238,273,279,440
65,266,292,317,489
55,133,231,300,497
150,238,390,408,440
150,285,308,381,489
38,129,167,231,300
21,23,190,224,408
20,84,124,190,266
84,308,319,394,489
93,138,190,259,408
170,190,227,259,392
59,84,266,305,496
39,269,336,408,420
84,124,203,331,399
84,109,266,480,489
231,264,280,418,499
238,311,336,381,418
130,138,215,269,308
35,190,244,440,499
79,114,324,336,418
17,84,124,399,480
110,231,253,443,489
84,163,308,381,401
84,162,348,381,382
99,124,138,190,196
183,190,248,432,467
14,84,124,203,432
10,79,231,336,357
138,236,297,395,418
124,190,222,349,432
24,84,381,418,489
39,94,266,343,418
71,84,167,455,481
13,139,190,269,408
157,297,336,418,480
1,231,266,408,418,480
84,138,297,303,381,492
231,238,312,336,383,400
176,250,269,336,381,432
35,84,190,294,302,440
231,237,266,378,480,489
231,336,349,381,400,480
227,231,269,381,458,483
45,138,341,425,455,462
91,195,231,408,429,480
69,84,112,124,266,490
65,69,84,124,246,394
59,84,124,190,266,443
124,190,227,266,282,461
23,190,227,282,302,329
34,231,269,361,408,480
99,111,190,266,404,408
84,190,270,334,402,496
124,190,227,266,269,289
68,123,231,269,300,432
5,84,124,190,266,388
63,124,269,349,416,500
124,135,206,227,269,282
158,231,266,269,363,480
78,231,238,408,418,440
84,124,190,252,266,388
231,259,266,346,488,489
33,231,266,269,282,496
84,190,259,404,412,478
10,69,71,104,324,408
150,206,261,297,413,460
51,57,138,190,269,408
190,248,271,295,302,345
84,138,297,308,444,491
190,230,259,349,457,496
84,190,219,226,266,496
43,84,124,190,294,443
59,84,124,190,294,495
84,174,455,487,490,496
47,124,190,266,282,494
39,188,297,381,418,445
7,116,231,300,432,480
184,231,266,269,408,483
183,190,234,349,364,432
95,138,208,292,399,455
37,190,269,335,339,432
231,238,259,266,408,456
47,231,237,239,381,418
1,39,64,394,408,418
150,238,266,408,410,418
70,84,124,138,381,432
37,84,223,296,297,470
39,153,297,336,351,444
1,76,300,399,480,500
71,148,150,193,379,408
10,203,216,231,336,408
63,238,297,336,384,408
84,124,138,432,455,481
124,125,266,279,399,455
67,84,124,138,203,399
139,147,190,269,306,339
231,269,381,432,447,480
19,84,138,190,259,264
37,61,184,190,266,393
238,288,336,348,408,418
68,150,266,322,330,489
231,396,408,429,480,491
150,266,330,399,408,479
237,266,367,418,455,489
31,84,138,297,308,491
39,124,145,237,266,332
231,242,266,269,408,437
2,35,190,205,486,496
47,84,138,297,308,381
150,214,238,404,408,418
180,231,381,412,443,489
37,84,142,190,404,412
23,37,98,190,269,408
59,84,100,190,259,266
84,124,190,277,443,473
23,159,231,238,336,381
124,206,269,276,308,480
84,190,249,296,302,429
124,190,237,263,294,316
84,124,138,203,281,481
56,70,116,163,203,231
84,124,139,190,266,443
39,269,320,336,391,408
69,84,128,148,297,381
69,84,124,138,381,492
47,138,190,361,408,482
84,193,218,266,489,496
84,124,138,190,352,432
59,84,190,266,310,496
94,146,190,219,266,496
231,336,381,418,423,480
84,132,221,308,414,489
47,84,124,190,193,266
47,231,266,381,476,480
47,124,138,308,342,381
26,69,84,124,190,266
89,231,349,418,432,480
19,84,190,266,350,443
85,101,124,269,276,308
124,138,190,210,269,432
84,297,301,308,468,491
69,84,124,138,190,277
35,84,87,190,294,302
118,138,308,399,425,455
59,84,141,190,294,496
84,190,212,259,266,404
6,30,213,336,432,480
47,124,138,287,308,455
39,150,199,259,266,408
40,68,231,269,349,480
124,138,269,349,381,421
190,227,266,269,340,408
39,177,336,394,408,418
3,47,66,84,138,381
82,127,146,190,294,408
84,221,277,308,376,489
124,138,190,265,269,388
59,84,162,190,270,496
60,84,138,190,259,496
39,124,206,257,266,269
148,150,155,399,408,440
23,227,231,370,408,418
47,69,84,138,151,381
231,266,292,326,418,445
84,124,190,294,426,443
35,37,84,190,432,469
34,65,96,124,266,308
84,122,297,324,418,480
47,84,124,206,381,487
84,106,115,138,308,455
10,23,190,197,358,383
129,231,292,362,383,408
19,59,90,336,418,480
10,34,231,397,408,480
4,124,190,266,269,466
62,84,203,296,314,399
23,124,172,190,372,443
47,84,381,480,489,493
18,190,269,358,402,496
84,124,138,190,372,428
110,231,262,381,443,489
47,124,138,308,441,455
58,59,124,190,266,413
138,190,277,290,349,482
28,47,231,266,408,480
84,266,365,418,433,490
124,138,308,381,432,472
84,124,308,399,417,490
34,231,266,269,408,480
69,227,231,248,266,408
23,79,231,336,432,463
231,238,266,292,375,443
59,61,190,266,464,496
163,220,238,336,389,418
84,124,190,266,429,443
231,299,336,383,408,418
138,190,213,259,340,408
82,186,231,238,266,408
65,84,204,259,308,489
37,51,84,146,190,266
4,124,190,266,269,419
227,231,269,300,381,454
84,163,266,418,424,455
10,231,269,408,439,480
84,138,190,314,368,496
189,206,308,360,399,480
124,138,182,308,342,381
190,227,259,266,413,485
186,231,238,266,408,418
27,84,219,294,399,455
138,190,211,256,259,408
84,138,297,308,374,381
45,84,138,399,418,455
190,228,235,349,358,383
23,37,190,282,296,471
84,147,190,270,368,496
84,124,190,266,429,446
231,269,333,336,432,480
84,308,394,399,409,490
124,206,266,269,308,332
163,201,231,238,266,381,418
47,231,266,279,408,418,480
84,124,171,175,206,266,480
9,50,84,124,209,381,492
170,190,212,227,259,266,413
124,169,190,235,349,358,411
23,231,238,336,383,408,418
84,132,138,308,399,440,455
68,231,269,300,349,432,451
67,84,124,138,308,399,430
231,259,266,346,415,489,496
231,266,269,282,381,480,489
47,69,84,124,166,381,422
55,59,65,84,124,138,308
47,84,266,381,418,480,489
23,231,238,279,292,293,408
47,231,266,282,403,429,480
69,84,124,171,190,266,352
84,124,190,193,235,266,386
47,84,194,206,381,418,480
97,124,138,182,308,455,490
39,41,297,336,365,381,418
39,169,245,247,336,349,418
59,84,124,138,190,277,368
37,184,190,266,269,283,466
183,203,231,315,336,408,429
39,41,297,324,336,418,477
84,124,206,209,266,399,453
65,84,124,187,206,266,308
37,71,121,139,266,332,499
99,221,237,318,368,489,496
231,238,266,279,408,418,498
124,185,206,227,266,381,413
59,84,190,259,266,464,496
39,47,124,206,266,332,406
124,190,227,269,282,366,402
129,297,320,408,438,449,480
72,99,206,266,308,381,480
47,84,266,308,381,480,489
84,124,138,223,240,345,399
133,231,300,349,381,412,500
227,231,266,315,408,418,483
37,84,266,308,337,399,480
231,237,266,418,437,489,499
1,110,231,266,304,383,408
63,297,320,336,408,427,480
84,266,268,324,404,418,480
99,124,190,237,266,282,316
15,69,163,194,206,359,397
84,124,206,209,266,308,381
39,59,71,150,266,332,355
23,231,279,292,371,408,418
84,124,138,308,381,432,460
59,84,138,160,190,211,277
10,23,152,231,344,383,408
117,124,190,269,349,358,468
84,124,190,235,266,345,352
84,124,139,190,368,398,443
36,71,84,266,365,455,490
84,148,266,308,330,437,489
23,215,231,238,383,408,418
163,231,266,377,381,429,443
8,84,190,259,266,404,412
84,193,266,308,404,444,480
63,297,320,336,408,418,480
85,138,156,190,269,368,496
37,84,266,308,328,399,404
124,169,190,202,227,266,289
138,150,269,308,369,381,466
138,150,169,297,418,435,461
84,399,418,440,459,487,490
35,59,84,190,259,368,496
47,69,124,266,282,313,381
35,84,190,259,368,457,496
84,148,266,308,381,437,489
86,206,266,308,380,399,455
34,69,231,238,250,266,381
39,86,148,266,310,351,408
50,69,84,124,266,324,381
35,37,59,84,190,270,407
10,30,281,283,307,336,480
25,84,190,259,266,388,404
19,66,84,138,190,259,368
1,79,231,341,408,418,480
23,79,231,251,336,418,466
138,207,292,349,381,418,437
51,69,84,108,138,146,190
2,84,190,252,266,310,496
52,66,84,138,190,432,440
39,148,149,266,269,279,408
79,231,336,356,381,476,480
19,69,84,138,190,249,277
88,227,231,266,292,408,483
37,139,140,150,266,269,408
39,154,206,266,269,363,381
35,84,190,219,272,294,440
65,84,124,193,206,266,308
11,35,39,237,297,351,499
32,107,190,227,259,266,340
47,84,297,320,418,480,489
83,84,124,138,308,432,455
68,124,206,243,266,269,480
