6,73
44,91
42,73
1,141
31,62
33,65
80,198
28,132
8,40
11,123,148
25,101,196
55,90,149
73,90,95
65,71,149
33,66,198
21,38,142
62,72,95
31,137,165
71,95,115
19,72,195
33,72,95
42,62,65
19,137,198
13,65,73
71,73,145
42,137,150
91,95,129
21,62,65
65,184,198
62,95,137
62,65,198
66,72,137
19,20,97
55,65,85
71,90,137
62,149,198
65,91,198
71,73,115
80,90,91,198
28,65,73,90
66,137,179,198
33,90,135,137
28,29,71,90
1,28,90,141
42,71,73,90
62,90,91,95
72,90,91,143
28,33,65,154
33,132,154,198
19,42,62,90
55,73,90,138
42,73,91,139
62,65,95,198
31,33,65,91
28,60,73,132
20,31,62,137
6,73,91,95
12,73,90,196
8,40,72,86
55,62,91,137
22,33,62,65
33,44,72,91
69,71,73,90,137
33,52,66,72,137
33,65,73,80,145
33,42,55,63,137
9,31,33,65,73
21,38,71,137,142
11,28,65,90,198
65,72,105,125,198
62,65,72,95,137
1,62,80,90,95
19,72,91,100,195
56,65,91,95,198
1,33,65,71,95
19,62,143,196,198
1,62,73,95,192
33,56,62,65,192
33,62,71,73,90
19,72,137,165,198
42,56,90,91,162
19,71,90,137,196
55,69,90,149,181
62,65,71,73,198
31,42,137,150,198
65,69,71,73,149
65,137,165,184,198
33,65,69,71,90
25,65,91,138,139
25,33,52,66,198
28,73,90,154,198
21,33,62,65,137
25,73,101,138,196
11,91,123,148,198
13,65,73,137,198
33,62,137,149,198
19,20,62,90,97
71,78,135,139,196
62,71,83,137,198
9,19,65,93,165
38,62,65,71,137
33,71,90,95,115
31,65,91,126,198
42,55,63,95,137
55,62,65,95,145
1,62,73,90,95
50,55,62,91,145
1,56,62,73,198
42,62,65,71,198
73,90,95,115,193
55,65,71,85,137
28,45,71,73,115
35,48,65,195,198
62,65,95,137,198
8,31,33,140,183
31,33,72,95,198
66,91,95,129,198
31,72,137,165,198
38,42,62,65,198
62,73,91,137,149
71,73,80,145,198
33,56,73,91,95
42,71,139,196,198
25,33,66,95,198
17,33,56,62,71,90
42,60,71,95,188,198
33,49,62,65,90,137
42,66,71,73,90,198
31,33,35,72,95,175
31,33,65,91,137,198
66,120,137,179,189,198
33,73,132,154,180,198
1,28,29,90,141,154
42,62,65,138,173,196
37,42,62,65,91,95
12,71,73,90,138,196
42,62,65,91,95,139
2,21,33,73,91,111
9,33,60,65,132,154
62,91,139,179,189,198
62,71,90,137,196,198
31,65,72,90,91,175
62,80,90,91,138,139
8,31,40,65,72,86
42,62,71,73,90,173
42,65,66,71,73,95
28,29,33,71,90,154
31,33,65,72,76,91
9,33,60,73,132,198
9,28,60,154,180,198
42,62,73,90,91,139
31,33,72,90,137,198
9,28,60,73,132,198
65,71,73,91,95,118
42,55,73,90,138,196
42,66,71,90,95,139
21,33,62,91,108,137
19,33,65,69,91,165
9,28,33,116,154,198
33,62,91,95,136,137
80,90,91,139,174,198
41,42,55,65,71,90
31,44,72,91,137,198
22,33,42,55,71,137
19,24,62,90,159,196
8,33,65,73,90,91
21,33,91,108,111,137
33,45,55,62,91,137
62,71,73,137,138,139
33,42,69,90,135,137
6,71,73,90,91,95
21,33,108,111,137,198
31,72,90,91,143,196
1,61,65,90,91,95
42,62,71,73,91,138
12,55,62,137,138,139
62,72,89,90,91,95
33,71,75,96,152,165
31,33,73,87,95,162
9,53,65,73,137,176
2,31,42,90,188,198
28,33,60,65,154,198
8,71,129,160,193,194
1,65,73,80,90,198
42,69,71,91,165,198
31,33,65,90,91,137
19,33,42,62,90,198
16,31,33,90,193,198
34,42,73,91,137,198
62,71,90,91,139,198
62,73,90,137,138,139
22,33,55,62,65,71
28,65,71,73,90,154
33,44,65,72,91,198
15,33,73,154,192,193
42,91,96,137,193,198
12,62,65,73,135,137
28,29,65,73,90,141
62,65,66,71,95,198
19,20,31,62,137,198
42,65,137,138,196,198
42,71,91,137,138,139
33,71,89,137,165,193
28,65,132,154,180,198
33,42,90,91,137,198
11,33,90,91,95,185
42,62,71,78,139,196,198
9,31,33,42,65,73,126
19,28,33,65,71,80,198
21,33,62,65,71,73,198
25,33,52,66,91,95,198
1,56,62,73,90,91,198
33,42,62,66,91,95,198
65,66,71,90,95,137,198
38,39,62,65,71,137,173
33,42,96,137,188,193,198
9,13,65,73,137,154,198
33,55,69,90,135,149,181
19,38,42,62,91,139,198
33,62,65,71,73,178,198
33,65,69,71,73,90,137
31,62,72,91,137,165,198
9,42,65,73,91,105,138
21,65,71,73,137,178,198
25,73,86,91,101,138,139
42,62,65,66,71,188,198
19,33,62,65,72,90,182
27,33,62,65,73,95,145
1,62,65,73,90,91,95
33,56,62,71,73,90,198
21,38,39,137,142,173,198
21,33,62,65,71,137,198
19,62,72,90,98,137,198
25,65,86,91,101,138,196
56,65,73,90,91,95,198
9,31,65,90,93,154,198
72,91,95,108,132,197,198
25,65,86,91,101,139,196
27,33,55,62,65,71,145
39,65,71,90,137,184,196
21,38,39,71,137,142,196
21,38,62,71,137,142,198
62,71,73,83,90,95,198
55,62,78,138,139,164,196
33,62,72,90,98,137,198
28,35,65,71,127,141,198
62,65,72,91,95,108,132
62,71,73,83,90,137,198
21,62,65,91,137,149,198
62,65,69,71,73,149,198
33,62,65,71,137,149,198
19,62,72,97,143,196,198
33,42,62,65,66,90,198
62,90,91,137,138,139,196
73,89,90,91,95,137,188
19,55,71,90,137,139,196
9,31,42,91,108,137,198
25,73,86,91,101,138,196
19,72,90,91,100,195,198
33,65,71,73,80,95,145
1,33,62,65,71,73,95
33,42,66,71,90,91,198
42,56,71,90,91,162,198
62,65,69,71,73,90,137
33,50,55,65,71,73,95
31,33,62,65,132,137,198
21,33,65,71,73,137,178
65,71,73,83,90,137,198
42,65,66,73,91,137,188
62,65,71,73,83,95,137
25,66,72,91,95,129,198
33,62,71,73,90,95,198
19,65,72,90,105,125,198
38,42,62,65,71,91,198
33,62,73,90,95,115,193
31,62,65,73,90,150,163
33,90,91,95,137,165,198
25,65,73,91,101,138,139
19,31,62,65,72,125,198
19,20,62,90,97,196,198
62,71,78,123,183,190,196
1,62,65,71,73,90,93
39,73,90,91,137,172,196
41,62,78,135,138,139,164
1,33,56,62,65,73,192
62,78,120,123,139,190,196
31,35,48,65,90,196,198
9,11,28,33,65,182,198
25,33,52,66,72,95,137
41,71,73,78,135,139,196
42,56,62,65,91,95,198
35,48,65,72,100,195,198
21,62,65,137,142,173,198
1,33,56,62,73,95,192
31,33,65,73,137,188,198
41,71,73,78,135,138,139
11,16,33,91,123,148,198
62,65,72,91,95,137,198
9,13,31,65,73,137,198
33,56,73,91,95,192,198
3,28,45,55,71,73,115
9,31,33,44,68,165,198
9,31,53,73,91,137,183
50,55,62,65,71,95,145
21,33,65,69,91,137,149
25,65,73,86,91,101,138
42,71,73,95,193,198,199
33,62,65,90,98,137,198
33,62,80,108,132,193,198
9,33,65,68,137,165,198
65,71,73,90,91,137,198
62,65,71,73,83,90,137
62,71,73,120,138,139,198
9,11,28,90,93,154,198
55,71,73,91,137,176,193
56,62,65,73,90,95,198
62,71,78,120,124,183,190
9,19,65,91,93,165,198
31,33,65,72,90,95,198
8,31,33,91,137,140,183
62,71,73,80,95,145,198
62,65,71,73,95,188,198
27,50,55,62,73,91,145
33,62,65,72,90,95,137
31,42,65,137,139,150,198
8,62,65,71,73,155,188
1,62,71,80,90,95,198
3,28,55,71,73,144,154
31,33,65,95,126,129,198
33,62,71,73,90,167,198
21,33,62,71,73,178,198
33,40,42,65,71,91,165
21,33,65,71,73,178,198
31,33,42,73,137,154,198
19,55,65,71,90,91,196
1,33,56,62,65,90,95
62,69,73,91,137,149,198
33,42,55,63,71,95,137
9,28,33,73,90,154,198
62,65,71,73,90,95,137
8,42,62,65,71,155,188
33,42,71,95,129,177,198
22,33,42,55,63,65,137
65,91,137,138,139,151,198
33,62,65,71,91,129,198
31,65,91,95,137,165,198
33,42,66,71,90,91,95
42,62,65,73,91,95,137
3,33,71,91,137,176,193
33,42,66,71,90,137,188
27,50,55,62,65,71,91
11,28,33,65,90,154,198
25,33,52,65,66,95,198
9,28,54,65,106,139,192
10,33,55,65,71,85,137
1,33,56,62,90,91,95
31,62,73,90,137,150,198
25,73,86,91,101,139,196
31,62,65,125,137,150,163
41,42,55,65,84,90,91
42,62,65,71,91,177,198
33,65,72,137,165,182,198
20,25,30,33,69,91,198
31,65,95,137,165,184,198
33,41,55,65,73,95,126
19,35,65,71,127,141,198
11,31,33,62,72,95,198
1,33,65,71,73,91,95
41,55,71,135,138,139,196
55,65,71,73,95,126,145
25,65,86,91,101,138,139
56,62,71,91,129,177,198
33,71,73,90,95,115,199
28,55,71,73,115,144,154
33,62,65,90,95,137,198
55,62,71,90,103,137,196
19,72,98,137,165,182,198
25,31,33,65,91,126,198
1,11,31,33,72,95,198
25,31,91,95,129,137,198
22,33,42,55,71,73,90,95
33,35,65,66,71,95,137,198
12,55,62,73,90,137,138,139
24,31,72,90,91,137,143,196
6,33,45,55,65,73,95,137
12,55,71,73,90,135,138,139
11,33,73,90,91,95,185,198
39,55,62,65,73,137,171,196
1,8,33,48,73,86,91,169
62,71,73,137,138,139,196,198
42,62,71,73,90,91,139,198
31,65,72,76,90,95,137,198
6,22,33,62,73,90,95,137
33,40,62,71,91,129,160,193
33,51,62,90,91,95,96,115
33,62,71,90,91,95,137,193
42,55,65,73,90,137,138,196
42,62,65,90,137,138,196,198
9,28,33,60,65,73,132,198
19,20,31,62,72,105,137,198
16,31,33,73,87,90,95,162
2,21,33,91,108,111,137,198
12,55,62,65,71,90,135,139
9,31,33,55,81,90,91,130
28,33,65,73,132,154,180,198
41,55,56,62,71,90,91,95
1,31,33,35,62,65,72,91
42,71,73,90,91,139,196,198
31,62,72,90,91,95,175,198
33,42,55,62,65,90,135,137
65,71,73,79,91,95,118,145
57,62,71,80,90,138,139,156
17,33,56,62,65,71,90,198
31,44,62,72,91,137,165,198
9,33,53,65,73,90,137,176
1,33,40,65,72,86,91,175
1,8,33,35,61,65,91,95
62,65,66,71,90,95,139,198
42,75,91,96,126,152,165,198
33,71,91,96,126,129,137,198
1,23,33,56,60,65,90,95
42,62,65,71,73,91,95,137
1,33,62,65,73,80,90,198
33,42,62,69,71,91,165,198
22,33,42,62,65,91,95,137
21,34,39,62,65,71,73,198
31,33,62,72,90,95,137,193
1,23,56,65,73,90,95,198
33,45,55,62,71,90,91,137
42,62,65,73,90,91,95,137
33,42,62,65,73,90,95,137
9,60,73,82,90,137,154,198
39,42,62,65,71,73,90,173
1,31,62,65,72,90,91,175
9,28,33,60,65,73,132,154
11,31,33,65,90,116,154,198
31,62,65,72,91,95,137,165
9,31,39,55,90,91,105,196
19,35,65,71,90,137,139,196
