162,165
94,123
106,165
47,92
191,199
48,191
11,101
101,174
175,199
156,175
174,175
41,156
146,176
86,107
106,191
18,57
10,192
11,174
7,184
112,120
11,123
31,176
106,176
101,195
11,65,86
39,112,167
39,122,183
86,148,174
22,142,175
86,87,176
7,112,148
94,107,176
106,147,175
106,112,179
86,174,182
22,101,174
106,176,199
86,147,195
7,112,162
50,108,174
85,101,175
7,76,148
106,174,199
101,165,194
7,125,174
106,112,147
127,175,194
126,165,175
92,106,194
38,85,101
50,148,176
66,86,101
11,174,176
64,101,199
11,86,174
101,174,194
156,174,176
11,86,176
101,176,199
58,195,199
9,47,174
7,16,194,199
11,63,86,157
7,82,127,165
11,41,112,156
53,147,174,175
39,101,146,176
11,63,65,176
60,184,191,199
11,105,123,174
11,47,174,176
16,52,127,176
11,50,101,195
31,86,101,176
92,101,175,199
11,25,57,143
92,106,127,165
90,112,123,176
8,58,147,195
20,21,57,191
7,69,75,115
11,120,176,181
56,86,191,193
10,11,112,192
7,101,106,191
16,85,127,176
82,165,175,199
11,65,86,174
33,134,156,165
92,106,127,174
66,86,101,106
11,63,65,157
18,57,101,117
47,75,92,174
86,94,123,176
15,86,174,176
101,161,174,199
47,158,174,194
16,18,31,176
11,64,101,195
77,91,165,176
7,115,162,165
61,101,106,174
73,101,176,195
92,106,127,176
11,86,101,199
11,71,174,176
42,93,147,148
57,101,146,176
26,33,81,106
11,86,175,195
16,106,179,184
64,86,101,174
21,101,174,176
11,120,123,174
16,65,69,115
86,174,195,199
7,56,106,191
7,69,75,194
33,75,101,156
64,86,174,199
7,106,184,199
7,106,112,179
11,86,127,174
86,107,173,174
11,73,101,174
7,101,174,179
86,156,175,176
101,165,174,176
101,127,174,199
48,108,191,194
25,26,86,123
26,81,106,176
56,101,184,191
64,86,175,195
42,86,101,199
11,112,120,192
86,174,175,199
7,92,101,194
11,101,174,175
20,79,174,199
56,106,116,184
11,101,126,176
10,11,18,112,146
43,112,156,176,192
39,92,112,167,181
38,85,101,165,175
11,86,108,176,199
36,38,85,101,175
