33,62
31,91
62,137
1,141
62,138
33,65
62,162
33,135
65,66
71,95
66,137
19,113,165
115,154,193
71,91,196
78,124,183
62,91,198
73,83,95
62,137,196
33,65,73
79,138,196
31,62,72
21,62,73
31,65,165
65,95,137
56,62,71
33,71,149
19,54,65
62,90,91
62,71,198
25,31,72
77,109,198
90,165,198
39,91,184
90,95,160,165
33,42,62,137
34,66,71,137
40,65,90,137
41,62,65,138
33,62,95,198
1,29,65,141
49,62,71,198
21,34,39,198
53,91,137,188
31,81,91,130
33,62,71,95
31,65,74,107
33,42,65,135
42,62,71,90
22,55,71,90
62,95,162,193
73,150,196,198
9,19,31,91
42,65,71,184
65,71,90,139
33,65,72,90
91,96,193,198
42,71,90,95
28,65,154,180
65,154,180,198
33,65,91,137
31,65,91,95
33,65,66,198
62,73,135,139,164
62,73,91,115,198
42,62,66,95,188
62,71,73,83,198
62,71,73,83,90
62,73,90,137,163
62,65,90,91,137
25,86,91,138,196
73,83,90,95,137
73,83,95,137,198
65,90,137,146,165
31,33,65,73,198
31,33,65,73,188
62,72,95,132,197
1,62,65,71,91
11,28,65,90,154
21,62,71,73,137
19,33,62,65,182
65,68,91,137,146
33,42,65,73,183
25,86,138,139,196
9,42,90,91,198
33,71,73,91,145
9,11,28,73,115
73,115,154,170,193
62,73,139,163,198
65,71,90,95,198
31,65,90,165,198
21,71,73,137,198
16,28,55,115,154
77,109,129,165,198
73,78,123,124,183
19,38,71,91,196
65,71,137,139,198
42,62,137,196,198
33,62,65,145,200
56,71,73,90,141
42,73,137,188,198
33,69,71,137,149
1,62,71,73,198
35,65,71,80,141
21,38,39,65,137
65,71,95,137,198
31,62,72,137,196
25,52,65,91,198
11,31,33,73,93
25,31,72,95,198
65,90,95,165,198
42,71,193,198,199
33,65,93,113,165
39,42,65,91,184
41,42,84,91,139
56,62,71,177,198
90,91,137,139,196
19,28,54,65,198
1,33,56,62,95
1,33,62,141,198
21,39,62,138,198
9,79,90,138,196
39,71,142,173,198
19,65,91,113,165
33,35,62,91,95,198
33,62,66,71,91,95
1,28,29,33,65,141
72,89,91,119,137,198
41,42,62,65,95,138
9,19,31,33,65,91
40,62,71,91,137,194
33,42,62,69,90,137
89,90,137,165,193,198
35,62,71,80,91,198
62,71,90,95,160,165
42,91,120,137,138,196
33,42,62,71,90,165
55,62,73,90,138,196
42,62,65,73,91,137
28,33,132,154,192,193
28,60,65,154,180,198
1,33,62,65,90,198
33,42,66,71,90,91
34,39,66,71,137,138
42,62,73,150,196,198
33,96,121,137,193,198
18,33,40,90,91,175
31,87,90,91,193,198
62,65,90,91,138,196
33,62,66,91,95,198
31,33,35,62,91,137
21,34,39,62,66,198
22,33,42,55,62,73
33,49,98,137,165,198
6,33,62,91,95,137
31,65,76,91,95,198
33,62,65,66,73,198
33,53,65,91,176,188
40,61,65,71,91,95
6,33,53,65,107,128
16,67,145,148,162,198
33,90,91,95,160,198
55,71,73,137,138,139
33,60,62,137,165,198
65,71,90,98,137,165
31,33,65,72,90,137
71,120,137,139,159,198
42,65,66,95,137,198
42,62,71,91,196,198
33,65,72,91,137,198
8,31,48,73,86,90
8,31,65,72,86,90
42,65,71,90,95,139
30,33,48,90,91,137
8,31,40,65,90,137
60,90,95,137,165,198
14,65,72,122,165,175
62,65,72,95,137,198
33,62,90,91,96,193
65,73,137,138,173,198
22,55,71,90,91,137
9,73,104,123,148,198
9,53,90,91,137,188
35,71,95,137,153,198
9,31,33,65,81,90
60,65,132,154,180,198
