3,28
59,66
6,38
16,30
1,38
29,36
68,97,111
40,46,50
59,66,84
41,49,103
49,77,96
41,66,67
41,47,96
41,48,67
41,48,76
68,73,97
41,52,104
41,49,96
49,66,67
49,111,115
41,62,68
54,59,66
10,17,28
49,66,107
52,68,97
8,12,13
49,66,67,107
52,68,96,97
41,57,78,96
81,90,96,119
52,68,73,111
40,52,81,94
68,73,97,111
52,68,97,111
41,49,88,96
41,49,96,103
42,60,88,101
40,41,67,79
41,67,79,104
41,44,52,104
77,81,90,96
52,68,85,96
52,73,97,111
52,81,96,119
40,41,54,66
52,68,73,97
41,49,66,67
41,47,66,83
52,58,68,96
52,68,73,97,111
