30,101,186,188
18,38,105,113,180
130,143,155,186,193
20,127,152,173,197
21,101,142,178,186
20,111,124,139,149
63,77,128,162,193
13,43,127,161,171
117,127,146,154,174
96,111,118,124,128,182
21,39,85,93,104,114
19,24,31,42,44,77
1,3,43,126,135,182
15,97,98,102,158,161
47,59,98,160,165,186
61,93,100,110,151,157
87,102,104,114,124,128
8,27,62,101,140,153
45,63,71,103,187,194
63,64,88,109,135,187
102,108,116,134,147,156
71,96,99,108,136,143
21,35,82,101,169,186
40,41,53,142,162,185
20,94,119,149,173,176
74,113,143,165,170,200
23,61,100,133,167,189
16,47,55,93,154,199
32,37,97,109,125,132
60,70,106,114,187,189
21,28,114,151,172,178
2,61,119,147,187,195
10,76,107,174,175,197
8,21,48,71,99,168
23,37,44,87,95,151
19,36,93,111,117,119
28,32,39,108,116,139
13,14,102,113,167,169
16,83,129,154,175,184
94,136,138,139,149,168
64,71,131,171,192,193
35,54,78,85,159,181
1,21,50,93,120,182
11,28,135,137,146,182
37,61,79,97,149,161
13,21,123,131,132,189
60,79,156,167,183,189
11,71,72,135,137,171
17,54,93,120,124,162
44,51,99,137,142,156
89,93,111,117,184,199
18,75,140,149,176,198
11,23,25,87,109,169
4,70,104,114,118,124
7,57,89,169,170,190
34,55,56,59,81,108
51,65,138,140,159,164
99,153,164,180,195,197
36,48,56,93,162,176
3,16,32,55,120,141
2,17,99,146,180,195
29,101,120,149,159,179
15,18,21,92,99,166
23,81,90,103,147,149
27,54,129,148,155,165
38,73,111,183,189,195
20,29,43,139,171,196
9,35,79,137,156,199
36,67,90,111,141,143
12,57,91,130,176,180
4,6,52,65,124,177
9,103,145,151,170,196
9,30,114,118,124,128
19,26,42,53,56,70
27,53,70,78,122,183
23,44,66,83,121,183
20,97,119,121,147,190
33,42,47,53,70,191
25,38,41,70,130,161
7,11,70,116,134,200
42,86,91,121,128,178
12,92,114,118,142,174
21,25,28,46,182,186
13,26,100,137,172,186
9,41,76,79,89,163
4,6,51,52,114,184
19,96,108,148,171,180
70,78,112,122,183,194
16,31,52,81,125,152
6,27,78,120,122,183
29,43,44,120,144,196
57,92,120,127,162,164
13,40,99,146,167,182
5,19,42,77,88,149
29,68,89,125,143,177
9,27,92,114,148,192
1,29,106,140,159,167
6,14,58,80,133,134
16,85,93,120,145,196
2,3,102,118,124,161
18,55,73,129,148,194
11,18,128,135,137,182
74,112,141,159,160,199
6,44,80,114,122,137
17,22,78,82,101,186
33,93,106,155,175,199
28,113,124,169,172,200
2,35,49,120,132,194
31,89,98,132,173,182
16,34,59,74,181,196
36,48,93,119,176,193
35,40,55,72,92,150
1,10,40,146,159,191
44,94,110,130,135,146,191
48,72,97,119,134,163,185
45,62,65,71,103,124,147
46,52,77,83,145,149,184
73,97,129,155,162,172,189
10,41,69,95,111,160,200
8,14,49,120,132,141,153
9,60,65,103,177,178,196
9,26,84,108,112,134,175
13,16,53,85,132,159,191
61,67,79,82,150,151,186
23,44,54,102,124,144,185
6,50,65,90,94,118,156
4,19,32,44,65,180,196
2,3,27,29,102,120,124
53,70,105,136,143,158,189
29,46,91,110,149,159,167
19,53,117,132,136,158,176
7,8,10,31,81,139,174
14,18,30,70,124,136,189
39,93,145,146,157,167,190
29,32,46,84,106,150,197
56,70,78,114,122,154,183
36,59,67,79,102,107,150
14,20,34,50,58,165,171
27,29,42,121,144,149,169
12,61,67,106,139,146,179
11,36,51,54,93,164,165
44,69,87,95,136,151,197
35,56,59,78,92,169,186
23,54,109,111,133,134,195
26,48,70,105,106,121,185
66,94,100,106,172,175,186
4,44,86,122,164,165,181
35,39,77,115,116,171,194
4,50,52,117,121,174,190
7,30,70,78,85,114,183
22,30,47,51,131,189,199
10,32,37,89,125,128,131
17,27,28,68,114,117,191
59,74,116,133,157,160,195
5,37,57,91,96,113,188
2,54,89,107,132,173,182
10,60,79,81,89,124,133
6,18,21,63,97,153,157
5,11,25,74,112,149,161
5,49,90,112,141,142,147
81,91,139,149,165,168,179
12,78,80,91,176,181,193
16,67,72,85,119,125,163
18,45,63,97,153,161,195
5,6,114,148,171,184,188
32,70,85,86,106,115,123
42,44,47,76,130,137,143
9,16,22,28,160,189,199
35,55,85,89,132,141,147
52,54,81,89,117,125,177
68,71,96,148,157,171,192
12,44,83,84,118,142,163
5,11,53,54,131,146,193
35,49,56,83,88,96,179
24,44,82,99,104,181,182
4,45,51,65,86,159,164
19,38,90,161,168,180,186
84,136,166,178,181,193,200
9,56,60,79,163,179,189
45,94,116,119,147,155,164
13,18,31,156,157,179,199
6,10,24,90,118,181,191
18,34,66,74,75,76,166
21,74,81,104,123,149,158
9,12,16,30,63,67,163
83,92,125,131,148,181,184
42,46,84,112,119,174,185
14,44,74,136,152,162,178
9,14,57,88,103,134,165
21,25,143,150,154,187,189
1,50,120,127,171,173,193
8,22,30,78,87,101,163
18,33,40,93,99,167,196
71,96,100,113,144,155,180
6,94,110,132,173,191,197
