166,181
47,70
46,166
38,54
49,63
44,46
48,70
117,147
47,147
41,197
166,195
94,147
10,22
115,173
11,70
46,59
49,185
36,107
10,103
94,182
139,166
41,166
10,158
112,147
83,185
22,89
70,102
70,115
129,183
41,70
41,47
2,166
40,49
36,200
46,106
46,181
118,177
41,115
10,104
44,185
10,139
185,200
83,166
159,161
10,181
106,139
22,158
36,70
70,161
41,139
44,144
49,200
46,185
103,166
106,161
112,185
41,161
46,76
70,117
34,46
10,185
10,41
22,51
49,109,144
10,46,182
46,58,98
46,158,185
46,136,166
10,83,185
36,115,189
41,47,48
41,48,49
70,161,183
41,47,182
70,131,187
49,185,194
87,102,113
38,47,102
36,41,70
41,49,185
49,70,80
41,139,166
166,183,194
19,36,70
49,69,87
47,82,113
46,166,181
46,117,181
10,136,166
10,40,49
35,115,166
48,70,87
49,144,182
10,161,185
9,134,200
44,58,115
49,185,186
32,108,134
21,41,200
33,161,183
70,125,151
6,147,181
36,48,56
46,70,86
7,70,120
33,115,183
10,32,103
10,83,166
10,159,161
49,70,147
10,181,185
7,46,106
54,70,131
10,131,187
10,101,136
37,109,113
19,41,183
4,10,67
10,48,120
58,70,80
10,41,70
115,133,161
22,50,128
44,82,102
22,125,135
41,159,161
83,160,185
10,158,185
58,115,189
37,41,108
36,70,118
22,131,135
53,70,183
24,35,158
27,89,131
48,49,87
70,102,185
10,49,182
80,183,196
35,166,181
10,41,52
9,131,193
9,54,89
10,70,185
41,183,200
54,70,89
10,49,70
6,147,184
41,106,161
31,49,109
36,70,185
58,117,147
108,171,200
90,158,181
46,109,182
10,47,70
102,104,113
31,41,47
166,181,185
44,61,125
46,49,186
27,70,131
10,70,131
46,164,185
10,31,181
44,58,185
10,83,181
9,70,131
46,181,182
109,181,182
41,70,185
58,70,161
10,48,70
41,47,70
4,47,70
10,70,186
46,181,185
46,83,144
44,46,181
41,49,70
54,131,151
7,49,70
10,79,158
70,87,102
10,70,120
41,115,116
82,87,104
10,49,185
6,44,58
41,47,69
24,79,166
130,133,161
10,54,133
48,49,70
47,102,113
70,120,157
38,41,117
41,47,49
57,87,94
26,48,70
10,181,182
41,115,161
29,36,70
12,166,181
10,47,185
22,49,69
46,69,70
6,61,133
10,115,166
10,131,151
59,83,166,185
41,47,48,70
46,49,70,192
10,47,49,112
10,55,158,181
10,46,106,185
41,144,162,166
10,46,48,185
41,44,162,166
22,50,51,166
94,138,147,161
46,58,69,117
46,166,181,197
49,85,147,200
6,37,109,147
36,41,70,200
65,129,183,194
49,70,87,123
70,87,117,150
10,22,70,115
70,115,116,153
10,41,70,161
41,106,139,166
49,70,117,154
47,49,70,112
49,87,102,117
35,55,111,158
70,72,161,185
89,106,188,197
46,58,166,195
36,70,75,185
23,46,76,166
10,47,70,104
11,106,161,185
41,49,87,117
44,46,181,197
10,47,50,139
41,103,108,200
10,35,83,166
7,10,49,108
49,102,112,165
49,70,112,185
48,70,77,185
10,46,144,177
61,108,112,113
36,40,41,70
38,47,70,112
35,55,158,166
15,44,58,76
10,70,106,161
38,94,181,182
38,54,146,170
41,44,144,162
28,46,112,166
10,41,47,49
41,62,108,139
46,58,166,197
70,161,183,190
70,136,161,190
59,83,164,185
10,83,166,181
10,48,70,185
22,70,106,115
15,23,44,183
41,112,139,166
10,22,43,115
41,70,106,115
70,106,115,153
36,70,112,165
6,57,177,181
41,44,166,185
46,84,181,185
94,117,147,181
32,41,103,166
36,40,41,49
49,61,113,119
11,58,70,185
10,22,47,70
10,70,161,197
49,58,70,117
69,70,133,198
4,10,45,158
24,38,49,181
22,41,70,106
41,115,161,194
41,162,166,185
32,46,70,154
6,57,118,176
58,117,161,185
41,70,159,161
22,41,88,89
41,70,161,197
15,46,58,76
44,46,84,166
41,54,77,185
10,37,38,176
10,70,159,186
10,41,185,200
22,115,158,173
10,31,49,63
46,136,161,183
46,108,166,183
36,41,48,70
46,144,181,185
10,14,41,49
76,89,106,166
70,106,158,185
10,36,48,49
10,22,41,70
47,49,87,185
10,22,41,47
36,70,102,117
41,62,106,139
10,22,47,104
41,47,49,70
48,118,177,181
46,161,183,190
38,54,109,170
31,41,49,109
10,41,106,161
41,48,70,185
22,47,70,104
41,48,70,77
8,10,90,108
41,70,77,185
10,22,115,173
41,106,153,161
46,108,166,198
10,22,43,161
41,48,54,185
34,46,58,166
41,49,70,87
10,103,108,166
41,115,153,194
10,41,47,153
44,162,166,185
48,54,70,77
44,144,162,185
41,49,70,185
10,24,38,49
10,94,115,181
41,115,137,161
64,106,166,194
46,59,166,181
70,72,117,185
58,181,195,197
10,41,161,197
10,106,136,166
10,22,41,104
115,158,173,181
58,147,161,185
64,108,166,194
10,41,115,197
36,70,107,112
46,58,69,70
106,136,166,197
58,70,106,161
2,28,84,166
41,62,106,166
34,41,166,194
10,41,49,60
47,70,78,142
34,58,59,166
22,41,115,161
70,117,147,161
41,62,139,166
46,70,136,161
44,120,163,183
41,64,166,194
41,70,112,147
106,108,139,166
22,94,115,173
10,35,137,185
46,58,166,181
23,44,46,166
6,146,170,181
46,70,161,183
41,50,51,166
64,106,108,166
41,48,49,185
41,47,112,147
60,87,112,123
41,115,129,194
136,161,183,190
106,158,159,161
10,37,38,181
48,54,77,185
34,58,59,181
34,46,166,181
44,58,59,166,185
27,54,70,131,193
10,32,49,103,134
6,37,58,147,184
7,48,49,70,120
41,53,70,161,183
10,46,106,136,166
10,46,49,109,181
10,41,47,49,69
25,38,41,70,161
37,41,108,161,200
41,48,49,56,70
44,87,102,104,113
54,70,131,151,187
36,41,69,183,200
10,70,125,131,151
46,58,80,98,161
33,41,115,161,183
49,70,80,96,147
9,54,70,89,193
4,10,46,158,169
22,49,70,87,197
49,94,109,181,182
49,58,70,117,185
10,55,70,106,158
46,164,166,181,185
33,70,115,161,198
13,41,48,49,70
10,54,81,133,148
10,40,48,49,185
31,49,94,181,182
36,41,53,70,194
49,87,102,112,127
10,46,90,181,185
46,58,80,161,183
41,115,116,130,161
36,54,70,102,185
48,49,70,87,185
36,54,70,89,102
25,38,41,106,161
12,44,58,115,181
10,31,41,52,182
29,36,70,89,102
21,41,166,183,200
56,58,70,114,183
22,32,50,89,128
20,69,70,87,197
41,70,112,147,149
29,70,102,185,200
10,31,94,181,182
10,32,50,128,166
46,117,164,166,181
10,109,144,181,182
9,27,54,70,193
41,108,166,183,194
10,46,69,70,186
10,41,49,69,70
41,70,115,161,183
7,10,49,70,120
36,41,49,70,200
10,24,79,166,181
10,22,70,125,151
9,70,89,131,193
10,41,120,153,157
10,69,70,185,186
10,40,46,48,70
10,54,70,131,151
10,54,112,174,200
58,70,147,161,185
6,37,147,181,184
46,48,49,70,185
46,49,109,144,182
32,41,49,70,120
10,32,41,106,108
37,108,161,171,200
9,27,54,89,131
19,41,53,161,183
10,41,95,131,157
26,47,48,49,70
10,36,41,161,170
9,41,131,134,200
10,55,70,158,161
22,70,125,131,151
10,22,54,70,131
19,41,70,161,183
10,41,47,70,185
7,13,41,49,70
41,47,48,49,185
9,27,54,131,193
36,41,70,115,183
42,47,48,49,87
10,90,158,181,185
10,115,136,166,181
36,58,115,161,189
46,70,143,147,185
58,69,70,183,196
10,46,49,109,182
70,115,116,133,161
10,22,49,69,70
10,31,41,47,49
10,54,92,148,181
6,58,147,181,184
32,41,106,108,139
41,47,49,185,194
10,49,70,185,186
21,108,166,183,194
44,46,58,59,185
10,41,48,49,185
35,115,158,166,181
44,61,109,113,125
29,54,70,185,200
44,58,115,117,181
38,47,70,102,165
36,41,69,70,183
37,109,132,147,181
47,82,87,104,113
10,46,158,181,185
46,58,70,143,161
24,35,79,166,181
41,47,70,147,149
41,115,130,133,161
24,35,79,158,181
10,46,109,181,182
19,36,41,53,70
22,54,70,131,151
33,70,115,183,198
22,54,70,131,187
36,41,56,70,200
10,46,70,185,186
21,41,183,194,200
21,41,166,194,200
31,49,109,181,182
8,10,37,94,109
41,48,49,70,185
56,58,114,183,189
6,37,44,58,181
37,57,87,94,109
10,31,109,182,186
10,46,158,169,181
46,160,166,181,185
10,32,106,108,139
26,41,48,49,70
46,58,70,80,196
10,31,41,47,182
10,49,69,70,186
36,41,70,161,170
36,41,48,49,200
7,10,24,49,70
10,47,49,69,70
46,90,166,181,185
70,115,161,183,189
10,31,49,94,181
10,47,69,70,185
46,90,158,181,185
29,36,54,70,185
10,46,49,86,186
46,83,144,181,185
36,70,115,183,189
41,106,108,139,166
4,10,47,70,153
41,48,49,87,185
47,48,70,87,185
10,46,49,70,186
10,22,70,125,135
70,161,180,185,200
10,41,106,139,166
46,58,70,147,161
55,106,158,161,185
10,24,79,158,166
36,115,161,183,194
10,48,49,70,185
7,10,46,106,136
10,55,70,161,185
33,115,161,183,198
31,41,49,52,182
10,83,144,166,181
37,41,108,171,200
36,41,115,161,183
32,44,46,58,140
29,36,70,102,200
54,61,81,133,146
19,44,58,140,166
19,36,41,53,183
10,24,35,158,181
10,46,166,181,185
10,54,70,131,187
6,10,92,109,148
10,46,160,166,181
6,37,44,58,147
10,49,109,181,182
10,46,83,166,185
36,48,49,56,200
19,36,53,161,183
30,36,41,69,200
6,8,38,94,181
4,10,41,48,70
10,36,70,161,170
41,108,161,171,200
44,54,68,125,181
46,49,70,80,96
33,41,115,161,198
10,47,48,70,185
49,69,70,185,186
10,54,70,120,157
20,49,69,87,197
36,48,49,70,200
10,83,160,181,185
10,41,47,49,185
44,46,58,59,166
58,70,117,147,185
10,47,48,49,70
47,49,87,112,127
10,49,69,70,86
12,58,117,166,181
10,41,70,159,161
31,49,94,109,181
46,58,70,161,183
44,61,109,125,178
10,46,101,106,166
37,108,161,171,183
10,22,125,135,151
10,47,49,70,185
10,46,70,159,161
44,47,82,102,113
26,41,47,48,185
36,70,118,152,161
10,90,158,166,181
19,53,70,161,183
10,22,125,131,135
46,49,70,117,185
32,44,46,140,166
41,48,49,70,153
37,132,147,161,181
10,22,41,47,49
10,70,180,185,200
36,70,115,161,189
22,125,131,135,151
10,32,41,139,166
10,46,83,181,185
41,70,112,134,200
10,22,47,49,70
19,44,46,140,166
27,54,70,89,193
70,106,124,161,185
36,41,161,183,194
46,83,160,181,185
6,37,58,147,181
36,69,70,183,200
46,109,144,181,182
46,58,70,147,185
26,41,48,49,185
10,46,90,166,181
10,35,115,158,181
32,70,120,141,197
10,49,144,181,182
38,41,70,106,117
10,35,79,158,166
41,47,49,70,185
6,8,38,109,161
10,101,106,136,166
46,58,70,80,98
7,46,106,136,166
46,83,166,181,185
10,46,83,160,181
36,41,70,159,161
6,61,133,146,148
10,41,70,161,185
9,27,54,70,89
47,82,102,104,113
41,47,48,185,194
10,83,144,166,185
10,49,94,109,181
36,41,70,161,183
36,70,161,183,194
10,24,35,79,166
41,115,161,183,194
10,48,49,70,120
35,66,83,166,181
10,115,136,158,181
10,32,106,139,166
46,93,164,181,185
36,118,152,170,200
10,41,49,69,185
30,36,41,69,70
46,49,69,185,186
90,158,166,181,185
10,46,160,166,185
10,41,180,185,200
41,70,161,180,185
41,47,49,52,182
10,36,70,100,200
37,44,58,147,181
10,22,70,131,187
10,49,69,70,133
12,44,58,166,181
32,41,60,70,115
47,87,102,104,113
46,49,69,70,185
10,46,49,109,144
7,10,24,48,70
31,49,94,109,182
47,48,49,70,194
6,44,147,181,184
70,78,142,185,186
37,44,58,147,184
22,70,106,161,186
20,22,49,87,197
32,44,46,58,166
4,10,158,166,169
10,40,49,70,185
44,46,59,181,185
76,156,178,183,199
58,70,115,161,189
22,70,125,135,151
56,58,70,114,189
10,46,101,136,166
10,41,47,48,70
49,58,105,147,185
10,47,48,49,185
10,41,49,70,185
29,36,54,70,89
10,144,166,181,185
10,35,136,158,166
32,41,106,108,166
10,49,109,144,182
30,69,70,183,200
7,41,48,49,87
29,36,54,70,102
33,41,70,161,198
36,41,53,70,183
36,58,115,161,183
10,46,86,91,159
10,90,158,166,185
32,49,88,108,134
38,41,70,106,161
58,115,117,166,181
58,69,70,80,196
70,106,124,161,186
10,41,70,185,200
47,49,70,87,185
10,46,160,181,185
10,83,166,181,185
19,36,41,161,183
25,38,41,106,117
44,87,109,113,125
41,53,70,161,194
10,70,161,168,186
22,54,70,151,187
41,47,48,70,185
38,41,106,117,161
44,58,166,181,185
36,58,70,115,183
10,41,47,49,70
46,58,70,98,161
6,10,61,81,146
46,49,109,144,181
37,44,58,181,184
7,13,48,70,87
115,136,158,166,181
20,22,49,70,87
41,47,48,49,70
12,44,58,115,166
4,10,41,47,153
32,41,106,139,166
4,10,67,144,181
10,41,47,48,49
10,41,48,70,185
10,79,158,166,181
7,10,48,49,120
70,87,102,112,127
10,46,90,158,166
22,70,106,161,168
10,49,71,103,108
46,69,80,183,196
10,46,69,70,86
10,158,166,181,185
35,115,136,158,166
41,47,48,70,194
10,70,106,124,186
7,48,70,153,157
19,32,46,140,166
29,36,70,102,185
10,41,48,49,70
37,57,87,109,113
41,70,115,125,137,161
94,109,117,132,147,181
41,47,49,60,70,185
36,49,87,112,165,178
46,89,106,136,166,188
41,49,70,122,185,198
2,21,28,46,83,84
41,44,65,68,166,194
10,22,41,70,125,161
26,46,58,166,185,197
47,69,70,87,117,185
35,49,52,69,92,175
41,70,106,115,116,153
10,22,41,70,137,161
46,59,83,164,166,185
41,49,70,112,142,147
46,49,58,69,70,192
10,46,106,136,158,159
26,46,84,166,181,185
41,70,106,115,153,161
7,41,47,49,70,153
41,85,108,172,183,200
10,37,38,109,176,181
10,41,106,115,161,197
10,22,94,115,166,181
10,35,47,83,156,166
10,14,41,70,159,167
59,83,164,166,181,185
70,78,112,131,142,191
36,49,87,102,112,165
32,46,58,69,70,117
10,38,41,47,70,112
10,41,47,49,60,70
10,22,41,70,161,197
6,17,48,176,177,181
10,48,49,70,185,200
28,32,34,46,108,179
21,85,166,172,183,200
28,46,84,108,112,166
34,41,65,129,166,194
28,49,61,108,112,113
10,22,41,106,115,161
11,58,70,106,161,185
36,49,70,85,141,200
41,47,49,69,87,185
22,41,50,51,89,166
38,41,47,49,70,112
10,22,70,115,125,161
34,41,115,129,183,194
10,47,83,137,166,185
21,28,46,83,84,198
10,22,50,51,89,166
36,40,41,48,49,185
34,65,115,129,183,194
36,49,70,102,117,150
44,46,83,84,166,185
41,49,70,85,141,147
35,55,111,158,169,181
40,41,48,49,70,185
10,46,68,90,181,185
10,41,49,134,185,200
46,70,72,117,147,161
49,69,70,87,117,185
7,10,41,76,89,166
28,46,49,61,108,112
38,54,109,146,170,181
10,38,41,47,49,60
10,46,48,49,144,185
32,41,103,108,166,200
36,49,80,87,165,178
47,49,70,112,147,185
10,41,49,63,94,182
4,10,45,158,166,181
7,41,47,48,70,153
10,115,158,166,173,181
10,22,94,115,166,173
41,70,106,159,167,185
10,46,89,106,166,188
41,49,70,112,147,185
10,36,41,48,185,200
41,70,159,161,185,197
46,49,61,112,113,119
15,44,46,58,76,166
10,22,41,88,95,166
21,85,108,166,172,200
7,10,41,76,106,166
10,54,107,112,151,186
28,49,61,112,113,119
41,49,112,122,185,198
41,70,106,115,161,194
22,41,70,115,125,137
28,46,84,166,183,198
6,10,54,109,146,170
46,58,70,147,161,185
10,22,41,70,115,125
6,17,118,176,177,181
10,36,40,41,49,70
41,64,106,108,166,194
28,46,84,112,183,198
10,41,70,106,161,197
49,70,87,117,150,185
7,8,10,61,90,108
10,41,76,89,106,166
46,48,49,144,177,181
10,41,47,49,70,185
41,44,79,120,163,183
10,41,70,115,137,161
44,59,160,166,181,185
10,49,144,177,181,185
10,22,115,158,166,181
36,41,49,70,85,200
10,39,47,50,139,166
41,47,50,112,139,166
10,41,70,106,115,197
1,7,8,10,61,90
6,37,61,109,147,161
10,41,48,70,185,200
22,54,95,131,151,157
10,41,70,161,185,197
6,37,94,109,147,161
6,61,109,138,147,161
6,48,57,176,177,181
10,24,38,49,181,182
46,49,144,177,181,185
6,10,94,109,176,181
10,22,47,50,89,166
22,32,41,49,69,70
7,10,41,47,70,153
10,46,90,167,181,185
70,106,150,159,161,186
6,10,37,38,176,181
32,46,58,69,117,154
44,59,83,160,166,185
10,22,47,89,95,166
23,44,46,58,76,166
10,36,54,70,151,186
