17,99,156,167,189
33,122,137,198,199
39,78,98,115,174
21,39,46,154,174
111,117,184,198,199
26,31,121,169,181
13,18,21,43,182,195
25,26,50,70,75,121
6,60,82,83,145,156
62,86,111,116,122,139
44,87,95,98,110,137
4,62,64,92,150,174
26,80,89,111,166,172
18,86,96,99,128,148
11,62,97,131,155,174
14,99,107,132,143,153
3,55,110,120,152,184
32,49,58,70,142,178
55,81,96,129,167,170
18,63,133,135,140,159
13,40,49,64,134,177
6,57,169,170,190,192
21,35,68,89,154,182
2,48,61,115,119,149
36,51,112,119,141,147
5,39,49,85,142,156
8,21,101,153,165,168
16,51,54,68,86,126
18,43,139,149,182,184
30,62,103,127,141,178
9,60,89,125,143,177
44,105,136,147,160,162
66,72,148,188,192,198
9,144,152,162,167,175
4,33,53,70,75,150
105,145,147,157,160,167
70,96,102,118,136,183
23,25,111,117,119,121
38,64,80,121,163,174
52,89,106,172,188,199
39,72,103,165,168,171
57,88,112,116,121,134
80,89,95,136,175,193
55,93,135,140,152,176
32,70,77,107,192,193
4,16,141,143,153,155
71,115,117,139,154,199
43,48,68,71,139,184
30,76,105,158,166,169
25,111,119,128,131,149
38,76,90,178,193,200
17,27,101,140,149,186
25,73,76,84,156,176
53,71,76,82,91,193
5,137,142,148,168,171
12,79,107,127,142,163
1,15,28,38,49,186
51,52,101,164,165,192
13,26,111,166,167,169
7,18,33,40,136,148
55,86,89,111,123,139
14,126,131,132,151,192
57,67,111,150,167,181
12,81,127,130,146,174
13,43,67,72,107,144
12,26,67,80,166,181
7,8,59,83,129,148
39,44,65,134,152,154
25,76,119,157,192,197
32,45,60,65,103,124
1,51,61,93,151,154
61,62,111,113,150,198
72,88,90,94,135,158
65,112,113,143,155,189
19,27,68,116,155,186
3,8,27,28,36,191
7,87,90,94,132,176
18,63,98,133,135,140
12,28,67,80,166,180
13,21,41,69,82,117
10,32,39,46,49,108
6,17,50,97,134,173
1,67,72,74,111,198
104,109,121,144,146,149
4,21,32,40,124,150
8,21,150,169,173,175
36,44,54,86,111,162
55,59,92,130,135,150
28,31,100,114,126,174
27,103,105,162,164,186
18,21,93,104,123,182
27,51,101,120,145,164
1,40,53,91,159,163
10,48,81,103,126,173
3,66,74,102,133,134
1,11,106,146,172,182
24,42,44,82,99,143
60,99,124,133,168,189
31,45,73,75,123,131
64,80,92,98,144,177
4,69,75,92,150,175
23,80,127,138,154,188
32,40,70,85,142,196
4,92,135,150,174,176
59,67,141,148,178,187
63,106,136,171,192,196
22,30,62,71,101,121
6,38,47,50,97,160
84,105,106,136,159,197
47,53,82,100,149,176
43,67,153,184,187,198
51,109,125,128,152,178
72,81,97,147,184,198
23,25,26,46,130,137
19,26,44,54,125,140
75,81,131,170,172,198
