70,185
46,58
41,185
163,183
48,70
94,158
38,109
58,185
106,197
11,58
49,75
70,78
94,147
49,153
112,178
10,166
109,181
10,22
115,153
106,166
34,183
139,166
41,166
166,197
54,70
108,139
10,200
70,115
10,69
22,43
41,47
1,108
136,166
46,181
65,194
54,157
46,161
47,87
41,49
49,70
70,106
48,87
41,48
83,166
4,115
49,122
2,46
83,156
38,70
46,185
38,181
10,108
7,160
41,194
106,108
162,166
46,197
34,115
115,137
8,160
41,62
10,41
36,161,194
46,91,159
46,136,166
24,79,181
4,41,153
41,116,161
70,161,183
10,41,47
42,48,185
131,151,187
21,183,194
70,105,147
86,91,159
106,161,186
61,87,125
61,110,113
38,41,161
10,46,181
41,56,70
69,70,80
25,106,161
27,89,193
46,166,181
70,179,198
41,183,194
4,46,67
87,102,112
44,102,178
10,41,157
41,161,183
41,112,147
10,158,161
36,41,69
48,70,185
41,108,139
19,53,70
4,46,181
46,49,181
10,48,131
46,70,96
46,144,166
36,41,183
36,48,200
4,10,166
10,70,106
13,48,49
46,158,166
90,181,185
10,73,94
108,139,166
10,24,70
4,47,153
108,183,194
10,70,161
10,41,139
108,161,183
55,70,106
6,44,181
10,41,70
10,46,185
44,102,104
41,161,194
44,82,102
47,49,70
6,10,181
7,41,49
10,35,115
22,161,168
6,10,148
22,135,151
41,183,198
144,166,185
22,131,135
36,41,194
49,109,182
41,159,170
41,48,185
46,90,166
58,70,147
46,101,166
46,86,186
37,108,200
29,36,185
10,166,181
58,115,181
70,116,161
10,47,48
161,168,186
10,161,168
44,59,166
31,49,109
22,106,168
47,147,149
29,70,102
101,106,136
79,166,181
10,46,166
10,41,185
29,54,102
10,161,200
46,90,181
10,47,70
56,58,183
166,181,185
38,41,70
46,70,147
108,183,200
49,70,87
49,58,117
36,70,200
49,70,185
46,166,185
12,58,181
41,70,87
27,54,131
46,147,185
10,54,131
49,102,127
41,70,185
10,48,70
41,108,166
41,47,70
10,46,158
115,116,130
46,181,185
41,49,70
87,109,113
27,29,36
10,47,49
31,94,186
58,114,189
7,10,120
37,87,94
41,47,112
58,98,161
47,87,112
82,87,104
41,48,70
41,70,174
46,86,91
158,166,185
24,48,70
70,106,161
41,115,194
48,49,70
38,41,117
41,47,49
10,181,182
10,31,94
21,41,108
10,47,185
32,89,166
69,70,186
44,87,113
10,41,89,106
41,144,162,166
88,103,108,166
10,126,166,181
46,166,181,197
22,115,158,181
6,54,109,170
41,48,77,185
58,70,106,185
46,58,117,147
41,120,182,183
15,44,46,58
10,22,70,115
34,166,183,194
10,94,176,181
41,54,70,185
10,70,115,161
10,14,70,185
41,106,139,166
11,58,70,106
49,94,117,181
10,41,106,166
10,52,69,92
26,46,83,166
10,41,47,70
58,69,70,197
10,54,95,131
44,74,181,185
109,117,147,181
94,126,166,181
10,41,47,60
41,49,70,200
10,47,70,104
11,58,70,161
70,87,102,165
65,68,183,194
22,41,115,197
10,76,139,166
36,152,159,186
46,108,112,166
62,106,139,166
21,28,83,84
46,59,83,185
10,22,137,161
31,41,63,182
41,49,70,147
49,70,112,185
70,87,102,112
70,185,192,197
6,37,109,181
34,46,59,166
7,41,48,70
41,44,144,162
28,84,166,198
37,38,181,182
10,60,112,185
41,62,108,139
70,161,183,190
2,46,83,198
70,136,161,190
46,49,70,117
70,136,183,190
10,22,70,106
10,41,47,104
10,94,158,173
41,159,161,185
48,54,70,185
41,64,106,194
49,94,117,185
79,120,163,183
1,8,90,108
10,35,47,185
34,115,129,194
10,22,70,161
34,41,65,194
47,156,166,185
34,46,59,181
10,54,151,157
41,47,49,147
41,54,70,77
94,109,147,185
41,162,166,185
118,176,177,181
41,49,75,147
41,106,185,197
70,106,116,194
49,94,117,132
7,8,46,181
70,80,87,178
4,10,45,115
10,54,107,151
10,36,185,186
6,94,109,138
41,50,139,166
21,46,166,198
89,106,136,197
41,50,112,166
15,46,58,76
41,49,122,185
41,108,139,166
41,54,77,185
41,122,147,185
14,70,106,185
37,94,109,176
22,43,70,161
10,54,70,95
10,36,152,185
36,41,48,70
7,8,10,160
41,68,166,194
41,70,185,200
10,49,70,153
70,115,125,137
49,70,185,192
22,43,115,161
10,38,49,70
10,166,188,197
46,166,181,195
10,47,70,185
10,22,41,47
10,41,60,70
41,62,106,139
41,47,49,70
7,10,46,166
36,49,80,165
10,41,103,166
70,115,137,161
41,47,49,60
10,49,109,185
49,61,109,186
10,36,70,151
36,70,75,200
46,48,144,181
41,48,70,77
10,50,51,166
36,48,49,70
22,41,47,95
10,37,38,109
41,70,115,153
36,41,48,49
31,41,63,109
31,94,109,182
46,181,195,197
10,103,108,166
41,49,70,185
10,36,41,48
41,108,166,194
10,54,146,170
10,36,159,161
46,58,195,197
59,83,166,181
11,58,161,185
41,62,106,108
41,44,162,185
64,106,108,194
46,59,166,181
76,79,163,183
41,106,108,166
10,31,63,109
58,181,195,197
58,166,195,197
10,22,41,104
94,158,166,181
64,108,166,194
37,138,147,161
35,111,158,166
49,70,102,185
22,158,166,181
10,47,83,156
11,70,106,161
58,70,106,161
10,41,70,134
144,162,166,185
22,94,158,173
38,49,70,112
32,41,49,200
46,70,185,197
32,46,58,70
47,60,87,185
10,70,185,186
44,58,166,183
2,83,166,198
48,80,87,165
10,46,159,161
8,160,166,181
36,70,185,200
10,32,41,200
10,48,134,200
41,47,70,142
40,41,70,185
46,136,166,188
41,48,49,185
10,41,70,159
46,70,72,185
10,41,106,197
47,70,78,131
22,32,41,70
46,166,195,197
46,58,70,147
87,112,165,178
136,161,183,190
47,70,112,142
10,37,38,181
38,94,109,182
35,55,111,166
6,54,92,109,148
41,70,115,161,194
45,109,132,147,181
46,49,58,147,185
44,46,58,59,181
10,46,49,109,181
10,41,47,49,69
25,38,41,70,161
37,41,108,161,200
61,87,109,113,125
44,87,102,104,113
47,48,49,70,87
46,58,70,80,147
48,49,56,70,200
37,57,87,94,158
30,36,70,183,200
47,48,49,70,185
22,49,70,87,197
70,106,161,185,186
10,54,131,151,187
13,41,48,49,70
41,47,49,69,70
10,22,70,131,135
49,87,102,112,127
10,46,90,181,185
10,22,106,161,168
37,87,94,109,113
31,73,139,182,186
41,115,116,130,161
61,87,109,125,178
10,46,69,86,186
12,44,58,115,181
10,46,144,181,182
44,61,87,110,113
36,41,53,70,161
36,41,48,54,200
10,31,73,94,139
36,41,49,56,70
37,108,171,183,200
29,70,102,185,200
38,121,161,178,183
46,58,69,183,196
29,36,54,185,200
10,109,144,181,182
22,106,161,168,186
9,27,54,70,193
10,46,70,86,161
41,47,49,70,112
41,70,115,161,183
7,10,48,70,153
10,24,79,166,181
10,41,120,153,157
69,70,80,183,196
10,41,47,70,153
10,69,70,185,186
10,49,70,185,197
7,10,48,70,120
6,37,147,181,184
4,10,46,158,181
10,41,48,54,131
47,49,87,102,112
25,38,41,70,117
58,114,154,183,189
10,41,70,161,200
19,44,46,58,166
32,46,58,140,166
10,22,54,131,151
49,70,87,102,112
46,58,80,183,196
5,41,129,166,183
40,46,48,49,185
22,47,49,69,70
10,41,49,69,92
10,90,166,181,185
19,41,70,161,183
10,41,47,70,185
6,37,45,97,161
33,41,70,115,183
41,47,70,112,147
70,115,116,130,161
46,90,158,166,185
27,29,36,70,102
46,70,143,147,185
46,58,117,147,185
10,31,49,109,182
9,27,70,89,131
32,41,106,108,139
41,108,183,194,200
85,115,172,183,198
46,58,166,181,185
7,101,106,136,166
41,70,115,183,198
35,115,158,166,181
46,158,166,181,185
27,54,70,89,131
21,41,108,183,194
70,86,91,159,161
9,27,70,131,193
41,49,56,70,200
36,41,69,70,183
7,24,49,70,120
10,70,179,197,198
36,58,70,115,189
47,70,87,112,127
37,108,161,183,200
41,47,48,49,194
41,70,112,174,200
22,49,69,87,197
10,31,41,49,52
10,46,158,181,185
10,41,48,131,185
10,35,136,158,181
46,49,58,117,147
41,47,70,147,149
46,70,80,98,183
24,35,79,158,181
19,36,41,53,70
44,76,122,178,183
25,38,41,117,161
49,70,87,102,127
44,47,82,87,102
27,29,36,89,102
41,49,70,120,157
47,49,70,87,102
54,61,109,133,148
36,54,70,185,200
10,41,108,139,166
41,48,49,70,185
49,58,105,117,147
56,58,114,183,189
41,47,70,112,149
31,49,73,94,186
6,37,44,58,181
10,69,70,185,197
44,46,59,166,181
6,10,54,92,181
37,57,87,94,109
22,41,54,70,120
9,54,70,89,131
46,160,166,181,185
25,41,106,117,161
10,32,106,108,139
4,10,166,169,181
46,58,70,80,196
10,31,41,47,182
70,80,112,178,183
36,41,70,183,194
46,90,166,181,185
10,49,70,185,198
36,53,70,161,194
30,36,69,70,200
36,58,70,161,183
4,41,47,70,153
47,49,70,185,194
10,46,49,86,186
41,70,115,116,133
10,70,106,161,185
46,69,70,183,196
30,36,41,70,200
41,106,108,139,166
41,48,49,87,185
7,24,48,70,120
58,70,115,161,183
10,161,170,186,200
9,27,54,70,131
10,49,69,185,186
