58,62
10,21
45,59
20,42
30,63
7,15
27,38
30,56
23,44
2,27
32,67
43,56
15,49
24,47
10,48
53,68
15,44
2,26
24,42
12,45
47,61
1,51
39,68
23,60
24,28
15,21
22,26
19,38
28,47
32,47
12,30
10,15
25,30
2,46
1,10
25,27,48
27,44,62
15,28,47
15,42,66
10,43,50
1,28,61
40,45,59
10,15,43
11,33,57
29,44,47
31,32,50
1,43,61
27,48,64
21,42,47
28,42,55
31,47,50
15,50,65
1,43,50
43,51,70
10,47,56
15,29,61
10,28,56
32,40,50
1,33,48
47,50,70
30,48,61
10,29,42
1,15,21
15,28,42
28,43,69
23,27,49
1,28,43
28,42,59
24,48,56
24,29,56
35,47,50
1,21,29
23,27,64
1,43,56
27,44,48
1,44,70
21,56,70
15,47,59
10,44,61
10,15,29
31,33,57
11,25,57
10,21,24
28,29,43
11,29,43
15,42,67
1,43,47
25,44,58
21,61,70
15,47,50
15,23,56
15,42,69
11,20,25
21,43,56
42,47,65
31,45,58
15,29,47
44,52,59
10,28,42
1,52,58
1,10,61
1,21,24
31,49,60
33,40,49
1,28,42
10,22,27
10,15,24
1,12,32
15,24,70
1,21,28
1,50,58
24,43,50
10,29,45
22,30,49
15,21,47
15,29,42
1,29,43
1,48,56
10,28,50
1,29,56
24,47,67
10,49,61
1,47,61
28,43,50
24,45,47
43,47,69
21,24,29
21,24,42
24,31,59
1,29,47
1,29,60
1,47,50
10,15,61
21,47,70
10,43,70
43,50,61
1,25,51
1,15,61
30,41,61
10,27,49
1,48,64
29,47,70
1,15,50
15,49,64
21,47,50
47,50,61
42,47,59
25,51,57
15,24,47
15,43,60
1,10,29
1,29,42
20,25,27
21,28,54
21,50,68
10,50,70
21,28,43
1,23,44
10,28,29
29,56,61
10,15,62
15,27,30
28,29,50
47,50,56
15,24,42
23,31,48
1,12,59
21,28,47
24,28,61
1,11,51
43,47,61
15,47,70
1,43,69
21,48,70
31,50,59
43,56,70
24,47,50
28,44,56
43,47,50
1,21,70
1,10,15
1,24,47
1,42,50
1,61,63
42,43,61
1,21,59
23,48,61
15,28,63
10,24,29
24,28,43
10,21,28
12,44,59
1,21,50
1,20,29
1,10,21
11,20,53
1,42,43
1,42,56
10,47,70
34,41,44
30,44,64
15,24,28
51,57,60
24,28,47
15,28,56
21,29,56
15,24,43
1,21,43
2,27,46,69
28,42,47,70
9,27,33,54
32,39,40,67
15,19,48,69
2,24,28,56
2,23,38,48
15,23,44,52
1,29,42,50
27,56,61,70
7,15,39,64
43,46,51,57
10,15,29,56
6,18,30,68
30,39,56,68
14,25,54,63
24,28,29,47
1,24,29,56
2,15,47,64
7,15,19,38
15,29,42,56
1,29,43,57
1,21,28,50
15,44,48,49
1,28,51,57
1,28,50,61
10,15,21,43
12,13,30,41
33,40,54,65
26,45,59,63
8,17,46,54
27,41,44,59
15,43,47,50
32,39,47,53
14,28,29,57
1,21,24,43
15,23,30,56
30,39,41,56
1,24,43,70
7,15,18,56
1,10,28,56
1,25,57,60
2,27,44,56
42,47,61,70
1,14,23,60
15,28,42,43
18,24,32,39
1,10,28,47
22,39,53,56
1,28,46,51
22,44,48,70
21,28,43,47
16,30,55,63
15,32,47,64
14,20,25,42
10,23,41,48
30,46,58,70
15,21,24,70
21,24,47,70
2,8,26,48
43,47,56,61
13,17,21,33
2,8,54,57
22,23,31,49
1,25,30,51
21,42,50,61
21,24,47,61
15,23,49,61
21,43,56,70
13,51,58,70
21,24,43,50
10,21,50,56
23,31,45,48
3,8,36,63
4,39,54,65
12,27,30,41
24,42,50,61
22,26,31,45
15,27,30,56
7,27,38,48
10,50,61,70
28,39,43,53
3,30,32,59
10,15,22,61
15,29,56,70
14,43,46,57
21,42,47,70
7,32,43,47
2,8,48,52
24,43,53,64
3,45,50,59
18,32,53,68
24,32,39,47
23,48,49,60
15,29,43,56
11,14,28,42
11,20,28,70
33,58,62,69
29,43,46,60
12,35,45,63
15,28,29,50,61
10,21,43,56,61
10,21,28,29,43
10,21,28,29,56
1,27,30,48,62
1,10,25,44,70
1,10,15,29,44
12,20,27,30,59
24,31,45,47,50
11,31,45,48,49
10,30,34,49,61
24,28,43,50,61
1,10,24,56,61
15,21,24,47,70
1,24,31,47,59
15,29,44,47,61
10,29,43,47,61
15,28,29,43,60
21,43,48,56,61
1,23,31,40,57
1,15,48,49,57
10,21,24,29,43
10,21,43,47,56
10,21,43,50,61
10,23,30,48,64
24,29,43,56,68
10,21,42,56,70
10,43,50,56,61
10,22,23,49,70
11,20,51,53,57
1,15,42,47,59
10,15,21,29,47
10,28,42,43,69
21,28,29,45,47
23,30,34,41,61
1,35,42,47,50
15,29,42,43,67
10,21,29,44,56
32,40,45,47,59
1,10,21,28,55
21,24,28,29,56
10,21,28,47,50
23,27,30,48,49
1,10,43,50,61
12,31,32,45,58
25,27,41,48,56
23,31,40,49,57
1,15,28,61,63
11,20,25,29,53
1,10,42,50,56
15,21,24,47,61
1,42,43,51,70
1,25,41,44,48
23,34,41,48,56
28,43,51,53,57
21,43,50,56,70
1,15,24,42,56
10,24,29,45,50
21,28,42,47,56
30,44,49,56,70
21,35,43,47,61
1,10,15,29,50
12,31,40,45,50
10,24,43,50,61
10,21,42,56,61
10,15,42,49,70
10,15,21,56,61
15,24,42,49,70
25,44,48,56,70
1,21,24,29,43
21,29,47,56,61
10,28,44,56,61
10,21,44,56,61
15,23,44,48,70
1,15,28,29,47
1,34,41,44,49
10,28,29,56,61
32,40,45,47,50
1,10,21,47,59
15,30,48,56,64
10,30,43,56,61
1,12,32,40,59
1,15,29,47,70
15,28,50,61,66
1,11,20,28,60
10,21,31,56,70
21,28,43,50,66
1,12,31,45,47
1,21,28,43,56
1,15,27,30,56
10,30,44,56,64
1,29,43,60,70
1,20,28,43,57
1,10,21,43,50
1,24,42,47,70
1,10,15,21,70
24,31,32,50,59
1,22,27,30,61
1,21,42,47,70
10,15,23,27,56
1,15,21,24,47
1,28,42,50,66
1,15,24,29,42
1,15,22,49,61
1,10,43,61,67
21,28,42,43,47
15,21,29,44,61
21,24,43,47,56
15,21,24,43,56
10,25,30,48,56
15,21,43,47,50
10,29,43,54,61
27,48,49,61,62
10,21,42,43,47
15,22,27,44,49
1,10,15,21,59
1,25,27,30,59
1,10,21,28,50
1,15,29,47,61
42,43,50,56,61
1,10,29,43,61
10,15,24,28,69
1,11,20,28,51
1,15,21,29,43
1,29,43,47,67
1,24,32,45,47
1,25,27,44,49
12,20,25,27,44
10,27,30,48,62
10,24,48,56,70
1,10,15,21,61
21,28,35,50,61
21,24,42,47,69
1,21,42,47,61
21,43,50,54,61
10,21,24,43,61
25,51,52,58,59
10,28,29,50,65
1,15,28,42,47
10,21,29,47,56
15,24,28,42,70
21,28,43,54,56
1,23,41,44,56
10,31,47,56,70
1,10,25,30,70
15,21,29,43,68
41,48,49,56,70
1,33,40,49,57
29,42,51,56,70
1,10,23,44,64
1,10,43,47,70
15,21,28,42,50
1,15,48,56,61
15,24,43,47,67
10,29,42,47,56
31,40,45,48,60
1,10,30,44,48
15,24,28,42,59
28,43,47,56,61
1,11,23,31,40
1,28,29,47,50
10,24,48,56,61
1,30,44,48,49
29,47,50,56,65
40,45,47,50,58
10,15,21,61,70
1,12,24,45,47
1,10,15,23,30
10,31,43,47,50
10,24,50,56,61
11,20,25,51,57
1,15,23,30,44
10,21,28,61,70
10,15,23,30,56
1,10,28,50,56
10,24,28,47,70
15,22,44,48,70
10,15,30,49,64
1,12,31,40,50
1,25,30,51,59
15,42,47,61,67
1,21,42,56,61
1,21,28,42,43
1,10,29,56,61
24,29,43,50,56
15,28,29,47,50
1,15,21,42,43
21,28,29,47,70
10,30,41,49,61
10,15,42,47,65
1,20,25,43,57
1,10,27,48,64
21,28,47,56,65
1,40,45,47,58
1,24,29,56,70
1,10,21,48,70
10,24,28,43,61
1,10,21,29,70
24,28,42,61,70
23,48,49,56,61
31,32,40,50,59
21,24,28,43,50
15,21,47,50,65
1,15,28,49,56
10,15,28,47,50
10,15,28,42,69
23,34,41,44,48
21,24,28,42,66
21,28,47,50,61
10,22,49,57,70
1,24,43,50,58
1,15,43,56,70
10,15,21,24,58
1,40,45,48,57
1,10,21,30,56
1,21,28,47,70
24,45,47,50,58
11,31,40,49,60
1,21,43,56,70
1,27,44,52,59
10,24,50,54,61
21,24,42,61,67
1,24,28,42,47
10,24,42,43,70
22,27,44,48,61
1,21,28,42,47
10,28,42,43,50
1,10,21,50,65
1,10,28,29,56
1,10,15,28,61
10,25,27,44,49
24,28,42,43,69
1,15,23,27,49
22,27,44,49,62
21,24,28,29,50
10,21,24,47,56
12,24,31,45,47
1,10,28,61,63
1,15,22,49,62
15,21,47,61,70
31,45,47,50,58
15,24,29,43,50
10,21,50,61,66
1,21,31,42,50
1,15,43,47,56
1,10,15,21,47
1,21,43,50,70
1,27,30,48,49
21,43,50,61,63
1,25,30,41,48
15,21,28,47,70
15,21,47,50,58
10,21,42,47,50
10,27,30,41,49
1,10,22,30,49
1,28,29,51,60
21,24,28,43,56
1,21,24,43,56
10,15,24,42,47
1,15,27,30,48
1,21,24,28,54
1,10,44,49,56
20,25,30,51,58
28,45,47,56,70
10,23,30,34,61
1,42,43,61,70
10,28,29,47,50
1,10,43,47,69
15,27,30,44,49
1,15,29,50,56
20,44,51,52,58
10,21,24,28,47
1,24,28,43,61
15,23,30,44,64
10,28,42,47,69
15,21,30,42,61
23,31,48,57,60
1,21,24,47,56
21,24,28,42,61
15,21,29,43,56
1,10,15,22,48
1,10,21,54,56
15,24,29,50,70
15,28,47,60,70
10,28,42,50,59
1,31,33,49,57
1,21,24,50,70
1,21,43,47,69
1,10,21,28,29
1,10,44,48,61
25,27,41,44,70
21,24,28,29,43
24,31,32,45,59
15,24,42,43,47
10,21,28,42,43
21,42,47,59,70
31,33,49,57,60
1,10,24,29,55
10,29,44,61,70
1,10,30,44,49
10,21,42,47,67
1,10,50,61,66
21,24,28,42,50
1,42,43,50,61
11,20,29,43,53
1,21,29,43,68
10,15,21,24,42
1,40,47,50,58
28,42,55,56,61
10,15,21,49,61
1,23,40,45,49
1,25,51,57,60
1,20,25,30,51
12,31,40,47,59
10,24,56,61,70
25,28,43,51,53
10,25,27,41,56
1,24,47,56,70
21,29,44,61,70
1,21,29,43,70
11,23,31,33,49
1,10,15,21,42
23,41,44,56,61
10,21,24,61,70
1,11,20,25,57
1,27,48,49,70
10,24,29,43,50
1,15,21,43,56
10,22,30,48,62
10,28,45,56,70
1,21,29,50,58
1,11,33,49,57
15,29,50,61,63
1,24,32,40,47
15,21,24,50,68
15,21,24,42,69
1,27,44,52,58
25,28,29,43,57
1,10,34,41,61
1,23,27,44,64
1,20,27,44,51
10,23,30,34,56
1,41,44,48,56
1,29,55,56,61
10,29,47,50,56
10,24,29,47,50
12,25,30,44,59
31,47,50,56,70
10,21,24,28,42
22,30,44,49,70
1,10,21,29,47
20,25,27,30,52
10,21,24,29,67
10,23,34,44,56
1,24,40,47,50
10,21,42,50,61
1,10,42,47,60
10,21,29,43,70
1,21,29,43,61
15,21,29,42,68
1,21,43,50,56
1,10,15,50,63
1,10,29,42,65
10,41,44,48,61
10,28,43,56,69
10,15,24,50,70
1,10,23,48,49
1,21,47,50,65
1,20,25,28,51
1,24,29,50,56
21,43,47,50,61
1,20,27,51,58
1,21,29,47,61
1,29,44,56,61
41,44,48,56,61
10,23,30,44,64
21,24,29,43,56
1,28,29,55,61
33,40,48,49,57
24,31,32,40,58
1,10,21,43,70
10,21,35,50,61
1,11,53,57,60
1,21,29,56,70
1,12,30,44,58
1,24,31,56,70
10,15,21,43,50
10,42,43,61,67
1,10,15,44,48
28,29,43,47,61
23,30,48,49,61
1,28,44,47,70
15,21,43,47,70
15,28,50,56,65
28,45,47,50,56
15,42,43,47,60
1,10,21,47,70
15,21,56,61,70
15,21,28,42,66
10,28,29,45,47
15,24,47,50,59
34,41,44,49,61
44,48,49,56,70
1,43,47,50,70
1,40,45,57,60
10,15,30,49,62
15,24,28,47,69
10,21,29,43,63
10,23,44,49,56
1,24,28,29,61
10,15,21,24,28
10,24,28,29,56
11,23,31,40,49
1,10,15,28,42
15,21,28,56,69
21,35,42,43,47
1,15,24,28,43
21,42,43,50,68
1,15,29,42,47
10,21,43,61,63
28,35,42,50,61
1,21,28,35,43
10,24,47,50,70
15,24,43,47,56
10,21,24,42,56
1,10,21,29,42
1,15,24,50,70
1,10,15,24,29
1,10,21,43,61
1,10,21,24,61
24,31,50,58,59
15,24,42,56,70
31,40,45,50,58
15,23,27,49,64
24,32,47,50,58
1,28,42,43,50
30,44,48,49,57
21,42,47,56,70
20,30,44,51,59
1,10,27,30,48
1,27,48,49,56
10,15,22,23,57
12,25,30,51,59
1,23,41,48,49
1,10,29,42,47
1,30,34,56,61
1,42,43,47,61
1,28,42,56,70
1,11,23,33,40
10,15,48,49,64
10,15,21,43,56
10,15,28,29,63
1,10,15,21,30
1,10,28,43,60
1,10,49,56,61
21,24,43,47,69
1,10,15,21,43
25,27,30,44,58
1,29,43,50,68
15,22,27,44,62
1,15,24,43,58
10,22,27,49,61
1,10,24,29,47
23,27,44,48,56
1,10,24,47,50
10,29,43,50,61
1,21,28,29,56
24,42,47,59,70
10,28,29,43,60
1,35,42,50,61
10,15,28,29,65
23,30,34,48,56
10,24,47,59,70
1,10,42,43,61
1,21,24,28,50
10,15,44,48,64
1,10,28,29,43
1,10,21,49,56
31,33,48,49,60
1,11,25,29,57
25,27,30,52,59
21,28,54,56,61
15,30,43,47,70
1,15,28,56,61
1,12,20,27,51
1,28,42,56,61
1,12,31,32,59
10,24,28,42,56
1,10,48,56,70
21,28,45,56,70
10,24,28,42,69
35,43,50,56,61
21,24,42,43,69
10,15,21,43,60
27,30,44,48,49
27,30,44,48,62
10,28,35,42,50
1,42,43,56,61
1,10,15,28,50
1,29,42,47,70
1,28,29,43,50
29,43,47,61,63
1,10,21,24,43
1,23,48,49,60
21,24,43,56,69
15,28,47,56,69
1,42,47,56,70
1,24,43,61,67
10,15,43,56,61
1,28,29,45,70
10,15,27,48,62
1,10,44,56,70
1,10,42,47,50
10,21,29,43,60
21,24,31,42,47
21,42,47,56,65
25,27,52,58,59
15,21,24,29,43
1,24,28,47,61
1,12,51,58,59
10,21,24,54,61
10,21,24,56,70
1,10,15,50,66
1,15,21,61,67
1,10,31,42,70
