3,4
1,6
1,9
2,14
10,11
2,10
1,14
1,10
6,15,16
2,10,12
2,17,27
1,6,15
1,6,21
1,14,28
3,10,11
10,11,24
1,10,18
1,6,27
3,15,28
2,15,17
2,5,28
1,10,24
1,10,27
1,10,21
10,17,27
1,9,19
1,9,25
2,8,14
1,9,28
2,10,17
2,10,23
1,15,19
1,6,20
3,7,14
1,15,25
1,6,26
2,5,15
3,10,16
1,15,28
2,15,25
3,4,15
2,15,28
3,10,28
1,13,28
1,9,21
1,14,20
1,9,27
6,17,26
1,10,13
10,13,16
1,6,28
2,10,28
1,15,24
10,13,28
1,21,25
1,10,28
1,9,14
1,10,13,28
2,5,15,28
1,15,19,24
1,6,15,28
1,6,20,27
1,9,21,25
3,7,14,28
2,10,17,27
1,10,21,24
2,15,17,25
1,9,14,28
