1,10
1,6
1,6,26
1,6,115
3,10,16
2,10,47
1,6,110
1,6,119
1,10,18
1,6,96
1,6,105
1,6,114
1,10,13
1,52,113
1,6,91
1,6,100
1,9,25
1,86,110
1,96,114
1,6,99
2,10,107
1,9,95
2,5,15
1,6,53
48,61,120
1,6,89
1,78,86
1,51,87
1,10,73
1,77,108
3,7,14
3,10,79
1,6,43
1,6,52
1,6,61
3,10,56
1,6,20
6,74,105
1,6,33
1,95,110
1,9,70
6,16,103
1,9,65
2,10,63
3,4,91
1,6,103
1,9,19
1,9,14
2,10,12
1,6,84
1,6,111
1,6,120
13,64,102
1,6,88
1,6,97
1,10,81
1,10,90
1,10,108
1,6,60
1,6,78
10,13,16
1,10,48
3,4,15
6,100,115
1,6,63
1,9,82
1,10,65
3,10,67
1,6,60,120
1,6,15,89
2,23,64,112
1,6,43,53
1,6,20,51
1,26,61,102
2,10,12,62
1,10,90,102
1,10,90,111
1,10,13,102
1,6,53,83
1,6,60,91
1,6,63,105
1,6,64,88
1,6,26,61
1,13,35,102
3,4,15,91
10,48,61,120
1,6,74,105
1,35,88,102
1,10,13,87
1,6,28,119
1,86,102,110
2,10,93,116
2,10,47,112
1,60,91,116
1,6,77,115
53,60,100,115
2,5,15,102
10,23,48,120
1,6,50,115
2,10,85,93
2,10,34,38
1,51,87,104
1,6,96,114
3,7,14,103
1,6,15,120
1,9,25,72
10,13,16,74
1,13,90,102
3,10,16,114
1,10,34,108
1,6,54,97
1,6,53,101
1,6,77,86
1,6,43,83
1,9,62,70
1,6,102,119
10,67,90,120
1,6,75,119
1,10,64,120
10,23,73,120
1,6,52,104
1,6,52,113
1,6,86,110
1,6,26,114
1,6,15,77
1,10,51,108
10,48,73,120
1,6,53,72
1,6,65,74
2,10,23,64
2,10,12,64
1,6,34,77
2,10,23,73
1,6,45,104
6,26,61,104
1,6,97,119
1,10,13,90
6,53,100,115
1,6,43,111
1,6,43,120
1,74,100,116
1,6,74,116
1,9,70,102
1,6,15,43
1,6,104,111
1,10,48,64
1,10,48,73
1,6,77,103
1,51,87,115
2,10,47,104
1,10,13,74
1,10,24,61
1,10,35,61
1,6,51,104
10,13,16,99
1,6,96,111
2,10,47,90
10,34,91,108
2,5,15,62
3,10,16,116
10,13,99,115
1,6,76,114
2,10,12,113
1,6,43,83,120
1,6,61,77,119
1,6,41,75,119
1,6,74,83,103
1,10,13,102,113
10,13,64,88,102
1,6,77,87,103
10,42,63,73,105
2,10,44,85,114
1,10,13,74,116
1,6,77,97,115
1,10,61,73,120
29,48,73,88,120
1,35,61,88,102
1,26,35,88,102
1,9,44,62,70
1,10,24,35,77
1,33,42,63,105
10,36,61,73,120
1,10,48,61,120
1,10,13,35,115
1,10,61,73,105
2,10,23,64,112
3,10,16,27,114
1,35,63,88,102
2,10,23,64,98
1,10,51,87,104
29,48,61,73,120
1,10,13,88,102
1,6,75,101,119
22,48,61,73,120
1,6,77,84,115
1,10,13,77,88
1,10,61,87,120
1,10,48,61,73
1,6,15,74,120
1,6,77,103,115
1,10,13,28,87
1,10,13,35,77
1,6,43,53,119
10,44,64,85,93
1,6,63,105,115
1,10,13,73,90
3,10,16,64,116
1,10,13,102,112
1,10,35,77,120
10,22,48,61,120
2,10,64,77,115
1,10,35,77,115
1,10,35,88,102
1,10,13,64,102
2,10,44,93,116
1,10,13,74,105
1,10,35,61,102
1,10,35,61,120
2,10,85,93,111
1,6,20,51,119
1,6,21,75,119
2,10,44,85,93
1,13,71,90,102
2,10,23,64,120
1,6,61,77,115
1,10,13,77,115
10,35,48,61,120
10,48,61,73,120
2,10,85,93,114
1,35,61,86,115
1,10,24,61,77
1,10,13,43,102
1,6,53,65,100
1,10,48,87,120
3,10,16,61,114
1,18,51,87,104
10,36,48,73,120
1,13,44,90,102
1,6,42,63,105
1,10,36,77,115
1,6,60,91,102
10,13,64,102,113
10,48,64,73,120
2,10,35,61,88,120
1,6,77,84,103,115
2,10,35,44,61,104
10,36,48,61,73,80
1,10,24,35,77,84
10,22,48,57,73,120
1,6,42,63,105,118
1,6,43,53,64,119
2,10,44,57,85,114
1,10,35,77,97,115
1,48,61,73,87,120
1,6,36,77,103,115
2,10,35,44,47,61
2,35,44,61,91,120
1,10,13,73,86,102
1,10,24,35,61,89
2,10,35,61,91,120
1,10,48,74,87,120
1,6,43,53,97,119
1,48,63,73,87,120
2,10,44,85,97,114
1,10,13,35,77,99
10,48,61,73,80,120
1,26,35,61,88,102
2,10,23,64,73,120
1,6,35,77,103,115
29,42,48,63,73,120
6,36,77,84,103,115
2,10,35,44,93,111
10,44,48,61,87,120
2,10,44,85,93,111
1,10,48,61,73,120
10,44,48,85,93,114
10,36,48,73,80,120
2,10,66,85,93,111
1,10,44,48,61,85
1,6,52,61,105,115
1,10,44,61,85,114
1,10,35,61,102,118
1,10,24,35,77,97
6,16,33,42,63,105
1,9,35,61,88,102
1,10,61,74,87,120
1,13,33,44,90,102
1,6,33,42,63,105
2,10,77,85,103,114
1,10,13,86,102,112
1,6,52,63,105,115
1,10,48,61,87,120
1,10,24,35,61,120
2,10,35,44,61,120
1,48,61,74,87,120
1,6,35,42,63,105
1,6,77,87,103,115
1,10,48,61,87,101
10,29,48,61,73,120
1,26,48,61,73,88
1,10,21,48,87,120
3,10,16,61,89,114
2,10,35,44,61,91
10,22,48,61,73,120
2,10,44,61,85,114
1,10,13,35,77,115
1,10,24,35,61,77
2,44,66,85,93,111
1,10,13,64,102,112
10,36,48,61,73,120
1,10,13,35,88,102
1,10,35,88,102,118
2,10,44,85,93,114
10,48,61,73,87,120
1,10,35,61,88,102
1,10,35,61,88,120
1,10,13,35,91,120
2,10,61,74,87,120
1,10,13,36,88,102
1,10,35,44,61,120
1,10,35,61,91,120
2,10,34,44,66,85
1,35,61,77,86,115
2,10,35,44,47,91
2,35,61,77,86,115
1,10,13,74,105,116
2,10,44,61,91,114
2,10,44,66,85,93
2,10,44,66,85,111
1,10,35,44,91,120
2,10,23,64,88,118
1,10,24,61,87,120
1,10,13,35,86,120
1,6,35,77,84,103,115
2,10,36,61,73,80,120
1,6,33,42,63,77,105
1,10,13,35,88,102,118
1,10,24,35,61,89,104
1,10,13,64,86,102,112
1,10,13,35,77,99,115
2,10,66,74,85,93,111
1,6,52,61,74,105,115
1,10,24,35,61,77,120
1,10,35,61,77,99,115
1,10,35,44,61,91,120
1,10,13,35,78,99,115
2,10,44,66,85,93,111
1,10,35,61,89,104,115
1,6,35,77,83,103,115
1,10,44,48,61,91,120
2,10,34,44,66,85,93
1,10,48,61,73,87,120
2,10,35,44,47,61,120
2,10,44,57,85,97,114
1,10,24,35,61,77,105
1,26,35,61,88,102,118
1,24,35,61,77,83,115
2,10,35,44,47,91,120
1,10,48,61,74,87,120
2,10,35,44,47,61,91
2,10,35,44,61,91,120
10,36,48,61,73,80,120
10,35,44,48,61,91,120
1,9,35,61,77,86,115
1,9,35,42,63,77,105
1,10,21,48,74,87,120
1,6,52,63,71,105,115
2,10,35,44,47,61,91,120
2,10,44,66,75,85,93,111
