1,6,26
1,6,104
1,6,434
1,6,391
1,6,358
1,6,171
1,6,449
2,10,327
2,10,461
1,6,272
1,6,183
1,406,418
1,9,304
3,10,121
6,165,440
1,6,99
1,6,341
2,10,255
1,6,210
1,6,429
10,121,173
1,247,309
1,6,418
1,6,496
1,6,77
1,343,413
1,6,90
1,6,345
1,6,433
1,6,158
1,6,102
1,6,200
1,6,236
1,6,164,451
1,6,391,493
1,224,336,461
3,10,118,121
1,6,266,298
1,6,298,357
1,6,202,281
1,6,391,417
3,124,272,466
1,6,405,417
1,6,226,405
1,168,343,359
1,6,248,391
1,308,406,418
1,6,90,474
1,6,298,336
1,6,229,478
1,6,168,216
1,6,53,378
1,6,152,383
2,10,30,368
1,6,228,341
1,6,113,368
1,6,72,205
2,10,173,420
3,10,343,436
2,10,12,420
2,10,361,455
1,6,297,391
1,60,245,271
1,6,345,478
1,6,113,216
1,6,378,384
1,406,418,448
1,9,145,304
2,10,47,128
1,6,406,418
1,6,135,449
1,6,158,203
1,6,53,127
1,6,180,204
1,9,304,420
1,33,183,417
1,53,269,378
1,6,33,417
1,6,456,487
1,6,171,210
2,10,327,361
2,10,238,255
1,6,183,393
1,6,205,417
1,9,289,304
2,10,127,327
1,6,236,344
1,6,262,481
1,6,71,397
1,6,261,391
1,6,99,485
2,10,173,315
3,10,67,270
1,6,272,367
1,6,99,298
1,6,224,391
1,6,99,396
1,6,341,423
2,10,44,327
1,6,152,300
1,6,53,298
3,10,21,106
1,9,145,229
1,6,403,477
1,6,181,284
1,6,226,291
1,6,127,262
6,53,127,356
3,10,121,415
1,6,128,183
1,6,323,400
1,6,126,236
1,6,34,418
1,6,358,491
1,6,169,201
1,6,216,397
1,6,205,244
1,6,60,271
1,6,77,458
1,6,41,391
1,262,406,418
1,6,378,399
1,6,35,446
1,6,142,284
1,204,236,367
1,6,204,236
1,6,72,323
1,6,226,237
6,99,396,496
1,6,400,477
1,6,241,461
1,6,158,283
2,5,15,373
1,6,104,204
1,168,343,413
1,6,99,344
1,9,222,289,324
3,10,115,121,185
1,6,229,291,478
2,10,327,361,455
1,6,204,275,391
1,9,271,289,398
1,53,219,269,378
1,6,226,291,319
1,6,113,216,368
1,9,145,229,496
1,6,127,150,389
1,6,135,253,391
1,6,324,400,477
2,10,12,406,420
1,6,86,266,298
1,6,33,417,458
2,10,27,327,361
2,10,127,327,396
1,6,99,180,204
1,6,126,204,236
1,6,391,417,473
1,6,127,204,349
1,6,246,266,298
1,6,53,318,391
2,10,12,127,271
1,6,224,261,341
1,6,164,391,496
1,6,104,204,493
1,6,126,224,236
2,10,44,322,327
1,225,262,341,418
1,6,127,272,389
1,6,310,391,496
1,319,406,418,448
2,10,173,337,420
1,6,264,323,383
1,241,308,406,418
1,6,90,391,496
1,6,53,127,420
1,168,308,343,413
1,6,226,309,413
1,6,219,396,493
1,6,216,397,446
1,6,72,105,323
2,10,173,420,476
1,6,219,391,493
1,6,72,323,392
1,6,127,222,272
1,6,224,309,391
2,10,173,298,315
1,6,205,305,417
1,6,294,341,423
1,6,241,461,478
1,26,152,406,418
2,10,255,320,361
1,6,224,342,391
1,6,226,309,405
2,10,208,327,361
3,10,308,406,436
1,6,224,262,481
1,6,247,297,391
1,262,406,418,442
1,6,21,183,454
1,6,169,201,293
1,6,250,358,491
1,9,289,304,465
2,21,95,241,420
1,6,245,391,496
2,10,173,292,315
1,9,145,289,304
2,10,73,327,361
1,6,97,204,236
1,6,391,424,471
1,6,65,367,496
1,9,262,320,418
1,9,113,289,304
1,21,95,241,418
1,6,226,360,405
1,6,181,224,284
1,117,171,210,391
1,6,60,245,271
1,6,169,201,393
2,10,91,361,455
1,6,226,244,396
1,262,330,406,418
2,306,327,361,415
1,6,99,406,460
3,10,115,121,415
1,6,205,244,356
2,10,173,247,420
1,113,216,368,458
1,6,104,323,400
1,204,236,367,464
2,10,196,327,361
1,6,101,324,411,477
3,10,115,121,300,415
8,21,95,133,241,418
2,10,12,127,271,406
1,6,224,342,391,443
1,27,262,406,418,442
1,6,99,180,204,275
2,10,327,361,392,455
1,6,228,341,458,480
1,6,299,324,400,477
1,6,324,400,411,477
1,10,361,400,458,490
2,10,30,247,297,391
1,6,161,204,275,391
1,6,113,219,391,493
1,168,194,308,343,413
1,9,54,289,324,458
2,10,12,105,127,271
2,10,208,316,327,361
1,6,147,262,442,481
1,6,169,181,331,403
1,6,204,275,320,418
1,6,27,148,266,298
1,6,226,309,405,440
1,225,262,320,341,418
1,6,169,181,208,331
1,6,104,188,204,493
1,54,289,324,463,472
1,6,62,262,427,481
1,6,99,169,201,463
1,6,126,204,236,275
1,6,97,204,236,377
1,9,222,289,324,458
1,6,127,150,272,389
1,6,98,216,397,446
2,10,44,322,327,403
1,6,250,268,358,491
1,6,245,308,391,493
1,6,188,204,389,493
1,9,45,289,324,458
1,6,222,264,323,383
1,117,171,210,340,391
1,6,169,181,284,331
1,6,250,358,395,491
1,6,72,253,262,481
1,6,127,228,341,406
2,171,210,253,341,391
1,6,53,127,168,420
1,6,169,201,293,463
1,9,101,271,289,398
6,263,294,341,356,423
1,6,250,268,356,491
2,10,208,327,361,490
1,6,226,309,368,405
3,10,308,406,436,483
2,171,210,341,391,472
1,6,310,369,391,496
1,6,250,342,391,443
1,6,97,127,204,236
6,53,96,127,400,420
1,6,98,294,341,423
1,6,27,148,298,405
1,6,126,204,288,454
1,262,320,406,418,442
1,6,264,323,359,383
1,6,35,104,323,423
1,6,310,391,413,496
1,6,219,345,391,493
1,6,247,297,391,471
1,6,99,127,258,485
1,90,241,324,400,478
1,6,150,272,389,415
1,10,99,208,265,361
1,6,310,358,391,496
1,6,181,250,358,491
133,168,241,308,406,418
1,6,164,310,358,391
1,168,244,308,396,490
2,10,12,127,406,420
2,26,152,262,406,455
1,6,229,259,291,478
1,6,205,244,356,394
2,10,73,173,298,315
1,117,171,210,214,391
1,6,28,72,323,392
1,6,97,324,411,477
1,6,294,341,356,423
1,9,201,250,289,324,443
1,6,210,216,241,397,446
1,54,130,289,324,463,472
1,6,167,247,297,391,471
1,6,76,98,294,394,477
1,6,247,297,391,424,471
1,10,54,205,361,392,458
2,126,204,236,275,292,333
1,6,247,288,391,417,491
1,6,27,91,250,262,358
1,24,90,241,324,400,478
1,6,76,98,294,423,477
1,6,189,205,244,356,394
1,6,164,310,358,391,496
1,6,53,370,400,420,440
2,10,12,105,127,271,323
1,6,176,229,259,291,364
1,6,27,250,324,371,400
2,52,117,171,210,214,391
1,6,178,294,341,356,423
2,26,152,262,329,406,455
2,10,208,327,361,422,490
1,6,101,283,324,411,477
1,117,171,210,214,340,391
1,6,72,147,253,262,481
1,6,294,341,356,423,450
2,10,30,171,247,391,432
1,27,262,330,406,418,442
1,6,133,250,268,358,491
1,168,194,308,343,413,451
1,6,76,98,294,356,477
1,6,263,294,341,356,423
1,6,27,204,236,275,455
1,6,136,245,308,391,493
1,6,161,204,275,358,391
1,6,324,371,400,411,477
1,6,64,76,324,400,411
1,6,136,164,205,391,493
1,6,205,294,341,356,423
1,6,136,205,391,417,493
1,9,54,289,324,458,472
1,27,197,262,330,406,418
1,126,204,294,333,356,450
1,6,164,283,310,391,496
1,6,283,324,400,411,477
1,6,72,253,262,358,481
1,10,202,361,400,458,490
1,6,204,275,320,361,418
1,117,171,210,283,340,391
6,53,96,127,289,400,420
1,136,245,308,391,442,493
2,10,27,170,247,297,391
1,189,205,244,288,394,417
1,6,54,76,208,324,472
2,10,208,265,361,422,458
6,136,245,288,308,391,493
1,10,145,361,400,458,490
6,53,96,127,370,400,420
1,6,176,229,259,291,478
1,6,62,262,310,427,481
1,6,248,324,400,411,477
1,6,136,205,288,391,493
1,6,104,294,341,356,423
1,6,150,272,347,389,415
1,117,171,210,214,241,391
1,6,126,204,236,333,455
2,10,12,217,315,341,406
1,6,150,206,272,389,415
6,217,294,315,341,356,423
1,6,76,294,356,423,477
1,6,27,148,262,405,481
1,6,136,205,288,391,417
1,6,98,216,261,397,446
1,54,128,289,324,463,472
1,10,27,247,361,400,490
1,230,250,262,342,443,481
1,6,136,205,391,417,453
1,54,208,289,324,463,472
1,6,209,294,341,356,423
1,10,54,94,361,392,458
1,6,98,294,341,423,454
1,6,54,205,228,356,394
1,6,164,204,275,391,471
2,40,180,247,275,297,391
1,10,27,265,361,392,458
1,6,76,324,400,411,477
1,10,208,265,361,392,458
1,6,169,181,284,331,486
2,10,117,327,361,392,455
1,6,72,147,253,262,288
1,6,53,127,289,400,420
1,6,27,91,98,250,320
1,99,180,247,275,297,354
1,6,27,136,288,391,417
1,10,94,208,265,361,458
1,6,189,205,244,356,394,413
1,6,136,205,288,391,417,493
2,41,52,117,171,210,214,391
1,24,90,170,176,241,324,478
1,6,136,245,264,308,391,493
1,6,27,54,289,347,406,420
1,117,171,210,214,340,391,430
1,6,76,98,274,294,423,477
2,10,30,171,178,247,391,432
1,6,169,181,284,307,331,486
1,6,27,54,187,406,420,442
1,6,72,167,253,262,358,481
1,9,54,105,136,289,324,493
2,40,180,247,275,297,391,493
1,24,90,241,400,417,453,478
1,26,152,237,329,406,418,455
1,6,76,98,136,294,356,477
1,6,27,125,148,262,289,405
1,6,53,127,370,400,420,440
1,6,15,136,205,324,391,417
1,6,176,200,229,259,291,478
1,6,136,253,264,308,391,413
6,53,96,127,273,370,400,420
2,40,142,180,275,297,391,493
2,95,126,204,236,275,292,333
1,6,27,148,262,281,405,481
1,27,226,262,330,406,418,442
1,24,90,170,241,324,400,478
1,27,187,262,330,406,418,442
1,6,15,136,205,288,391,417
1,6,98,146,216,261,320,397
1,6,145,167,247,297,391,471
1,52,97,117,149,210,214,324
1,10,94,208,265,361,392,458
1,6,126,262,310,427,455,481
1,6,53,205,262,330,394,418
1,6,98,126,146,261,320,397
1,6,245,283,324,357,400,411
1,6,136,151,245,264,308,391
1,26,152,289,329,406,455,471
1,10,94,208,265,361,385,458
1,6,136,205,288,391,417,453
1,6,101,283,324,394,411,477
1,6,136,245,264,283,391,411
2,26,152,192,262,329,406,455
1,6,98,150,182,261,347,415
1,6,64,209,294,341,356,423
6,217,294,315,341,356,423,476
1,6,136,205,215,391,417,493
1,6,104,159,294,341,356,423
1,6,159,283,324,341,411,477
1,6,72,147,253,262,288,413
1,6,142,180,275,297,391,493
1,10,136,145,361,400,458,490
1,6,27,148,220,262,405,481
1,6,27,148,262,405,427,481
1,6,136,205,306,391,417,453
1,6,27,204,236,275,423,455
1,6,164,204,275,371,391,471
1,94,148,262,361,405,458,481
1,6,283,324,357,400,411,477
1,27,197,262,320,330,406,418
2,10,12,217,286,315,341,406
1,6,136,171,205,215,391,493
1,6,61,104,294,341,356,423
1,6,98,146,216,261,397,446
1,6,283,324,341,400,411,477
1,6,76,98,294,387,423,477
1,27,262,296,330,406,418,442
2,136,151,245,264,308,391,474
1,127,148,262,361,405,458,481
1,6,27,91,148,262,405,481
1,6,98,117,171,391,423,488
1,6,126,204,228,236,333,455
1,6,27,125,148,262,405,481
1,94,118,208,324,371,400,458
1,6,145,187,289,400,420,458
1,6,76,98,111,274,294,387
1,10,94,118,208,265,361,458
1,24,90,170,176,241,324,446,478
1,6,76,98,111,274,294,387,477
1,94,130,204,289,329,406,455,471
1,26,130,152,289,329,406,455,471
2,10,12,217,286,315,341,406,495
1,6,104,294,345,356,423,464,477
1,24,90,170,176,241,324,463,478
1,6,83,169,181,284,307,331,486
1,6,151,245,262,308,330,397,418
2,10,12,217,286,315,341,406,429
1,6,136,205,288,306,391,417,453
1,6,76,98,274,294,383,423,477
1,6,136,245,264,308,391,424,493
1,6,61,104,199,294,341,356,423
1,6,27,262,296,330,406,442,481
1,6,72,217,252,262,315,406,481
1,6,27,54,187,289,406,420,442
1,6,27,125,148,289,405,420,475
1,6,27,54,289,406,420,442,491
1,6,145,167,227,297,391,446,471
1,6,61,104,250,294,341,356,423
1,6,136,205,215,288,391,417,493
1,117,171,210,216,340,391,430,446
1,6,72,147,253,262,288,413,473
1,6,76,111,274,294,356,387,477
1,55,226,262,296,330,406,418,442
1,6,145,169,181,284,307,331,486
1,27,226,262,296,330,406,418,442
2,10,136,180,264,308,331,391,493
6,27,217,294,315,341,356,423,476
1,39,117,125,171,210,340,391,430
1,6,27,125,148,262,289,405,475
1,27,102,262,296,330,406,418,442
1,94,127,148,262,361,405,458,481
1,6,136,151,245,264,308,391,474
1,6,146,216,262,330,397,418,446
1,6,98,146,216,261,288,397,446
1,26,130,152,237,288,329,406,455
1,52,97,117,149,210,214,324,411
6,146,216,289,320,337,397,420,446
1,6,76,84,294,345,356,423,477
1,6,146,216,262,330,406,418,446
1,91,226,249,262,296,330,406,418
1,6,98,146,216,261,320,397,446
1,6,27,54,289,347,406,420,477
1,6,76,294,345,356,387,423,477
2,10,12,217,239,286,315,341,406
1,54,130,237,315,329,406,455,489
1,6,146,216,289,337,397,420,446
1,6,76,98,111,274,294,423,477
1,6,136,151,245,264,295,308,391
1,6,72,167,253,262,296,358,481
1,26,152,237,317,329,406,418,455
1,6,117,216,294,340,356,387,446
1,6,76,162,274,294,356,423,477
1,6,136,151,245,264,308,391,442
1,6,117,210,216,289,340,420,446
1,24,90,109,170,241,324,400,478
1,6,96,146,216,261,397,418,446
1,226,262,296,330,406,418,442,478
1,6,119,146,216,262,330,397,418
1,10,74,94,208,265,361,392,458
1,6,136,151,245,264,308,391,477
1,48,226,262,296,330,406,418,442
1,6,27,187,289,330,406,420,442
1,6,61,104,181,294,341,356,423
1,6,136,180,264,308,331,391,493
6,146,216,262,320,330,397,418,446
1,6,145,167,227,247,297,391,471
1,24,90,169,241,400,417,453,478
1,6,145,167,247,297,391,418,471
1,6,217,262,286,315,330,406,418
1,26,130,152,156,237,329,406,455
1,10,94,208,265,361,385,458,474
1,6,54,167,187,227,297,391,442
1,6,27,54,187,205,406,420,442
1,6,146,216,337,356,397,420,446
1,6,136,245,264,308,345,391,477
1,6,136,205,288,374,391,417,453
1,24,90,241,297,400,417,453,478
2,10,12,162,217,286,315,341,406
1,6,136,205,306,391,417,453,489
1,10,94,208,265,287,361,392,458
1,6,27,54,187,220,289,406,420,442
1,26,130,152,156,237,288,329,406,455
1,27,146,226,262,296,330,406,418,442
1,6,27,54,187,205,289,406,420,442
1,6,44,72,217,252,262,315,406,481
2,10,12,162,217,252,286,315,341,406
1,6,136,151,245,264,308,391,442,493
1,6,76,87,98,111,274,294,423,477
1,27,102,226,262,296,330,406,418,442
1,6,86,136,205,288,306,391,417,453
1,6,145,167,227,247,297,391,463,471
1,6,98,146,216,248,261,320,397,446
1,6,27,125,148,169,262,289,405,475
1,6,119,146,178,216,262,330,397,418
1,6,27,54,187,205,288,406,420,442
1,6,98,146,187,216,261,288,397,446
1,6,145,167,247,297,391,418,463,471
1,6,119,146,216,262,330,397,418,446
1,24,90,109,170,241,324,400,427,478
1,26,54,130,152,237,288,329,406,455
1,48,133,226,262,296,330,406,418,442
1,54,130,231,237,315,329,406,455,489
1,6,146,205,306,337,356,397,420,489
1,6,27,54,187,289,340,406,420,442
1,54,130,231,237,288,315,329,455,489
1,6,27,54,125,187,289,406,420,442
1,6,27,54,187,289,321,340,406,442
1,6,98,146,216,261,320,397,446,486
1,26,91,130,152,156,329,406,413,455
1,24,90,170,176,241,297,324,446,478
1,6,146,186,216,337,356,397,420,446
1,54,130,152,237,315,329,406,455,489
1,6,44,72,217,252,262,315,406,418
1,6,36,136,205,288,306,391,417,453
1,6,76,201,294,345,356,387,423,477
1,6,78,98,146,216,261,320,397,446
1,6,76,87,111,274,294,405,423,477
1,6,27,54,187,289,318,406,420,442
1,6,27,76,269,294,356,387,423,442
1,6,136,151,245,264,308,345,391,474
1,6,104,185,199,294,322,341,356,423
1,6,61,104,210,250,294,341,356,423
1,27,134,226,262,296,330,406,418,442
6,120,146,216,289,320,337,397,420,446
1,26,152,156,237,289,329,406,420,455
1,6,136,205,288,306,391,417,453,489
1,54,130,237,288,315,329,406,455,489
1,6,117,216,245,294,340,356,387,446
1,6,27,54,187,253,289,406,420,442
1,24,90,169,241,259,400,417,453,478
1,6,27,54,187,289,349,406,420,442
1,6,98,145,167,247,297,391,463,471
6,119,146,216,262,320,330,397,418,446
1,6,76,84,294,345,356,387,423,477
1,6,76,269,294,345,356,387,423,477
1,42,91,226,249,262,296,330,406,418
1,6,125,146,216,289,337,397,420,446
1,6,76,87,111,274,294,356,423,477
1,6,27,125,148,169,289,405,420,475
1,6,61,104,199,224,294,341,356,423
1,6,27,54,135,187,289,406,420,442
1,6,72,217,252,262,286,315,406,481
1,6,27,54,125,187,288,406,420,442
1,6,61,104,220,250,294,341,356,423
2,10,136,151,245,264,308,391,442,493
1,6,61,104,199,294,322,341,356,423
1,54,130,152,237,288,329,406,455,489
1,6,119,128,146,178,262,330,397,418
1,61,104,220,250,297,324,341,423,446
1,26,54,91,130,152,237,288,329,406,455
1,6,76,221,269,294,345,356,387,423,477
1,91,130,231,237,288,315,329,406,455,489
1,6,61,104,210,250,294,341,356,423,464
1,26,54,91,130,152,156,288,329,406,413
1,6,27,54,125,187,289,343,406,420,442
1,6,27,135,146,242,289,330,406,420,442
1,10,65,136,151,245,264,289,308,442,493
1,26,54,91,130,152,237,329,406,455,489
1,26,91,130,152,156,315,329,406,413,455
2,10,136,151,245,264,308,347,391,442,493
1,6,72,128,217,252,262,286,315,406,449
1,6,28,76,221,269,294,345,356,387,423
6,27,135,146,242,289,330,406,420,442,477
1,82,146,226,242,262,296,330,406,418,442
1,6,27,125,148,169,262,289,321,405,475
1,6,27,54,187,207,268,289,406,420,442
1,6,50,72,217,252,262,286,315,406,481
1,26,54,130,152,237,315,329,406,455,489
1,6,76,269,294,308,345,356,387,423,477
1,6,62,136,151,245,264,289,308,345,474
26,54,91,130,152,156,288,329,406,413,455
1,6,136,205,288,306,345,391,417,453,489
1,26,54,130,152,231,237,288,315,455,489
1,6,27,54,125,187,289,340,406,420,442
1,54,130,231,237,288,315,329,406,455,489
1,54,118,130,237,288,315,329,413,455,489
1,26,54,130,152,156,237,288,329,406,455
1,26,54,91,130,152,156,329,406,413,455
1,6,27,54,135,187,220,289,406,420,442
1,6,76,87,98,111,274,294,423,461,477
2,10,12,148,162,217,252,286,315,341,406
1,6,41,98,117,216,245,261,294,320,397
1,54,130,231,237,288,315,329,413,455,489
1,54,91,130,156,237,315,329,413,455,489
1,6,76,87,98,111,274,294,405,423,477
1,27,146,226,242,262,296,330,406,418,442
1,6,119,128,146,178,216,262,330,397,418
1,6,72,217,252,262,286,315,406,449,481
1,6,27,125,148,169,262,289,311,405,475
1,6,76,84,120,294,345,356,387,423,477
1,26,91,130,152,156,288,329,406,413,455
1,6,27,54,125,187,289,321,340,406,442
1,26,54,130,152,237,288,329,406,427,455
1,24,90,169,241,259,358,400,417,453,478
1,26,91,130,152,156,299,329,406,413,455
1,6,130,145,167,247,297,391,418,463,471
1,6,76,221,239,269,294,345,356,387,423
1,6,27,54,125,187,289,406,420,442,477
1,6,76,204,269,294,345,356,387,423,477
2,10,57,136,151,245,264,308,391,442,493
1,24,90,170,176,241,297,324,341,446,478
2,10,12,162,217,252,286,315,341,406,426
1,6,98,117,216,245,261,294,330,397,446
1,6,27,54,187,207,289,406,420,442,477
1,6,98,117,216,245,261,294,320,397,446
1,146,226,242,262,296,330,406,418,442,469
1,26,54,130,152,237,288,329,406,455,489
1,6,27,54,125,187,225,289,406,420,442
1,6,104,210,250,294,341,356,423,464,473
1,6,27,125,148,169,262,289,322,405,475
1,26,91,102,130,152,156,288,329,406,413,455
1,54,119,130,231,237,288,315,329,406,455,489
1,54,130,231,237,288,315,329,406,413,455,489
1,26,54,130,152,156,237,288,329,406,455,489
1,54,130,169,231,237,288,315,329,406,455,489
1,6,98,117,133,216,245,261,294,330,397,446
1,26,54,91,130,152,156,237,329,406,413,455
1,26,51,91,130,152,156,288,329,406,413,455
1,26,91,130,152,156,252,288,329,406,413,455
1,26,54,91,130,152,156,329,406,413,455,477
1,54,130,231,237,288,315,329,365,413,455,489
1,26,54,91,130,152,156,329,406,413,455,490
