3,22
1,15
1,24
1,26
9,21
1,10
1,19
1,28
2,27
1,21
2,20
1,14
2,15
1,25
3,7
3,16
1,9
2,8
19,24
1,18
9,23
2,17
1,20
3,11
1,13
8,28
3,4
1,6
2,5
2,23
1,27
3,27
3,20
3,4,26
1,6,15
1,14,28
1,21,24
1,10,24
1,13,20
3,4,28
1,6,26
1,21,26
2,5,27
3,4,21
2,20,27
1,9,27
1,6,28
1,15,24
2,5,20
3,20,22
3,10,21
1,10,28
3,11,19
6,20,27
1,6,21
1,10,21
8,14,28
1,13,26
1,15,19
2,5,15
1,15,28
2,15,25
1,13,19
1,13,28
3,4,27
2,14,17
1,14,20
1,21,25
3,10,27
3,4,20
1,19,27
9,21,25
1,10,27
1,9,19
1,9,28
3,21,22
3,10,22
3,4,15
1,15,18
1,10,13
1,18,26
2,10,21
3,15,22
1,6,27
2,20,25
4,20,27
1,20,25
4,9,27
8,13,28
1,20,27
3,20,25
3,4,20,27
1,10,21,24
2,5,20,27
1,9,21,25
1,6,20,27
1,6,21,26
1,9,19,27
1,10,13,28
3,4,21,26
1,6,15,28
1,9,14,28
