3,6
2,68
1,67
1,62
2,17
1,48
1,66
1,52
1,29
1,56
1,15
1,51
3,70
1,10
1,46
1,23
56,61
2,53
1,64
1,41
1,68
32,51
1,54
2,18
1,31
24,51
1,26
2,7,38
1,20,50
1,35,62
1,50,64
2,7,19
35,47,59
3,6,55
2,17,55
8,10,37
1,15,69
1,11,62
3,6,18
1,30,53
2,35,48
1,15,59
2,31,46
2,25,44
2,35,38
1,33,62
1,41,61
2,38,44
2,19,48
1,15,62
3,8,16
1,40,64
1,21,60
2,38,48
2,18,51
1,45,62
2,7,69
1,59,64
1,10,55
1,41,51
2,37,69
1,10,41
1,52,56
1,21,59
1,33,60
2,37,64
1,47,62
1,21,45
2,33,62
1,10,54
35,48,63
2,7,18
30,48,55
2,18,45
2,8,19
2,8,37
1,51,63
1,10,31
1,24,50
3,6,58
1,10,35
1,10,21
1,10,30
1,31,62
1,35,59
1,35,45
1,35,49
2,25,38
1,27,45
2,9,29
1,15,47
1,49,58
1,63,69
1,45,47
1,27,35
1,30,49
18,35,62
2,8,68
1,52,59
3,8,36
1,41,58
1,15,41
1,51,62
2,8,45
1,29,43
7,16,38
2,7,39
8,10,62
1,60,62
2,37,48
2,7,25
2,8,17
1,20,55
2,7,35,63
2,7,25,55
8,16,33,50
2,7,39,56
8,10,35,63
1,10,31,62
1,15,33,62
1,15,44,62
2,9,44,47
1,10,35,41
1,47,55,62
1,25,29,43
1,15,47,58
1,45,62,67
1,35,59,63
3,16,50,64
2,7,38,68
2,25,44,69
2,8,19,32
2,7,38,63
3,8,16,48
1,30,47,62
1,20,30,64
2,7,38,58
1,29,53,62
2,28,35,50
2,7,38,53
2,7,38,62
12,16,50,64
1,10,29,54
1,10,41,55
2,8,34,37
2,44,64,69
3,8,16,33
1,47,53,62
1,20,30,49
1,12,27,35
12,16,32,50
2,7,18,28
1,30,53,62
3,8,12,16
1,10,35,63
2,9,29,44
2,33,38,44
2,31,46,64
2,18,28,50
2,34,37,65
1,35,50,59
1,15,41,46
1,52,56,61
30,48,55,63
3,6,58,66
2,25,38,44
2,25,38,53
2,7,35,38
1,22,45,62
2,35,38,66
1,20,27,49
3,8,36,61
3,6,31,58
1,27,30,49
1,10,31,41
2,8,53,68
1,27,49,62
1,10,31,54
2,7,38,52
2,38,52,69
2,37,64,69
2,19,48,65
3,8,16,63
3,8,12,56
2,7,38,55
2,25,33,38
3,8,16,35
1,10,28,54
2,7,18,35
2,26,45,58
3,8,16,30
7,38,48,65
7,16,34,38
1,33,42,60
2,31,46,57
2,8,19,32,57
2,7,19,32,56
2,7,18,35,51
1,25,41,55,63
15,18,47,58,65
2,7,38,53,62
2,19,32,48,65
3,8,12,16,59
2,25,33,38,60
2,15,33,50,62
8,16,25,32,55
2,7,33,38,55
2,7,38,52,69
2,7,19,38,48
2,7,27,38,52
3,8,12,16,35
2,7,38,44,69
3,16,35,50,64
3,8,12,16,30
1,15,33,50,62
2,7,19,48,64
2,14,19,48,65
3,8,12,46,62
1,30,47,53,62
3,8,16,33,65
2,25,32,38,44
8,10,35,45,63
1,15,33,42,62
1,27,35,59,63
3,8,16,33,46
8,10,35,41,56
3,8,16,33,50
3,8,16,25,55
2,7,31,38,48
1,10,41,55,59
2,7,18,35,63
2,8,19,32,55
2,17,38,53,68
2,25,38,44,66
2,25,38,55,66
2,8,19,32,68
2,25,33,39,55
3,8,16,35,63
1,30,45,47,53
8,10,16,35,63
2,8,19,32,63
7,33,38,44,69
1,33,42,46,60
1,15,22,44,62
2,34,37,61,62
3,8,12,55,62
3,8,33,65,66
3,8,12,16,61
1,11,35,50,59
3,16,31,50,64
2,25,33,38,44
2,25,38,54,60
1,15,33,62,68
2,7,33,38,44
1,10,28,29,54
2,7,32,51,65
1,10,31,41,65
3,8,16,50,64
8,10,19,35,63
3,8,19,55,68
2,8,34,37,65
2,25,33,38,52
2,7,38,48,55
1,10,31,41,55
2,9,29,44,47
3,16,38,50,64
3,8,12,16,50
2,7,19,48,57
1,10,22,45,62
2,26,45,47,58
2,7,38,48,63
2,7,19,48,52
2,7,38,44,52
1,22,35,45,62
1,30,45,53,62
3,8,16,53,64
2,19,33,38,52
2,7,38,55,66
2,25,38,52,60
7,22,38,48,65
2,7,27,35,38
2,7,39,55,56
8,10,35,41,63
2,7,25,39,55
3,8,16,33,48
2,7,19,32,48
2,7,18,35,52
8,10,35,41,44
3,8,16,25,55,63
3,8,19,36,52,69
2,7,19,48,57,65
2,7,19,32,48,65
2,7,19,44,48,52
2,19,38,52,63,69
2,7,15,38,44,69
1,33,42,46,60,62
8,10,35,41,61,63
2,7,25,33,38,52
2,15,19,38,52,69
2,7,32,38,44,48
1,12,25,41,55,63
1,33,42,43,60,68
2,7,19,48,52,69
2,25,33,38,52,60
1,12,30,41,55,66
2,7,19,45,53,56
1,10,24,28,29,54
2,7,31,32,48,65
2,7,32,38,44,56
2,9,25,33,38,60
1,42,46,55,60,62
1,10,31,41,55,59
2,34,37,48,61,62
8,10,28,35,41,63
3,8,12,16,30,62
1,30,45,47,53,62
3,8,12,16,30,39
2,7,38,44,64,69
3,8,25,55,60,62
3,8,12,25,30,62
2,9,32,38,53,65
2,7,19,38,52,69
2,7,27,35,38,62
16,30,45,47,53,62
2,7,18,35,44,62
2,7,19,35,48,52
2,25,32,38,44,56
3,8,12,16,55,62
2,7,18,35,63,66
3,8,16,25,55,60
2,19,32,48,49,65
3,8,12,30,61,62
2,7,18,35,48,63
2,8,25,55,60,62
2,7,19,32,45,56
2,7,32,38,44,69
1,12,25,41,55,66
2,8,19,32,55,68
1,25,33,42,46,60
2,8,19,33,52,69
1,10,31,41,48,65
2,7,19,52,63,69
2,25,33,39,55,68
3,8,12,16,39,62
2,25,33,38,60,62
2,9,17,38,53,68
3,12,16,25,55,63
2,30,34,37,61,62
1,33,42,46,60,68
8,16,25,32,55,60
3,8,12,16,61,62
3,8,16,30,55,62
3,8,16,33,48,60
2,19,33,45,47,62
2,7,38,48,55,63
3,8,16,33,50,64
2,9,32,38,53,68
2,7,19,44,52,69
3,8,16,25,30,62
8,10,16,35,45,63
3,8,16,33,65,66
3,8,16,39,55,62
2,8,19,32,48,65
2,30,45,47,53,62
2,14,19,32,48,65
2,7,18,35,52,64
2,7,38,44,52,69
2,7,19,32,38,44,48
1,13,30,45,47,53,62
2,7,19,32,48,57,69
2,7,34,38,44,48,69
2,7,33,38,52,64,69
2,7,19,38,52,64,69
3,8,12,16,30,39,62
2,8,14,19,32,48,65
1,25,33,42,46,60,68
1,12,25,41,55,63,66
2,7,19,33,38,44,69
2,7,15,19,38,44,69
3,8,12,16,25,30,62
7,19,33,38,44,52,69
3,8,12,16,30,61,62
1,33,42,43,46,60,68
2,7,32,38,44,48,56
2,7,34,38,44,62,69
1,22,30,45,47,53,62
2,7,19,27,38,52,69
2,7,19,35,38,48,52
2,7,33,38,44,62,69
2,8,19,32,55,63,68
1,10,31,41,55,59,67
2,7,19,38,44,64,69
7,15,19,33,38,44,56
2,9,17,32,38,53,68
3,12,16,25,41,55,63
2,7,19,32,45,53,56
2,7,19,32,38,44,69
2,7,19,38,44,56,64
2,7,32,38,44,56,69
2,7,19,34,38,44,69
2,7,19,23,38,52,69
3,8,12,16,46,55,62
2,7,15,32,38,44,69
1,13,25,33,42,60,68
2,7,19,38,48,55,63
2,7,19,32,48,56,65
1,12,30,41,55,61,66
3,8,12,16,25,30,55
2,7,19,33,38,44,48
2,19,32,45,53,56,69
2,7,15,19,38,44,52
2,7,19,34,44,52,69
7,15,19,33,38,44,69
3,8,25,26,55,60,62
2,7,27,38,44,56,69
2,7,15,19,32,48,65
2,7,19,32,38,48,65
2,7,38,44,48,56,69
2,19,33,44,48,52,56
3,8,12,30,36,61,62
8,10,16,35,45,63,68
2,7,38,44,52,58,69
3,8,12,16,30,55,62
2,7,19,38,44,52,69
2,8,19,23,33,52,69
2,7,19,35,48,52,57
2,7,19,38,44,52,64
2,7,19,32,48,57,65
3,8,12,16,25,30,46,55
2,7,15,19,38,44,52,69
3,8,12,16,30,39,62,68
2,7,19,27,33,38,52,69
2,7,19,38,44,56,64,69
2,7,19,27,38,44,52,69
2,7,15,19,27,38,44,69
2,7,19,32,38,44,56,69
2,7,19,38,44,48,64,69
2,7,19,33,38,44,52,69
1,25,33,42,43,46,60,68
2,7,19,34,38,44,56,69
2,7,19,23,38,44,52,69
2,7,33,38,44,48,56,69
2,7,15,19,32,38,44,69
3,8,12,16,30,46,55,62
7,19,33,38,44,48,52,56
2,7,15,19,44,52,64,69
2,7,19,34,44,52,56,69
2,7,19,34,38,44,48,69
2,7,15,19,32,48,56,65
2,7,15,19,38,44,52,64
2,7,19,33,38,44,48,56
2,7,33,38,44,52,58,69
2,7,27,33,38,44,52,69
7,15,19,33,38,44,56,69
7,19,33,38,44,52,56,69
2,7,15,19,38,44,56,69
2,7,34,38,44,48,56,69
2,7,19,33,38,52,56,69
2,7,27,38,44,48,56,64
3,8,12,16,30,39,55,62
2,7,34,38,44,52,58,69
2,7,38,44,52,56,64,69
2,7,15,32,38,44,56,69
