1,72
1,81
1,90
1,99
3,37
13,41
1,48
1,66
1,75
2,12
2,30
78,105
1,15
3,106
3,92
1,14
2,99
1,112
1,13
1,98
1,120
1,115
1,83
42,120
1,60
1,78
1,55
1,82
1,59
1,77
1,63
1,49
3,77
1,21
2,120
40,78
1,6
3,87,106
3,16,82
49,84,120
3,27,92
3,27,101
1,20,72
1,15,115
1,72,115
1,75,111
1,49,85
2,12,120
2,23,120
1,86,111
1,31,77
2,72,120
2,17,36
3,25,106
1,59,111
3,82,114
2,34,93
3,14,92
1,15,81
1,59,115
3,21,90
1,63,112
1,41,75
1,97,110
49,56,85
1,14,103
1,15,49
3,36,92
1,21,83
3,55,119
1,48,59
1,9,113
1,85,99
28,42,106
3,20,111
1,55,85
1,35,116
3,78,79
1,15,48
1,48,63
1,81,97
1,96,112
1,35,120
1,66,98
1,51,91
1,69,99
3,52,67
1,40,81
1,70,81
28,65,75
1,28,75
1,21,63
1,32,72
1,43,78
1,91,99
28,57,75
12,31,41
10,27,46
1,9,61
1,9,70
1,35,55
3,45,106
1,83,108
1,41,111
2,57,98
9,21,78
1,75,90
1,26,81
78,105,107
1,42,52
1,82,97
40,81,116
1,52,120
1,97,109
3,37,87
1,15,66
3,37,114
1,19,63
1,19,72
9,36,61
3,97,106
1,36,120
2,28,42
3,37,59
1,18,89
1,21,81
1,21,90
1,21,108
1,26,43
1,48,75
9,16,59
2,30,60
1,52,59
1,51,103
3,43,106
10,39,46
1,61,120
40,78,110
1,31,111
1,77,105
1,26,32
3,14,46
28,50,81,120
1,48,65,111
1,20,72,81
1,26,43,81
1,19,71,115
1,86,101,108
3,16,82,114
2,34,77,93
2,26,32,43
1,70,97,112
1,28,83,108
1,48,65,86
3,20,55,92
1,15,95,115
3,59,86,111
3,16,64,82
3,34,63,71
10,27,39,46
1,59,97,110
1,20,70,81
1,66,83,108
3,20,36,55
1,31,62,111
16,39,64,82
3,28,75,116
1,32,72,81
3,73,103,119
2,12,35,120
1,35,55,120
1,31,73,111
1,21,83,108
1,21,83,117
1,43,86,111
1,15,40,81
1,15,40,99
1,41,61,75
1,18,89,103
1,48,65,113
1,26,43,51
1,15,66,74
2,57,98,119
3,28,60,75
3,44,73,103
1,31,83,117
1,26,32,116
3,42,103,119
1,35,55,81
1,28,31,77
1,45,69,99
28,57,75,96
3,14,44,46
1,41,48,75
3,42,49,120
1,48,86,111
1,62,97,110
2,28,32,42
1,26,81,120
3,40,86,111
1,42,52,60
1,14,96,112
1,20,55,103
1,28,97,110
1,63,71,112
1,20,45,49
1,28,75,81
3,37,59,114
3,25,52,120
1,36,52,120
42,50,81,120
1,13,85,110
3,52,72,103
28,65,75,97
1,48,65,86,111
1,20,55,64,81
1,41,48,75,119
1,28,48,61,119
1,15,52,101,108
1,15,40,91,99
1,62,70,97,110
1,15,74,103,119
1,62,69,97,110
1,26,43,66,120
4,28,75,96,119
1,25,52,101,119
3,44,73,103,119
3,36,42,49,119
3,14,44,46,117
10,27,30,39,46
1,20,63,70,81
1,49,63,71,88
1,41,48,63,75
1,54,81,97,109
1,40,48,99,119
1,20,55,70,81
1,20,81,97,109
3,36,42,49,104
1,59,81,97,110
1,19,63,71,115
3,20,36,55,109
3,14,33,44,46
3,37,59,91,114
3,42,73,103,119
1,15,40,81,99
1,35,59,97,110
3,20,34,55,70
3,36,42,104,119
3,16,53,82,114
2,28,32,42,119
28,32,81,97,110
44,48,73,103,119
1,42,73,103,119
1,20,45,70,81
1,20,32,72,81
1,48,65,86,109
3,20,55,92,111
1,28,31,42,70
3,26,43,100,119
1,20,32,55,103
1,26,43,100,119
3,35,59,97,110
3,15,40,91,103
28,50,56,81,120
3,20,36,55,118
1,40,62,99,110
1,28,81,97,110
1,42,66,73,83
1,45,69,97,110
1,63,71,88,112
15,40,81,99,118
1,15,35,66,74
1,41,61,75,119
3,36,49,92,119
1,44,73,103,119
1,20,55,70,97
1,45,69,99,109
3,20,34,55,92
3,20,36,55,103
3,15,40,75,103
28,57,75,96,119
1,28,48,65,75
1,41,48,59,75
1,48,65,71,86
1,15,74,101,108
28,29,42,81,120
1,15,40,99,119
3,15,46,59,114
1,20,63,101,108
3,36,52,72,103
20,36,49,61,119
1,28,41,61,75
34,44,48,73,119
1,55,64,70,111
3,36,42,73,119
1,6,42,73,103
3,36,42,92,119
1,20,64,70,81,111
3,36,42,49,104,119
1,31,63,71,88,112
1,33,48,65,86,111
3,32,44,46,73,119
1,28,41,61,75,119
3,20,36,55,59,118
3,15,40,73,103,119
1,32,48,63,71,88
3,20,36,49,61,119
1,20,55,70,81,111
1,6,42,73,103,119
1,20,55,70,81,120
1,20,32,63,72,81
1,9,42,73,103,119
1,63,71,88,97,112
28,41,48,61,75,119
3,20,36,55,92,118
1,28,32,81,97,110
32,63,71,88,97,112
1,15,25,91,101,108
1,20,45,63,70,81
1,15,40,74,103,108
1,41,48,62,75,119
1,41,48,61,75,119
4,28,57,75,96,119
1,28,48,61,75,119
1,32,63,88,97,112
1,31,49,63,71,88
1,20,55,61,70,81
1,15,40,81,99,118
3,20,36,42,92,119
3,28,29,42,49,120
1,15,40,75,81,99
28,50,57,75,81,120
1,32,63,71,88,112
3,20,34,55,59,92
3,20,42,49,92,119
28,30,50,56,81,120
3,44,46,73,103,119
1,20,55,64,70,81
1,45,62,69,97,110
3,32,44,46,73,103
3,20,36,49,92,119
28,29,42,50,81,120
1,41,49,61,75,119
3,49,63,71,88,112
3,32,46,73,103,119
3,20,36,42,49,119
1,41,52,61,75,119
1,28,41,48,75,119
1,15,25,52,101,108
1,40,62,75,99,110
1,20,45,70,81,116
1,15,40,81,99,112
3,20,34,55,70,92
3,32,44,73,103,119
1,20,36,42,49,119
1,32,41,48,63,119
1,32,63,71,88,97
3,36,42,49,92,119
3,20,55,86,92,111
1,20,55,64,70,111
1,44,59,81,97,110
3,41,49,61,75,119
1,25,52,64,91,101
1,20,55,64,70,81,111
1,15,25,64,91,101,108
1,15,40,77,81,99,112
1,15,40,64,77,99,119
1,48,63,71,88,97,112
1,15,25,52,64,101,108
1,20,45,63,70,81,120
1,20,55,70,81,99,111
3,32,44,46,73,103,119
3,36,42,49,71,92,119
1,15,52,64,91,101,108
1,40,64,77,81,99,112
1,36,42,49,58,104,119
1,28,41,48,61,75,119
1,20,36,61,70,81,116
1,15,32,52,91,101,108
1,15,40,64,77,99,112
1,32,63,71,88,97,112
1,9,42,49,73,103,119
3,20,36,42,49,92,119
1,28,41,49,61,75,119
3,20,36,55,59,92,118
1,15,40,64,81,99,112
1,15,40,64,77,81,112
1,49,63,71,88,97,112
1,20,64,70,81,99,111
1,15,25,52,91,101,108
1,20,45,48,63,70,120
3,20,36,42,49,78,92,119
1,20,55,64,70,81,99,111
3,15,32,44,46,73,103,119
1,15,25,52,64,91,101,108
1,28,41,48,61,75,95,119
1,32,48,63,71,88,97,112
1,15,40,64,77,81,99,112
