1,400
1,465
1,468
1,356
1,490
1,126
1,325
1,413
1,19
1,493
3,22
1,195
1,87
1,41
1,77
1,427
1,253
1,109
1,386
1,209
1,310
1,431
1,300
1,146
1,237,452
1,392,460
3,277,472
1,276,347
1,149,427
1,87,452
1,19,428
1,184,355
3,106,275
1,117,351
1,60,468
1,257,338
3,137,395
3,267,482
1,394,427
40,324,403
3,41,106
1,280,395
1,85,421
1,282,440
1,141,293
1,340,395
1,307,482
1,132,476
1,157,366
1,279,364
1,13,366
1,166,297
1,176,468
1,60,293
1,40,183
239,258,425
1,200,391
1,227,494
1,200,489
1,6,395
1,413,494
1,19,310
3,106,200
1,135,247
1,386,480
1,19,169
1,77,88
1,131,365
1,398,411
3,59,146
2,292,398
1,123,141
1,45,440
1,117,465
1,128,474
1,416,468
1,386,482
1,98,465
1,136,427
1,237,335
1,97,431
1,256,460
2,34,138
1,253,383
183,200,329
1,295,468
1,313,355
1,207,448
1,219,310
129,247,305
1,184,293
1,33,389
1,77,193
1,100,279
1,45,343
1,42,58
1,61,156
1,77,258
1,324,366
1,61,113
1,102,141
1,394,434
1,135,416
1,338,366
1,59,146
1,85,176
1,42,214
1,19,63
1,146,490
1,203,386
1,194,279
1,110,293
1,235,427
1,336,366
1,49,141
1,293,358
1,310,447
1,227,247,494
1,146,183,490
1,33,167,389
1,49,141,237
1,13,166,297
1,60,344,468
1,176,225,395
1,237,267,452
3,20,137,395
1,129,260,299
1,117,402,465
1,28,77,258
1,117,465,475
1,65,381,452
1,182,324,366
1,123,310,489
1,52,394,427
1,293,382,416
1,75,200,489
1,247,271,425
1,42,214,369
1,166,297,328
1,307,363,482
1,128,266,279
1,19,183,428
1,49,136,313
1,19,310,489
3,28,137,395
1,146,183,471
1,284,338,366
1,166,297,340
1,123,141,360
1,19,169,322
1,136,235,427
1,6,356,395
1,203,392,460
1,183,389,457
1,221,324,366
1,84,145,157
1,146,183,329
1,42,208,214
1,13,197,366
1,117,197,336
1,157,331,366
1,95,276,347
1,150,200,489
129,247,266,305
1,145,157,366
9,297,340,489
1,117,308,465
1,135,176,468
1,61,113,260
1,185,195,335
1,77,257,384
1,42,58,258
1,9,416,489
1,61,156,323
3,49,137,395
3,137,394,461
1,85,198,421
1,117,340,465
1,48,61,208
1,176,435,468
1,39,49,141
3,79,97,391
1,180,394,427
1,117,166,297
1,48,90,208
2,138,293,382
1,145,176,435
1,9,413,494
1,105,237,452
1,176,203,460
3,137,395,444
1,75,169,200
1,141,196,247
1,305,394,434
1,13,242,366
1,147,435,468
1,40,127,434
1,136,276,347
