3,22
1,15
1,24
1,26
1,10
1,19
1,28
1,21
1,14
1,25
3,7
3,16
4,24
1,9
2,8
1,18
2,17
4,17
2,10
1,20
3,11
1,13
2,12
3,4
1,6
2,5
2,23
1,27
16,25
5,24
16,27
1,14,28
1,18,25
1,19,26
2,17,26
2,19,23
1,6,26
1,21,26
2,5,27
3,4,21
1,9,27
1,6,28
2,5,20
2,15,23
1,13,26
1,14,18
1,15,19
2,5,15
1,15,28
1,13,28
15,16,25
1,19,27
2,14,28
2,8,27
1,10,27
5,16,27
2,10,17
1,15,25
3,7,14
2,5,21
3,16,26
3,11,20
7,18,25
1,15,18
3,7,25
2,20,23
1,9,14
1,18,26
5,16,24
1,6,20
1,20,27
6,15,17
3,14,28
3,16,25
11,20,24
1,15,18,25
3,7,14,28
2,5,20,27
3,15,16,25
1,6,20,27
1,6,21,26
1,6,15,28
