4,9
3,22
1,24
14,24
9,28
1,26
15,25
9,12
3,26
9,21
14,26
1,10
1,19
1,28
2,27
3,10
19,27
1,21
12,24
3,21
1,14
1,25
3,7
3,16
1,9
2,8
10,21
1,18
2,17
2,26
6,17
2,10
1,20
2,28
3,11
1,13
2,12
2,21
3,4
1,6
2,5
2,14
1,27
3,27
9,22
3,20
3,4,26
9,21,22
3,15,19
1,6,15
1,14,28
3,16,27
2,15,17
1,21,24
3,21,26
9,14,28
2,17,26
1,6,26
1,21,26
2,5,27
3,4,21
1,6,28
1,15,24
3,10,21
3,11,28
1,6,21
4,9,28
2,10,27
1,10,21
1,13,26
1,14,18
14,17,26
4,9,21
1,15,19
1,15,28
3,10,16
2,15,25
1,13,19
3,21,25
1,13,28
3,4,27
2,14,17
9,16,27
2,14,26
1,20,24
1,18,27
5,9,11
2,8,25
3,7,19
1,21,25
2,5,26
5,11,26
3,10,27
15,16,25
3,15,16
3,10,11
3,15,25
3,7,21
10,17,27
1,9,19
1,9,28
2,10,17
9,11,28
1,15,25
3,10,22
3,21,22
1,9,21
3,19,27
3,7,25
1,18,26
2,17,27
1,6,27
3,7,27
3,14,26
3,19,22
7,19,27
2,21,26
10,16,27
2,8,19
2,8,28
1,14,26
3,14,28
3,16,25
1,14,18,26
3,7,21,25
4,9,21,23
3,7,19,27
2,15,17,25
3,10,21,22
3,15,16,25
3,10,16,27
2,14,17,26
3,4,21,26
3,10,11,28
2,10,17,27
1,9,14,28
5,9,11,28
