3,6
1,62
2,8
32,54
1,57
1,66
1,43
1,61
12,57
1,56
1,15
1,10
1,28
8,45
1,23
18,43
8,17
14,40
18,28
3,8
28,64
2,19
1,50
1,59
1,54
1,63
2,9
2,18
1,12
8,28
2,8,30
3,6,56
1,13,20
8,22,53
1,21,51
1,35,53
2,18,24
1,50,64
2,33,45
1,13,51
2,7,19
2,17,69
1,28,35
2,15,18
12,37,57
1,61,63
1,10,27
28,44,64
1,24,55
2,28,59
3,6,18
1,30,53
1,50,58
8,16,48
7,25,48
1,23,49
1,15,50
1,49,61
31,52,64
8,20,45
6,24,40
1,23,30
1,26,50
1,30,56
8,56,69
1,40,69
18,32,54
3,8,16
1,32,69
2,7,64
7,11,69
1,51,64
2,37,64
21,45,56
2,7,59
2,7,18
2,30,47
2,8,28
2,8,37
1,28,52
1,21,40
8,21,45
8,17,61
8,24,69
17,32,40
13,18,51
1,43,54
1,62,67
1,24,31
2,18,30
7,11,35
15,50,64
8,16,69
1,24,26
1,28,32
2,39,62
1,31,52
1,30,64
1,11,68
2,13,50
8,17,32
3,8,33
16,65,67
1,60,64
15,28,64
1,27,35
2,8,46
2,8,55
8,30,45
1,15,28
2,19,32
28,35,64
2,8,50
1,52,59
1,29,57
8,16,30
2,64,66
1,33,54
5,8,69
2,7,62
1,10,48
1,22,31
5,8,37
2,7,39
5,11,69
1,13,66
1,22,53
2,8,17
1,51,70
2,8,28,37
1,30,41,48
8,16,48,62
1,13,41,66
1,28,32,63
2,7,19,64
13,20,60,64
1,15,44,48
21,51,56,65
2,52,60,64
2,7,64,66
8,23,56,69
1,29,43,54
1,14,21,51
1,13,51,64
17,52,64,69
2,7,19,44
2,7,18,66
1,26,60,64
2,13,18,51
2,19,52,64
2,7,48,66
3,8,54,65
18,32,44,54
1,15,50,58
7,18,32,54
3,8,16,65
2,7,15,19
1,13,21,40
2,8,17,69
2,8,28,69
2,7,33,45
1,11,30,64
2,8,17,55
2,18,37,51
2,7,18,60
1,11,30,59
1,24,40,50
15,17,64,69
2,7,18,64
8,16,30,48
2,28,52,60
2,8,28,54
17,28,52,64
1,22,30,56
2,28,52,64
2,13,51,64
7,25,33,48
2,28,52,59
2,23,33,37
3,16,33,46
16,32,39,40
2,18,65,66
7,11,23,69
2,8,23,37
1,15,40,58
1,13,27,40
15,16,39,68
7,18,48,66
18,39,54,65
1,15,32,44
1,14,21,40
13,17,51,64
2,15,39,62
1,11,59,64
14,17,64,69
1,20,30,53
1,29,57,67
15,16,39,62
2,13,18,67
1,24,26,48
2,18,30,47
1,13,20,60
3,8,65,67
13,17,31,67
1,48,61,63
7,18,39,54
1,25,26,48
13,16,65,67
2,28,37,69
13,17,64,67
7,19,45,48
1,13,34,51
2,39,62,69
2,7,39,66
1,30,56,65
2,18,28,52
2,28,37,64
2,8,35,37
8,16,25,69
2,37,51,64
2,7,19,43,48
7,18,39,54,56
8,16,30,45,48
1,15,24,50,58
2,7,15,19,64
3,8,16,54,65
17,28,38,52,64
2,28,52,60,64
2,8,17,28,52
1,13,25,41,48
2,26,37,45,48
8,16,30,48,63
2,15,28,37,62
2,7,18,60,66
2,15,33,39,62
2,7,18,33,66
2,15,28,52,64
2,18,28,52,65
2,15,28,37,66
13,17,51,64,67
1,13,22,30,56
2,19,27,48,56
2,23,37,47,70
2,18,33,37,55
17,28,52,64,69
2,18,30,47,63
2,15,19,37,66
2,8,28,37,45
1,25,26,41,48
1,13,51,56,64
2,7,18,51,64
7,16,39,40,68
8,16,30,32,48
2,18,28,51,53
2,7,18,28,66
2,7,60,64,66
7,15,19,43,48
1,12,21,51,56
7,19,23,45,48
2,18,28,64,66
7,18,33,48,66
2,18,28,37,66
1,24,26,41,48
2,7,15,64,66
2,7,19,43,64
3,15,16,33,46
15,18,28,32,37
2,8,37,45,57
2,7,18,64,66
2,15,18,44,66
2,7,18,60,64
2,13,44,64,66
2,18,28,37,69
3,8,30,54,65
8,16,30,48,65
15,16,39,62,68
7,18,33,51,66
2,18,28,37,64
3,8,16,65,67
7,15,19,23,48
2,15,37,64,66
2,7,19,34,44
1,13,30,41,48
2,7,18,48,66
2,8,28,37,57
2,8,17,34,69
1,12,13,51,64
2,15,18,28,37
1,28,32,41,63
13,17,31,64,67
1,13,27,51,64
2,13,18,51,56
7,15,16,39,68
1,10,15,50,58
7,19,27,45,48
8,23,39,56,69
2,7,19,33,45
2,23,33,37,47
2,7,18,35,66
2,7,18,65,66
2,15,18,37,66
2,18,37,48,55
2,17,28,52,64
2,7,15,19,65
1,11,30,59,64
2,15,18,37,70
1,24,26,45,48
8,16,30,48,64
