1,86
1,104
2,68
1,72
1,90
1,85
1,94
1,66
1,84
2,30
1,43
1,52
1,51
3,106
1,10
1,112
1,98
1,116
52,72
1,111
2,57
1,97
1,115
1,83
1,78
3,16
91,106
2,5
1,58
1,26
1,44
2,107
2,93
1,114
1,6
1,100
1,66,81
2,19,30
35,47,105
1,84,98
1,72,120
1,43,84
3,16,77
1,98,118
1,26,120
30,72,98
1,62,69
2,72,107
2,5,63
1,26,115
3,60,106
1,98,108
1,49,84
1,10,98
2,35,57
1,52,90
2,57,76
1,66,109
3,37,84
1,60,98
1,44,62
1,25,103
1,86,100
1,84,120
6,66,106
1,6,66
1,15,43
3,77,106
23,41,106
3,92,112
1,61,108
1,10,72
1,66,70
3,21,33
2,62,93
1,6,15
1,62,95
1,15,104
1,98,116
1,88,102
1,62,76
3,64,106
1,98,111
1,39,51
2,80,113
1,98,115
1,31,43
2,23,72
2,30,98
1,26,94
2,35,68
2,72,117
1,6,84
1,6,111
3,21,106
1,75,84
1,26,66
1,26,84
3,59,92
1,44,91
3,33,79
1,13,85
1,62,108
1,55,78
1,100,112
2,10,72
1,10,84
2,25,84
3,16,101
1,100,116
1,84,112
1,44,48,62
3,25,41,77
6,15,66,106
1,62,69,84
1,10,98,116
3,21,103,106
2,62,80,113
1,9,98,116
3,82,98,116
1,6,15,66
1,25,72,120
1,44,62,108
3,33,76,79
3,26,77,106
3,21,25,33
1,64,98,116
2,65,80,113
36,41,62,108
2,23,72,83
3,21,79,120
1,36,62,108
2,62,82,93
1,9,40,100
3,21,41,106
1,50,86,120
1,10,66,98
1,10,24,119
9,40,72,120
1,64,82,98
3,21,33,120
33,82,98,116
1,53,98,118
3,21,33,79
1,21,99,108
3,21,33,115
3,21,90,106
2,23,59,83
1,6,66,86
1,10,76,119
1,72,82,120
3,21,63,106
3,59,86,92
3,21,36,106
1,84,98,116
3,33,44,70
1,9,52,72
3,21,44,79
2,38,72,100
3,21,55,106
1,9,36,78
2,35,68,113
1,25,77,100
1,62,76,113
1,24,98,116
6,44,91,106
1,44,62,116
2,35,68,103
3,21,36,41
1,9,72,120
1,48,100,112
1,10,34,98
1,50,84,120
1,59,98,116
3,37,84,112
3,44,70,116
1,78,98,116
2,23,62,72
2,10,35,57
1,61,99,108
1,6,98,116
1,63,72,120
3,16,101,116
1,44,62,82
1,10,78,84
1,6,44,98
3,21,45,106
3,20,59,92
1,48,91,100
1,10,36,77
1,36,98,116
1,10,62,116
1,91,100,112
1,6,66,84
2,65,71,113
1,44,48,91
1,6,66,88
3,21,33,103
1,82,98,116
3,16,77,101
33,62,68,108
1,10,62,69
3,37,84,120
1,9,40,72
3,33,76,79,113
1,48,65,91,100
3,21,33,86,106
2,62,72,83,115
1,10,66,98,119
2,23,62,72,83
1,78,84,98,116
1,25,41,72,120
3,21,74,103,106
3,21,33,55,86
3,33,76,79,103
1,6,15,88,112
3,21,41,54,106
1,10,91,100,117
1,15,88,94,116
1,6,15,66,88
1,32,62,76,116
16,33,38,72,117
3,21,55,60,106
1,10,48,100,112
1,36,42,48,70
1,36,42,62,108
1,10,62,76,116
3,21,41,95,106
1,6,72,88,110
3,36,41,72,120
1,25,62,69,84
1,53,59,98,118
3,21,36,41,95
3,21,33,103,106
1,6,66,88,110
1,32,76,94,116
1,10,28,84,116
3,21,33,49,103
3,21,63,91,106
2,62,76,83,120
3,21,33,76,79
