115,195
32,160
42,115
32,138
32,190
42,103
94,165
36,160
115,160
126,174
165,172
73,103
8,190
94,158,160
141,172,185
3,27,32
46,108,115
32,83,165
27,108,160
27,160,176
20,26,117
32,83,190
115,165,190
154,172,190
103,160,172
46,79,103
4,8,73
44,115,190
84,97,117
4,79,152
73,79,103
4,103,190
4,78,122
8,73,103,115
4,32,42,160
26,121,122,179
8,13,94,190
115,125,160,172
4,32,42,159
73,103,108,190
73,103,115,195
27,32,103,115
46,127,165,172
27,36,160,193
20,27,84,150
27,42,73,115
19,27,90,93
27,108,165,172
4,14,79,193
94,103,122,165
8,42,103,190
108,165,172,190
32,108,165,190
27,74,75,108
4,32,58,138
32,73,115,172
27,32,115,160
26,32,42,46
53,121,172,194
20,115,126,174
83,108,165,190
73,103,115,172
32,46,108,190
8,73,79,108,152
36,73,103,115,172
4,32,79,85,152
4,20,129,172,190
94,106,158,160,190
20,26,61,117,165
27,32,108,115,123
115,160,161,165,172
4,19,83,160,172
4,103,158,173,190
4,73,103,172,191
42,73,103,160,172
8,73,79,103,115
73,108,127,165,190
4,8,27,46,190
36,95,119,131,172
27,36,103,127,185
3,4,83,183,190
4,32,78,103,122
27,42,44,115,190
84,97,108,117,165
4,100,160,172,197
8,27,42,103,190
46,79,103,115,127
3,27,32,103,190
4,8,14,73,165
27,73,108,160,191
58,71,95,100,144
27,46,144,164,185
27,32,108,160,190
8,13,108,165,190
4,46,115,160,168
82,103,115,140,144
27,103,108,160,176
108,115,165,172,176
36,103,160,185,190
73,75,101,146,190
22,80,115,122,190
1,32,36,75,108
20,27,36,53,115
4,46,108,158,190
115,161,165,172,190
4,46,108,115,119
27,32,103,160,183
32,76,115,185,190
4,102,103,115,172
33,79,108,115,165
8,27,32,165,190
32,46,83,172,190
46,83,108,115,190
27,156,160,166,193
26,32,79,122,160
13,27,108,160,165
95,117,154,172,190
27,73,115,159,164
8,27,73,115,190
27,32,42,103,190
27,37,108,115,160
46,115,141,172,185
32,83,159,165,190
27,32,108,165,172,190
73,103,115,160,172,190
8,20,32,53,121,172
3,20,32,53,172,183
32,58,104,127,144,175
4,27,42,108,151,172
46,73,75,108,115,160
4,8,73,103,115,165
4,27,90,93,123,162
20,27,28,84,108,150
26,65,75,108,165,190
8,42,115,127,160,190
3,4,27,32,126,174
