1,60
1,64
1,11
11,34
1,48
1,56
4,6
1,36
1,40
1,44
2,9
1,28
1,32
3,25
1,8
4,39
1,16
1,20
4,27
4,31
1,57
1,4
4,35
1,61
1,49
4,56
1,29
4,64
1,37
4,44
36,64
4,48
11,64
1,21
4,32
4,24
1,50
1,54
1,58
1,34
1,42
4,49
1,46
4,53
1,26
1,30
4,61
4,41
4,45
1,18
33,64
1,55
4,33
1,59
1,6
4,17
1,43
4,21
2,8
1,51
1,27
34,56
4,9
1,35
4,42
1,39
1,15
1,19
4,50
4,54
4,22,42
4,24,64
4,32,35
1,8,10
1,27,60
1,15,26
1,4,25
1,21,58
1,16,64
4,11,44
1,46,64
4,41,44
1,6,18
1,27,36
1,34,52
1,18,57
1,23,27
4,15,59
1,40,60
1,43,61
1,20,26
4,32,39
1,8,14
4,42,56
1,62,63
2,3,28
1,29,62
1,6,51
1,18,61
1,59,62
1,26,32
4,47,56
4,27,49
1,8,18
1,10,64
1,15,34
1,4,62
4,31,64
1,6,55
4,26,41
1,21,42
2,17,64
1,8,22
1,43,45
4,14,35
1,52,54
1,4,13
1,46,52
1,18,45
4,13,25
4,55,64
1,8,55
6,16,51
1,15,18
1,47,64
2,3,16
2,13,33
1,34,44
1,29,50
1,41,60
1,6,39
1,31,43
1,8,59
4,17,44
1,30,35
13,32,41
4,30,38
4,37,54
1,4,50
1,16,60
2,35,42
1,6,43
1,11,13
16,26,34
4,33,45
1,8,63
1,38,63
1,30,39
1,10,56
2,26,37
4,30,42
4,9,53
1,4,54
4,31,56
1,12,25
1,19,41
1,44,47
1,29,58
1,6,47
1,24,64
1,54,64
4,26,33
4,56,60
1,21,34
1,16,40
1,31,51
4,7,64
4,40,41
2,17,32
4,7,11
4,14,27
1,4,58
1,45,59
4,19,50
1,7,35
1,10,36
1,4,34
4,6,30
1,13,43
4,43,46
4,50,62
9,28,58
4,17,32
4,19,54
1,44,55
2,3,61
1,42,62
4,37,42
4,16,53
1,4,38
4,6,34
1,19,25
4,11,57
1,29,42
1,36,58
1,20,63
1,61,64
4,10,49
2,55,64
1,16,24
1,8,51
4,23,43
4,14,64
1,47,60
4,32,52
1,4,42
4,24,28
1,7,19
1,19,29
4,34,45
4,41,61
2,3,41
1,6,35
1,13,51
6,36,57
1,23,44
1,26,45
1,18,21
1,20,43
4,30,34
6,17,35
4,32,56
4,16,61
36,56,58
1,4,46
1,55,64
1,10,24
1,22,34
2,3,45
19,33,45
2,33,45
1,4,22
4,6,18
1,18,25
4,10,33
2,3,49
