1,60
1,7
1,64
1,48
1,52
1,56
4,6
1,36
1,44
3,17
56,58
1,32
1,8
4,39
1,12
1,16
1,20
1,4
1,61
1,41
1,45
1,49
4,60
4,64
1,37
6,64
4,48
1,25
4,32
4,40
8,33
2,31
42,48
1,50
1,58
1,34
1,38
1,42
2,3
1,46
4,53
1,26
1,30
2,44
1,10
25,36
4,25
1,59
1,6
1,43
1,51
1,27
1,31
4,9
1,35
4,42
1,19
4,50
1,23
4,32,35
1,4,25
1,21,58
4,6,50
1,6,18
1,34,52
1,28,50
1,12,53
1,30,43
6,12,24
4,32,39
1,8,14
2,3,28
1,19,45
1,6,51
1,59,62
4,33,53
1,26,32
1,28,54
4,47,56
35,54,64
1,15,34
4,19,25
14,54,57
1,4,62
1,39,56
4,31,64
1,34,60
1,6,55
1,11,25
1,23,64
2,3,8
1,8,22
1,37,43
1,52,54
1,4,13
1,6,59
3,17,56
4,33,61
1,46,52
4,25,64
2,17,44
1,10,48
4,31,48
4,51,53
1,6,39
1,18,49
2,14,47
1,8,59
25,47,56
19,32,35
2,32,35
1,30,35
1,48,52
1,4,50
1,39,44
3,12,17
1,34,48
1,29,54
4,33,45
1,23,52
4,18,32
1,8,63
1,38,63
1,30,39
4,25,48
1,4,54
2,33,53
1,6,47
4,26,33
1,21,34
12,33,47
1,48,60
1,20,55
4,15,35
1,8,43
1,4,58
1,45,59
4,19,50
1,44,51
2,3,57
43,49,64
1,47,52
1,4,34
1,16,44
1,19,21
1,41,48
1,6,27
1,23,36
6,12,57
1,8,47
4,16,53
1,4,38
1,22,26
1,6,31
1,36,58
4,40,49
1,23,40
4,6,10
1,31,35
1,8,51
33,48,54
3,33,53
4,14,64
1,32,49
1,35,50
4,16,57
1,4,42
6,34,64
4,41,61
2,3,41
1,6,35
1,26,45
1,32,53
1,35,54
1,8,31
1,4,46
2,3,45
1,4,22
5,34,56
4,48,57
1,6,15
13,40,43
1,30,64
4,32,60
1,8,35
1,15,51
1,45,51
1,60,62
4,14,48
1,10,28
2,3,49
1,12,50
1,24,60
4,16,41
1,4,26
1,26,53
2,3,25
1,6,19
4,13,38
1,40,61
1,43,62
1,32,37
1,10,32
1,42,54
32,41,46
1,4,30
4,42,57
4,6,55
4,41,49
2,3,29
1,6,23
1,24,40
1,18,62
1,23,32
4,38,48
4,45,64
1,20,31
1,32,41
1,30,48
1,37,64
6,12,29
4,32,44
1,8,19
15,33,50
1,14,51
4,11,53
2,3,33
1,19,50
1,27,45
1,4,10
1,16,20
1,21,43
1,31,60
1,30,52
6,12,33
2,3,37
15,18,19
1,4,14
2,3,13
4,48,49
1,6,7
1,8,27
1,15,43
4,14,40
1,12,42
1,27,53
1,22,59
1,4,18
1,6,64
1,11,34
34,35,52
2,3,17
1,6,11
1,34,45
6,12,41
4,45,52
4,24,61
1,12,46
4,39,48
1,10,53
4,6,47
4,46,64
4,33,46
1,14,15
4,45,56
4,18,33
4,7,32
1,8,64
1,43,58
1,4,55
4,31,57
1,24,36
1,19,42
1,22,43
1,29,59
1,18,58
4,56,61
1,14,19
1,21,35
1,18,34
1,48,61
1,8,15
1,10,61
28,58,64
1,4,59
1,7,36
1,19,46
1,27,41
2,3,58
2,33,58
1,4,6
4,33,54
2,3,5
4,23,64
4,53,64
1,15,64
1,4,63
1,45,64
1,12,34
1,37,40
1,10,41
4,16,25
2,3,62
1,6,56
2,48,49
1,16,49
4,6,35
2,3,9
1,19,26
1,34,37
1,6,32
1,8,52
1,50,62
1,7,44
1,25,34
1,32,50
1,4,43
1,46,53
4,31,45
1,19,30
1,29,47
1,6,36
4,10,54
4,40,54
1,8,56
1,32,54
34,49,56
4,25,41
4,16,62
1,4,47
1,11,63
4,31,49
1,12,18
1,14,64
2,3,46
1,6,40
1,13,56
1,21,27
1,23,49
1,31,44
4,23,52
1,35,59
4,25,45
4,9,50
1,4,51
2,3,50
1,6,44
1,4,27
1,16,37
1,51,60
1,6,20
1,36,47
17,42,48
1,45,56
6,7,27
1,32,38
2,3,54
2,44,55
4,59,64
2,33,54
1,42,55
1,4,31
1,11,47
4,31,33
1,21,64
1,51,64
6,33,45
4,53,60
1,6,24
4,40,42
1,8,44
1,15,60
1,32,42
4,32,45
4,16,50
1,4,35
1,11,51
4,42,62
1,14,52
1,36,55
4,6,7
1,8,48
2,49,59
4,22,56
1,32,46
4,25,33
4,16,54
1,4,39
4,29,48
4,6,64
4,41,58
1,22,27
1,27,50
1,4,15
1,16,25
1,21,48
4,48,50
1,20,40
3,31,61
4,32,53
1,8,28
1,12,43
1,42,43
1,19,59
1,27,54
4,16,34
1,4,19
1,6,12
1,8,32
1,15,48
1,10,25
1,12,47
4,16,38
1,15,24
1,52,64
1,4,23
1,14,40
1,18,55
4,47,50
1,12,51
1,30,41
1,37,57
1,8,12
4,6,52
4,41,46
1,24,37
1,34,54
3,29,56
1,30,45
4,30,48
4,37,64
3,5,64
2,41,54
18,44,45
1,4,60
6,24,36
2,8,53
1,4,7
1,6,53
1,59,64
1,20,32
1,40,42
1,50,59
1,4,64
1,4,11
1,21,44
1,46,50
26,48,60
1,28,36
6,10,41
4,39,41
1,22,56
3,37,41
4,33,63
1,14,32
4,6,40
1,36,64
4,45,49
4,7,25
4,5,32
4,19,64
1,32,55
4,37,52
4,14,17
1,4,48
1,16,58
1,11,64
4,46,61
1,34,46
1,6,41
4,40,59
1,8,61
1,30,37
1,32,59
1,10,54
4,32,62
3,5,56
1,4,52
31,34,64
1,44,45
2,3,51
21,56,58
4,33,47
4,40,63
4,6,24
4,18,34
4,43,64
4,15,33
31,39,64
1,35,64
1,4,56
2,3,55
2,38,49
1,6,49
1,47,50
19,50,64
1,23,58
4,6,28
1,26,59
1,56,59
1,6,25
1,18,35
4,25,54
1,8,45
1,7,37
1,32,43
4,6,32
1,26,63
1,56,63
6,33,50
35,53,57
1,20,61
4,50,64
1,8,49
4,15,17
2,3,63
1,35,48
1,47,58
1,42,64
4,32,50
4,21,49
1,4,40
16,29,54
1,29,44
4,10,51
1,31,37
1,8,53
1,38,53
2,14,17
4,32,54
4,9,43
4,16,59
1,4,44
1,12,15
1,7,21
4,34,47
1,10,22
1,22,32
1,29,48
1,6,37
1,27,55
4,6,16
4,15,25
4,25,42
4,32,58
2,24,38
4,57,64
1,45,49
2,3,47
1,19,64
1,54,58
1,49,64
41,47,50
4,21,33
1,4,24
1,16,34
1,26,51
4,48,59
4,25,46
1,8,37
19,26,64
2,26,64
3,33,39
24,30,45
1,32,35
1,12,52
4,32,38
3,5,32
1,4,28
1,14,45
2,3,27
4,48,63
1,6,21
1,38,41
1,32,39
1,37,62
4,32,42
3,5,36
1,4,32
15,33,48
4,26,64
4,28,33
1,34,59
1,18,64
30,41,48
2,15,17
2,22,33
1,35,44
4,9,35
1,8,21
1,7,13
1,39,59
1,27,47
4,33,60
1,25,60
1,8,25
1,39,63
4,29,49
1,4,16
4,42,43
2,15,25
1,18,48
1,25,64
1,8,29
4,57,60
4,24,59
1,7,50
1,37,50
1,49,60
4,49,63
1,14,37
1,39,43
1,46,59
6,31,41
1,34,47
1,43,56
3,5,57
2,36,53
1,4,53
1,16,63
1,46,63
4,6,49
4,51,60
1,6,46
4,10,64
1,31,50
1,20,25
1,4,57
4,6,53
1,19,44
1,27,39
1,6,50
1,59,61
4,6,29
2,17,59
1,18,36
1,48,63
4,25,55
1,4,61
1,19,48
2,3,60
1,6,54
1,14,25
1,16,47
1,46,47
4,6,33
3,32,38
1,19,24
4,10,48
4,18,19
1,50,60
2,3,64
4,49,55
1,4,41
1,16,51
2,20,44
1,41,55
1,6,34
1,23,43
6,12,64
1,8,54
2,11,41
1,37,46
1,10,47
1,35,53
4,30,33
4,37,49
1,4,45
4,6,41
4,33,40
1,28,41
4,6,17
1,8,58
4,23,50
4,30,37
4,25,43
4,32,59
1,15,50
1,4,49
1,6,42
6,36,64
4,33,44
1,16,35
4,6,21
4,7,59
1,36,45
1,25,44
1,32,60
4,25,47
1,8,38
4,17,23
1,32,36
4,34,56
35,41,64
2,33,52
1,24,63
1,4,29
4,6,25
30,56,58
1,13,38
6,12,52
1,8,42
1,7,34
1,32,40
1,10,35
1,47,51
4,32,43
1,14,50
1,7,10
2,3,32
1,36,53
4,35,50
2,17,35
1,8,46
1,26,36
6,7,33
1,32,44
1,10,39
1,15,38
1,4,37
4,19,29
1,14,54
4,6,62
2,3,36
4,6,9
1,35,49
4,9,40
1,8,26
22,42,48
1,7,18
1,39,64
1,24,51
9,40,47
4,60,62
1,6,10
1,30,59
1,8,30
3,6,33
4,29,54
1,42,45
1,19,61
1,27,56
1,52,62
1,4,21
4,48,56
1,41,64
1,8,34
1,4,47,53
4,42,51,62
1,4,42,59
1,20,32,54
1,34,51,61
1,6,12,55
2,3,33,52
1,12,47,51
1,19,26,42
1,4,11,51
4,6,53,59
1,32,40,59
1,4,14,52
1,16,39,63
1,23,30,64
1,4,19,22
4,6,15,35
1,6,25,49
1,4,22,23
2,3,5,45
1,4,29,39
1,4,6,28
1,4,24,45
1,4,13,44
1,4,16,21
1,18,27,47
1,8,12,21
1,4,23,37
