85,666
82,2604
82,2760
82,85
82,3306
82,2664
82,916
82,648
739,1378,1867
82,85,2363
82,85,269
82,85,1692
82,367,624
132,1089,2533
82,85,2176
82,85,3062
2566,2806,2893
838,1250,2539
82,85,1936
85,527,1639
82,85,2070
13,82,85
82,85,2420
85,1249,2884
82,85,1883
82,85,3306
85,1484,2861
875,1191,1962
1036,1360,3109
82,85,757
82,85,1375
82,85,220
82,85,570
85,716,3312
85,1378,3134
82,85,3095
82,725,2808
37,85,1410
82,1000,2184
57,82,2270
262,1344,1763
82,85,2371
82,85,2050
82,85,1513
82,85,1863
82,85,871
82,545,1929
82,85,3233
27,82,85
82,85,2912
69,82,3137
82,85,147
82,271,2754
85,1216,2867
38,190,2489
82,85,2001
82,85,2351
82,85,3290
82,85,1814
82,85,2164
85,97,2417
82,85,1790
82,2792,2926
82,1460,3041
12,82,85
82,85,1066
66,82,85
82,85,2489
82,85,2839
82,85,1310
82,2450,2949
82,85,3217
85,530,1498
411,1036,1474
82,85,936
82,85,2172
82,85,428
82,85,2416
85,1901,2393
82,975,2469
85,967,2070
82,85,1290
82,85,1558
82,85,2526
82,85,432
82,85,2660
82,85,2339
82,85,1184
82,85,2152
82,756,2333
82,86,1757
82,85,2286
82,85,192
82,85,2770
82,85,1965
82,85,1160
82,1870,3138
85,1652,2929
85,650,2314
85,630,2786
82,459,893
82,1342,2674
33,82,85
42,82,85
82,85,3014
1356,2496,3120
82,670,1894
82,85,1485
554,1737,2021
82,85,1969
82,85,3258
82,85,2587
82,85,493
82,85,2721
82,1088,2702
82,85,3205
85,1043,2370
82,85,2079
82,85,924
82,2816,2996
82,85,416
82,85,2644
82,85,1034
82,85,1973
82,85,363
82,85,1652
82,85,2270
82,85,2754
82,1064,3088
82,85,2083
82,1660,3044
82,85,1278
82,85,123
82,85,3185
82,85,2030
717,2056,2944
85,453,2803
82,85,1709
82,85,2945
82,85,2758
82,85,2892
82,85,1766
82,85,961
82,85,1900
82,85,3189
82,85,2384
82,397,942
82,85,1713
82,85,2197
1093,1458,2260
864,1387,2218
82,960,1537
82,85,347
82,85,2575
82,85,965
82,85,1904
82,2018,2386
82,85,912
85,457,3013
19,82,2869
85,3185,3311
82,85,1827
82,85,3116
66,85,497
82,85,485
85,1702,2370
648,2720,3110
82,85,2258
82,85,1453
82,85,2742
82,85,648
82,85,1587
82,85,2876
82,85,2205
82,648,2668
82,85,461
82,85,1400
82,85,2689
82,85,2823
82,85,1213
864,2855,3103
82,85,2502
82,85,408
82,85,1697
82,1111,2227
82,177,428
82,85,2262
82,85,168
85,555,2911
82,85,3177
833,1251,2370
82,85,3311
85,2464,2620
70,82,85
76,1901,2021
82,85,91
61,1129,2535
82,85,2803
1252,2057,2117
82,85,1648
1666,1678,3055
82,85,2563
82,354,2953
82,85,3047
82,85,1571
82,85,766
82,85,1250
82,85,2189
82,545,1019
1901,2082,2393
82,1059,2342
82,85,2486
85,314,1276
82,85,2299
82,1145,2413
85,172,1250
82,85,152
30,82,85
82,85,2059
82,85,3161
82,85,880
82,592,1219
82,85,3108
82,85,209
82,1854,2756
82,85,640
82,85,3218
82,802,2188
82,85,453
82,85,1742
82,85,3165
82,85,884
82,85,2173
82,85,2925
82,85,831
82,650,990
82,85,1181
6,85,3312
82,85,1262
82,85,457
85,190,1088
82,85,2043
82,85,1372
82,85,701
82,85,1990
82,85,3279
82,85,1185
82,85,2474
681,2574,2754
82,85,1803
82,1435,2296
82,85,998
6,32,85
82,85,2287
82,85,811
82,85,3039
135,898,2755
82,85,2718
82,85,1563
82,85,2047
85,1348,1578
82,85,3149
1639,1963,3202
82,85,868
82,85,1807
82,85,2157
82,85,1299
82,85,494
82,85,2856
82,85,307
85,1682,2343
82,85,2214
82,85,3153
82,85,1677
82,85,2779
82,85,1974
82,85,1169
82,1964,2541
82,85,498
82,2177,2917
82,85,3076
82,85,1116
82,2374,2760
82,85,1600
85,1709,2212
82,85,1734
6,13,1710
85,622,1027
85,650,981
82,85,608
82,85,742
82,1257,2252
82,85,2970
85,2602,2668
85,1384,2562
82,85,555
85,386,2468
82,85,502
82,85,2893
82,85,2088
85,354,2021
82,85,128
57,85,2366
82,85,1901
82,85,1230
82,1225,1458
2318,2608,3083
82,85,2653
82,85,559
82,85,3137
82,85,1043
82,85,1527
82,85,1661
82,85,1795
82,916,1134
82,85,2145
82,85,990
82,85,1474
1251,2276,2370
85,2023,3185
82,85,2897
82,85,803
82,85,2092
54,82,85
82,86,2531
82,367,971
82,85,3141
82,670,3013
82,85,2336
82,85,2767
82,85,2901
82,85,2580
395,1578,2011
82,85,620
82,85,3198
82,85,2206
85,2929,3080
82,85,112
82,411,1036
802,965,2086
82,1661,1833
82,85,1348
82,85,3121
82,85,1161
82,85,2450
394,1671,2573
82,85,2584
85,1942,2370
82,434,2848
82,85,1108
82,916,1683
82,85,2694
82,85,3312
82,85,1702
82,85,2641
1375,1988,3296
85,483,836
85,1927,3034
82,85,2320
59,289,3201
82,85,360
82,1109,3312
85,1960,2206
85,2348,2853
82,85,657
82,85,1596
82,756,1269
82,2548,2861
82,85,2995
82,85,96
82,980,2371
82,85,2808
25,82,1302
82,85,2137
82,85,3239
82,354,1185
82,2059,2404
82,85,2434
82,85,1897
82,85,1092
82,1059,2587
82,1037,3312
82,85,2999
82,85,1389
82,85,2678
82,85,234
82,85,1523
82,85,2007
85,666,1115
20,82,85
82,85,397
85,1087,2544
82,85,1015
1371,1642,2604
52,82,85
85,1571,2177
82,113,648
82,85,1767
82,2484,2990
1360,2861,3109
653,2790,3089
82,85,3190
85,713,774
82,85,775
82,85,3003
82,494,2649
82,2639,2664
82,640,3306
82,166,2968
805,1452,1955
73,167,1768
82,85,832
82,85,2121
82,85,511
82,2968,3028
82,85,1584
82,85,1934
82,2007,3003
904,1551,2382
82,85,2068
85,666,1310
1937,3053,3278
85,1780,2010
82,85,592
82,85,2365
82,85,271
82,85,1560
82,85,889
85,1672,1969
82,2413,2729
82,85,2125
85,1104,2882
85,1096,2724
85,1087,1857
82,1098,2637
82,85,2422
82,85,328
7,85,1931
7,82,2548
82,85,2853
85,1378,1416
85,1635,2361
61,1632,2535
82,85,3284
82,85,2613
82,85,1808
19,82,85
82,85,1942
82,85,198
85,1056,2979
82,85,2052
82,990,1474
82,85,710
82,85,2617
82,85,1007
82,92,1507
82,85,2109
82,85,2243
82,85,3292
82,85,1198
766,1795,2884
82,85,877
82,85,1629
82,85,2597
82,85,503
82,2742,2760
82,85,934
82,85,1873
82,85,3162
154,395,1389
85,1532,1603
82,85,2841
82,85,1231
82,85,1499
82,85,2788
82,85,1178
82,85,2467
82,85,373
82,85,1312
82,85,507
85,884,1006
82,85,3085
205,330,2926
82,85,3219
82,1250,1814
85,1761,3269
82,85,2227
85,303,1283
85,2685,3225
82,86,3284
82,152,2270
82,1109,3195
82,85,1666
82,85,3089
85,1571,2023
82,85,1479
82,85,2768
82,85,674
82,85,2581
82,1716,2161
85,2332,2552
85,807,1654
85,190,2057
85,1114,1478
82,85,1052
1577,2242,3076
82,1845,2301
85,2023,2897
82,85,865
181,2272,3088
85,1452,1955
82,1704,1858
85,484,1863
85,114,1635
85,2078,3013
82,85,1914
82,85,2532
82,1226,2851
82,85,3016
82,357,1610
82,85,1056
82,85,735
85,818,2465
82,85,3313
82,85,869
82,85,1219
82,85,2158
85,864,2944
82,85,1487
82,85,1971
82,85,2886
85,837,2630
82,85,3020
82,85,1276
41,85,2505
873,1286,2215
82,85,1410
82,144,2929
82,85,2162
85,1632,3062
82,673,2145
1805,2445,2562
462,1135,1444
741,2533,3106
85,967,1629
82,85,1788
82,85,3077
82,85,2272
82,85,178
85,1250,2533
82,85,2219
82,85,2569
82,85,125
82,85,1414
85,1342,3090
82,85,2650
82,85,3000
455,942,2950
82,85,1845
82,85,3134
82,85,1040
82,85,719
82,85,2276
82,85,2760
670,1090,2563
82,85,1768
82,85,3057
85,1088,1725
82,85,2870
82,609,2274
82,85,3138
82,85,105
85,2536,2566
82,85,2333
82,1968,2484
85,710,2786
1802,2531,2665
40,82,85
82,85,2146
82,85,1341
82,1080,2103
82,85,3248
82,85,349
82,85,1638
82,85,483
82,354,873
82,85,833
82,85,3195
82,85,646
271,666,1115
85,2049,2720
82,972,2761
38,85,803
82,85,1345
82,85,2634
82,85,1024
82,85,1158
82,85,1642
82,85,837
82,85,1776
82,85,971
82,85,1321
82,85,166
82,85,1939
85,837,1817
85,2260,2786
82,85,2020
82,85,2370
85,2102,3034
82,85,2183
82,85,89
82,85,1996
479,1089,2944
82,85,1325
82,85,170
85,834,2245
82,85,2748
82,85,1943
82,85,2882
85,2342,2468
9,2316,2469
82,85,2077
82,85,146
58,82,85
82,2711,3200
82,85,227
73,589,1742
82,85,845
82,85,1195
85,94,666
82,697,2890
82,85,2484
82,85,1947
82,706,2765
82,85,2862
82,85,1065
82,85,394
82,85,2622
82,85,1817
82,650,1037
82,85,3106
82,85,3240
69,1929,2996
82,85,638
82,1472,1952
85,1290,1424
82,358,2704
996,1038,1134
85,1734,2059
82,1460,1568
82,870,2826
82,2368,2711
82,2125,2761
82,85,1313
82,85,1931
82,85,321
82,85,1744
82,922,1032
82,85,3167
82,85,2041
82,85,886
82,85,2175
37,82,85
6,82,467
82,85,996
82,85,3224
82,1974,2789
85,1584,2339
82,85,3037
82,85,2232
85,1818,3137
82,243,673
82,85,756
76,1066,3174
82,85,2984
85,2059,2178
82,85,382
82,2089,2125
454,1762,2019
82,85,1000
82,992,2212
82,85,947
82,85,1297
82,85,142
82,85,2720
82,2339,2680
82,85,2854
82,85,1378
82,85,1862
82,85,2346
1232,2316,3138
85,2189,2469
82,85,2293
1095,1632,1854
85,1558,1634
82,85,817
82,899,1359
82,85,1785
85,1761,1806
85,120,2156
85,154,181
82,85,443
82,85,256
961,1123,2760
85,1259,1384
82,85,553
61,82,85
82,85,1842
85,2191,3137
85,394,2573
82,85,1305
82,2225,2826
82,1224,2867
82,85,2891
12,32,772
82,85,370
82,1171,1435
82,85,183
82,85,1472
82,85,1903
2308,2533,2979
82,85,2952
82,85,1342
82,85,2765
702,2186,2218
82,1568,2177
1447,1704,2917
82,916,2506
82,85,484
82,2000,2452
82,85,3196
82,85,297
82,1310,2460
82,85,915
82,85,244
28,82,85
82,85,541
82,85,2769
82,85,3253
82,85,488
82,738,3096
82,85,3066
82,85,972
82,85,1106
82,1578,2011
82,1038,2126
82,85,114
82,85,2692
85,563,2210
85,228,1842
64,85,3057
82,85,2505
82,85,545
85,388,2691
82,85,2452
82,85,358
82,85,1781
82,85,976
85,1562,2450
82,358,1619
82,85,2562
82,85,602
85,1095,2051
82,85,281
85,2179,2505
82,916,1632
82,85,549
82,85,2806
82,85,2940
82,85,3237
82,1458,1730
82,849,1622
82,85,1761
82,85,151
82,85,1224
82,85,2513
615,2023,2083
85,513,1863
82,85,1037
82,85,232
82,85,2810
259,1738,1894
82,85,2944
85,402,666
82,85,529
82,85,1952
82,349,2533
82,85,1281
277,616,2918
85,426,2325
82,85,2383
82,85,289
82,85,773
82,85,2814
864,1796,2534
85,1946,2802
82,85,533
1671,2090,2952
82,85,212
82,85,1501
85,497,1980
82,898,1602
82,1548,2623
2343,3071,3234
82,85,777
85,360,367
82,289,2246
82,1117,2187,2211
82,85,2151,3207
82,85,143,270
82,85,1523,1544
82,85,648,913
305,1068,1718,2957
85,325,1152,3039
82,85,545,1323
82,85,315,2150
82,85,107,3167
82,85,2176,2593
82,266,1378,2528
85,576,1270,2404
1113,1990,2720,3028
82,85,2357,2762
82,464,981,2205
82,307,922,1032
85,1027,2370,2867
515,627,867,1342
82,85,714,2932
85,1342,1721,1897
82,85,1543,2383
82,85,2587,2769
82,756,2065,3082
82,724,872,1012
82,85,276,1901
85,176,2119,2241
82,85,588,675
82,85,347,1552
82,85,2086,3318
82,673,793,3190
9,1450,1597,3253
82,85,1127,2646
82,85,939,2595
82,85,395,1973
85,292,1038,1896
13,82,85,2554
51,82,1405,1458
82,85,3030,3099
85,418,719,2851
85,873,1199,1527
82,85,221,234
82,85,416,1641
82,85,349,769
82,85,405,1990
154,395,847,1389
82,85,2417,2602
85,1372,1832,2259
82,85,2232,2822
82,85,341,1416
82,85,2708,2751
82,85,2579,2721
82,85,416,2125
82,533,1302,1375
411,580,1036,1474
82,85,414,2052
82,1081,2184,3140
82,85,1897,3074
82,717,1477,2575
82,695,1611,1614
82,85,2801,3076
82,85,855,1771
82,85,1560,2876
82,85,685,2649
82,85,1237,3162
85,1474,2632,3273
66,82,1348,2705
57,82,583,2270
82,85,588,622
329,617,1466,2567
82,85,1303,2819
19,82,85,3243
85,582,622,1132
1227,1549,2216,2299
82,85,712,792
82,85,1235,1506
82,245,2489,3023
85,1120,2439,3053
575,2342,2407,2468
82,85,843,3318
82,85,2381,3108
82,517,1766,2891
82,85,1998,2939
82,697,846,2890
82,85,912,2626
85,503,1290,1424
416,575,1161,2268
85,833,1184,3041
82,85,1679,3269
1449,2056,2983,3105
82,1042,2332,2532
82,2120,2198,3253
199,994,1037,1062
28,82,85,321
82,85,2244,2808
82,85,848,2320
82,85,699,2197
85,768,1857,1885
82,85,2932,3158
333,560,945,1216
85,1901,2360,3175
82,85,1957,3077
85,94,666,669
42,85,202,2662
85,1523,2653,3034
82,85,2334,3185
82,85,2270,3200
82,85,998,2748
82,85,2778,2825
82,85,1735,2260
73,82,85,589
32,85,781,2006
82,85,1350,3149
82,85,1589,2384
82,85,2174,3037
82,85,2517,2622
85,1672,1936,2945
288,427,1935,2420
82,569,992,2130
82,85,181,2205
82,85,333,2976
82,85,1900,2006
82,85,662,2262
82,85,1623,2613
82,85,683,1237
82,85,2397,2946
82,85,2075,2895
82,85,2552,3234
832,837,2957,3049
82,85,1180,2177
22,164,2147,2627
495,963,2342,2990
1714,2575,2640,2928
833,1251,2370,2429
82,85,1897,2326
82,85,250,1623
82,85,988,1552
82,85,1109,3010
82,85,1210,1372
85,1360,2372,3109
82,85,127,627
85,217,1345,3088
82,85,2580,2867
82,85,827,2142
82,85,868,3082
85,741,1167,2090
82,1088,2089,2702
36,85,2145,2810
82,85,971,1840
82,870,2345,2651
82,85,190,2214
82,135,598,1355
42,85,559,1878
82,85,981,2154
82,85,710,2980
82,85,1064,2165
85,434,2764,2848
82,85,503,2232
1037,1966,2601,2765
1100,1417,1748,3308
82,85,488,2489
14,82,85,2877
82,716,1977,2574
82,85,2283,3224
82,85,484,3255
85,138,750,2215
82,85,545,1437
1770,2034,2637,3141
82,619,2626,3285
82,85,3219,3272
85,358,455,2544
82,85,686,1803
82,383,1178,3121
82,85,2444,2471
82,85,971,3076
82,85,509,951
82,85,2546,2724
85,1294,2864,2973
85,1790,2147,2215
82,941,1725,2890
82,85,261,2296
82,725,2442,3312
82,85,834,845
82,85,271,1671
82,85,1685,3088
82,85,981,1430
912,1122,1796,1957
82,85,1817,2052
82,85,1109,1965
85,192,1672,3253
82,85,1284,1939
82,1124,1716,2161
82,640,1638,2201
258,743,1797,3076
42,82,85,2191
85,1199,1221,1708
516,1376,2182,2449
82,85,2555,2650
52,82,85,2997
82,85,1637,2726
82,85,516,3224
82,1086,1651,2639
1206,2753,3112,3244
82,85,2306,2430
82,85,2222,2732
85,1767,1859,3137
82,85,1523,1768
85,608,1108,3024
82,936,2546,3290
82,85,262,2040
52,82,1786,1840
82,85,1145,3016
85,333,907,2802
864,1387,2218,2877
82,85,1019,1564
82,355,1568,2177
82,85,592,1877
961,1123,1806,2081
82,85,2191,3074
82,85,781,995
82,85,1619,3033
82,1722,1951,2172
85,650,981,1554
82,85,1825,2320
85,608,1938,2379
818,1767,1795,2884
35,82,85,872
85,220,1040,3020
648,1713,1824,2954
82,85,2145,2809
12,82,85,1690
85,849,2078,2213
85,535,653,919
82,85,178,2505
82,85,1642,2346
82,85,1666,2932
85,1250,1627,2533
189,1957,2124,2347
82,85,684,2434
82,85,1140,2485
82,85,2108,2876
82,85,884,1741
357,1657,1840,3137
82,85,1108,1607
82,85,441,1521
82,85,1287,2481
82,85,1161,1968
82,85,2778,2805
85,1057,2499,3050
82,790,2639,2664
82,1087,2732,3081
85,386,812,2475
44,82,85,3101
82,85,1112,3149
82,85,740,1291
85,1387,2383,3174
85,177,200,1116
14,82,85,2397
85,810,2323,2787
82,85,513,1261
85,1519,1611,1614
82,85,417,2842
82,85,2538,2808
1105,1781,2035,2904
27,82,85,483
