85,3138
85,801
82,536
82,85
82,2960
82,1785
85,778
85,1746
85,3234
585,2248
1632,1859
82,237
82,1473
85,2471
82,2348
43,82,85
82,85,1879
26,82,85
82,1580,3261
82,85,3302
82,85,1692
82,2821,3274
82,432,1934
85,458,3213
46,85,1282
82,85,1639
85,416,1056
82,85,163
82,606,1689
82,85,3225
13,82,85
82,85,1265
82,85,460
85,1407,2986
82,85,3038
82,85,1078
67,469,2572
82,488,2086
82,85,2985
82,2221,3232
200,1191,2119
82,2239,2444
82,1121,1304
82,85,3282
85,1991,2826
184,1288,1926
82,85,2127
82,85,1322
82,85,2745
82,85,1753
82,85,143
716,936,1393
85,688,2931
613,1039,3073
82,1320,2486
82,85,895
85,195,2461
82,85,1379
85,1434,2644
82,85,1997
85,258,879
3,82,1819
82,85,1192
82,85,1810
82,85,3233
82,85,2428
27,82,85
82,901,1428
85,1288,1424
85,423,706
85,183,1888
82,85,1383
82,993,3221
85,2537,3315
82,85,578
82,85,3156
82,85,1546
85,1357,3204
82,85,2969
82,85,875
82,133,1184
82,85,1440
82,85,3213
82,85,2408
82,85,3026
82,85,2221
85,3026,3028
82,85,3160
66,82,85
82,85,261
85,628,1305
82,85,2973
82,85,1497
82,85,2465
82,721,2460
85,2015,2729
82,159,454
145,2406,2660
85,721,2652
82,85,1123
82,131,1415
82,85,265
82,2637,2669
85,3171,3250
85,1090,1474
85,2266,2702
82,85,1367
82,85,2656
317,1859,2721
82,85,859
82,85,3087
649,2106,2534
85,719,2960
82,85,993
82,85,2282
82,85,1127
82,85,672
82,2272,2978
82,85,2095
801,1217,1384
1975,2096,2660
82,546,829
1126,1320,2562
258,2158,2745
332,387,2567
82,993,2270
82,85,2660
879,1387,3118
82,85,1050
82,85,1184
82,1184,1277
85,1354,1931
82,85,1668
82,85,2957
585,2248,2478
82,85,997
82,85,1965
82,2103,2475
85,1152,3301
82,85,2583
82,130,2891
82,85,1778
82,85,2717
67,82,85
82,85,436
25,82,85
82,85,2022
82,85,2290
393,1258,2213
82,85,680
82,85,1164
82,85,2103
82,85,977
82,85,2534
82,85,119
82,85,2347
82,85,1542
82,85,2965
82,85,2644
85,838,1188
85,2620,2977
82,85,497
82,85,3075
82,486,1809
82,85,1599
64,82,85
82,85,2083
712,1639,2283
837,3008,3315
85,1253,1377
82,85,741
82,85,3319
82,85,1225
82,85,1359
85,142,416
1383,2288,2675
82,85,2461
82,85,367
640,1687,3021
82,85,851
82,85,180
82,85,1603
82,85,1953
82,85,1282
82,660,3044
82,85,1095
721,804,2063
82,85,2034
85,179,1778
82,85,2518
82,258,2125
82,85,1205
943,1390,1706
402,833,1508
82,85,534
82,85,2762
141,1424,1671
1877,2289,2795
82,85,1636
523,1178,1344
82,630,657
1410,1542,2883
82,1731,2516
82,85,160
82,85,2522
82,85,1396
82,85,2335
82,85,2685
82,85,1530
85,1177,1500
82,85,1343
82,364,2047
21,82,822
408,1104,3299
82,988,2516
82,85,217
1246,1413,3048
82,740,1692
82,85,2929
65,82,85
48,82,85
82,85,164
20,82,2080
82,85,2392
82,85,1587
738,2788,2994
82,85,3010
85,216,2955
82,85,1400
82,85,729
82,85,2018
82,85,408
82,376,2277
82,85,1697
82,85,2315
82,85,221
82,85,1644
85,2661,2703
82,85,3067
82,85,168
82,85,1404
82,85,949
82,85,1083
82,177,1961
82,85,412
82,85,762
82,85,2185
82,85,2319
85,513,2124
2818,3074,3271
82,85,709
85,900,2091
82,85,1998
82,85,843
82,85,1327
82,817,2939
82,85,3234
82,85,2429
85,1025,1470
82,85,1274
82,85,469
82,179,1393
82,630,1450
82,85,3047
82,85,282
82,85,2994
82,85,1384
82,85,1518
85,107,1170
85,502,2049
82,1428,2939
82,209,993
82,85,1815
804,2067,2696
26,85,3165
82,85,1762
82,85,152
82,85,2543
82,85,1872
549,1771,1968
82,85,1819
82,85,2787
82,85,2921
82,204,1808
82,85,2600
861,1328,2091
82,85,156
85,730,1127
82,85,2734
85,1249,3064
367,486,2847
82,113,2501
85,1378,2399
82,1616,2781
82,85,3165
85,622,1035
1406,1502,2636
85,1816,2438
82,85,1555
82,85,400
82,85,1689
82,85,884
82,85,2173
82,85,3112
1975,2274,2660
367,993,2572
82,85,994
82,85,807
85,659,785
82,85,754
82,85,2043
82,85,1372
82,85,2795
82,85,3279
82,85,1319
85,2498,3138
82,85,2608
85,1075,1362
82,85,1937
82,85,2287
82,85,3226
82,738,1512
82,85,811
82,85,3039
82,85,945
82,85,2368
82,899,1621
82,85,1376
21,82,3299
82,85,571
82,85,2478
82,85,2157
85,474,558
82,85,2909
82,85,815
82,85,1299
38,2473,3079
394,2666,2989
82,85,1112
82,85,1246
85,235,3177
82,1934,2327
82,208,2994
82,85,685
85,2620,2628
82,85,311
85,487,2412
82,85,2218
82,85,1063
82,85,608
82,85,2836
82,85,1494
82,85,1307
82,207,626
82,85,986
82,85,2275
82,85,1470
85,2216,3226
82,85,2088
82,85,1283
1128,1705,2685
82,85,2706
82,85,612
85,965,3143
559,2538,3299
82,85,2035
82,85,425
82,85,3137
85,1285,1351
85,1445,2117
718,1261,2049
85,869,1636
82,85,3084
82,85,185
82,85,1474
82,85,1958
82,85,803
82,227,2549
71,82,85
718,1506,2929
82,85,1771
85,113,1642
82,85,1100
718,1671,2833
1262,2282,2448
85,2250,2922
82,88,3118
82,85,726
1635,2372,2886
82,85,2954
82,85,2283
82,85,2901
82,85,970
82,85,165
82,85,2393
82,85,112
82,85,2958
82,85,3308
53,82,85
866,2666,2816
81,82,2359
82,85,3068
82,85,974
82,85,2263
99,512,2084
321,2709,3021
82,85,1271
82,85,466
82,85,1405
82,85,600
85,1958,2424
82,85,1084
82,85,3312
82,85,413
82,85,897
82,85,3259
82,85,2938
82,85,2133
82,85,2267
85,288,2438
85,2787,3168
85,1699,2244
85,1039,3137
82,1589,2719
82,773,3099
82,209,616
2213,2624,3238
82,85,417
82,85,1706
82,85,1840
85,1205,2114
85,187,1689
82,85,2137
82,561,3005
82,85,2271
85,545,3304
85,354,944
64,85,2986
82,1555,2820
82,85,474
82,85,1763
85,258,458
82,1078,1808
85,507,3040
82,85,2060
82,892,1752
82,832,2370
85,1778,2114
82,85,2812
82,85,2007
82,85,2141
3,82,85
82,85,1336
82,85,210
82,1003,3250
82,85,1633
82,85,2922
85,847,3138
85,1778,2976
82,85,1580
82,85,104
82,85,535
82,85,1824
82,85,3247
85,1579,2018
82,85,1316
82,85,511
82,444,1383
82,544,2903
82,85,1129
85,1778,3143
82,85,1397
85,932,1378
26,85,1003
82,85,1023
82,85,1373
85,2285,3218
82,85,515
82,85,1804
85,323,2266
85,1877,3289
85,2380,2755
1580,3261,3296
82,85,1617
82,85,1751
85,2465,2601
21,82,2653
82,85,1564
82,85,2853
82,85,1377
721,910,1966
85,2469,3234
76,85,487
82,85,1324
36,82,85
85,2471,2473
82,85,1434
82,85,763
82,85,2052
82,85,92
82,85,2670
85,290,3184
82,85,576
82,85,1194
82,85,523
82,2299,2881
82,85,1007
82,85,2430
82,85,820
82,85,149
82,1700,1908
85,1608,2049
82,85,1064
82,85,259
82,85,1361
82,85,2918
82,2235,2608
82,85,637
82,85,1926
82,85,3215
82,2905,3289
82,643,2797
82,1908,2912
82,85,2117
82,1188,2278
82,1739,2700
85,113,2501
82,85,1475
85,482,1138
82,85,1743
82,510,579
82,85,617
82,85,2845
82,85,1182
85,488,2620
82,85,377
82,85,861
82,85,2150
59,82,85
82,85,3223
82,85,1479
82,85,674
82,85,1613
82,85,2902
82,85,487
85,1698,2788
82,85,1105
85,1152,3112
82,85,3012
192,258,2158
85,362,2729
82,85,2288
82,85,1967
202,2378,3042
82,85,2719
85,1761,2285
82,85,304
82,85,2211
82,85,1056
82,85,2345
288,1098,2545
85,893,3040
82,85,548
82,85,1971
82,85,1166
1476,1478,2405
85,2385,3108
85,970,2378
82,85,1300
82,85,1650
82,85,2589
82,548,778
82,85,1918
82,85,174
82,85,3020
85,3031,3045
82,85,2028
82,85,1223
82,85,1841
1548,1742,2703
82,85,1975
544,1258,2213
82,85,2459
85,738,1122
82,85,2272
82,85,2406
82,85,2756
85,2788,2994
82,85,796
82,85,2569
82,85,1414
1478,2405,2501
82,85,1093
82,85,288
82,85,1227
82,85,2516
82,104,1603
82,85,1711
82,788,1938
72,82,85
82,85,3268
567,1291,1961
82,85,369
82,85,1337
82,85,2276
26,85,593
82,85,2439
82,123,1121
82,85,613
82,85,2520
85,2007,2008
82,85,910
901,1199,1743
82,85,1394
85,1806,1939
82,85,2951
82,85,3301
82,85,2146
613,869,1632
82,384,1892
82,85,3114
82,85,670
82,85,2443
841,879,1410
82,898,1121
85,1337,2620
82,85,1585
82,85,2874
174,939,2801
85,1636,3008
85,309,1344
82,85,3008
85,560,1289
33,718,908
82,85,1532
82,85,3118
82,1170,3289
82,85,1158
82,85,837
82,85,1776
82,85,2557
82,85,597
82,85,3175
82,85,410
82,425,451
82,85,2638
21,82,1178
85,98,433
82,85,2801
82,670,2673
82,320,1513
85,323,1169
1455,1548,2114
82,85,841
40,82,2781
82,660,993
82,85,1138
82,85,1272
82,85,467
82,1164,2754
82,85,1569
82,85,414
85,1075,1746
82,209,560
82,531,2250
82,85,1382
82,85,577
82,85,1813
85,2527,3057
82,85,203
830,1985,2831
82,85,2378
82,830,2831
82,85,768
85,2114,2731
82,85,97
357,1508,2534
82,1632,2527
85,296,3138
82,85,2004
82,85,3293
82,534,2285
82,85,1630
63,82,85
82,1687,2804
82,85,1309
82,1470,2577
82,85,1443
82,85,1256
82,85,2679
82,85,585
301,2081,2603
82,85,1553
82,85,2492
82,291,624
82,85,1687
85,150,3160
85,2640,2918
82,85,2496
85,1689,1702
85,571,1530
82,85,699
82,85,1988
82,85,1183
82,85,1317
82,85,2740
82,85,3090
