85,1158
82,1592
82,2515
82,1454
456,2515
82,625
85,850
82,85
82,976
85,2136
85,266
82,1937
85,1914
82,85,403
85,98,2975
82,85,1826
82,85,3115
82,1257,2881
82,85,834
82,85,1318
82,85,2607
82,85,1936
82,85,2070
82,659,2692
82,85,1749
82,85,594
82,85,3172
82,85,3119
82,85,2664
85,873,3296
82,85,838
82,85,383
1645,2245,2280
82,760,3181
82,85,2745
82,85,651
82,85,1940
85,515,2251
82,85,464
119,294,2469
82,85,1432
82,1317,2054
82,85,1566
82,85,761
397,584,1314
82,85,2184
82,85,1379
2049,2731,2922
85,1786,1941
823,1170,3155
85,1247,1826
82,85,1810
85,1826,2686
82,85,1757
82,85,952
82,85,1436
82,85,1570
82,2632,2691
1314,1797,3209
82,85,1249
82,85,444
85,1583,2474
82,85,2351
82,85,1680
82,85,204
82,85,1493
82,1159,1393
82,244,3056
352,722,2408
82,85,1924
82,85,2408
82,85,2542
82,85,448
85,266,2954
85,615,1795
82,85,127
82,85,1066
66,82,85
82,85,2302
82,85,1497
85,130,1914
82,85,1981
82,85,2920
82,85,1176
82,85,2733
82,1159,3304
82,2097,2890
463,643,2480
82,85,1741
85,257,3193
82,85,2977
82,1077,2799
82,85,428
647,1570,1681
82,85,562
82,85,2790
82,85,3140
85,1967,2448
82,85,375
85,354,1463
82,85,859
82,85,1798
10,85,2221
82,185,903
85,770,1957
82,1415,2017
82,85,432
82,85,2660
82,85,916
82,85,1050
82,85,245
85,570,1068
82,85,192
82,85,2904
82,85,1160
82,85,1294
85,2190,2768
82,85,1428
85,2820,3298
82,85,623
78,82,1444
82,85,1107
82,85,2046
355,1838,2640
33,82,85
82,85,1725
82,85,2343
82,85,249
374,2528,3267
82,85,1672
82,85,2022
82,578,3244
82,523,1093
85,640,2726
82,85,2290
85,1066,1600
82,85,1969
85,1557,1810
677,1104,2653
82,85,493
82,85,3205
82,562,1800
85,1818,3305
82,85,1595
82,85,2534
82,85,790
82,85,2213
82,858,1382
82,85,2965
