103,105
103,162
103,134
80,103
74,103
2,103
70,103
103,123
103,131
103,168
103,115
41,103
103,160
103,164
103,189
103,197
38,103
32,103
103,108
103,169
4,103
100,103,165
32,80,103
27,108,115
32,103,144
32,80,160
103,108,138
103,115,154
101,103,197
42,70,103
3,28,103
103,108,195
3,32,35
32,103,148
7,68,103
102,103,160
68,103,160
3,160,167
108,115,178
32,87,103
42,103,108
25,103,108
32,103,152
103,108,146
108,115,182
27,32,108
36,103,115
103,128,160
32,103,132
32,81,103
7,103,108
27,108,160
7,75,103
2,103,166
81,103,108
32,56,103
25,108,115
103,108,130
32,103,193
103,108,134
8,32,103
103,160,166
31,32,103
14,32,103
68,103,128
32,103,197
103,108,191
8,32,160
103,127,193
8,103,108
32,103,120
65,103,108
2,5,103
36,103,160
103,108,171
103,115,187
103,123,158
32,103,124
103,115,134
3,66,160
74,99,132
42,103,137
32,95,103
32,103,128
2,103,162
27,70,108
70,103,163
90,103,115
32,103,108
71,103,128
103,180,192
43,71,108
80,103,125
32,64,103
32,94,103
32,103,165
103,160,162
32,103,112
38,103,195
89,103,160
88,103,108
83,108,160
32,64,160
108,115,195
3,97,103
108,128,160
108,158,160
32,103,169
27,115,160
32,108,115
20,97,160
28,32,103
11,32,103
32,108,196
103,154,162
103,149,168
3,103,195
32,41,103
32,71,103
74,103,115
32,101,103
49,103,115
103,115,159
28,103,108
11,103,108
85,103,108
68,103,108
32,46,103
3,74,103
70,103,131
73,97,103
75,103,130
103,108,151
13,103,197
32,160,183
103,172,193
100,103,158
1,103,160
27,68,115
4,103,163
55,103,131
32,108,160
73,103,168
3,103,130
16,103,115
10,103,166
32,103,137
70,103,115
103,108,131
108,160,178
103,149,160
57,103,160
103,108,188
27,103,146
32,103,141
103,108,135
103,115,151
27,115,185
20,27,115
32,160,167
10,103,146
71,103,108
55,103,168
103,108,192
55,103,115
13,32,103
32,103,145
103,108,139
32,81,116
7,115,160
8,32,108
3,103,114
103,115,131
11,100,103
17,103,115
79,103,139
13,103,108
36,103,108
97,103,195
23,103,166
3,32,146
103,108,119
2,103,159
85,115,147
27,115,116
32,84,103
108,143,160
32,103,182
70,103,160
4,70,101
103,108,123
103,115,139
83,115,193
3,57,103
32,55,115
19,27,115
36,39,103
27,75,103
10,75,103
5,103,115
103,160,183
38,64,103
48,115,160
32,48,103
12,70,103
27,103,114
32,101,197
103,115,119
32,103,190
32,115,176
103,115,176
2,3,103
17,103,160
97,103,130
103,108,164
3,27,115
38,103,147
32,85,103
27,83,115
103,108,168
8,42,103
17,32,115
32,103,121
103,108,115
32,115,160
27,58,115
96,103,115
103,108,172
11,103,137
16,103,132
103,115,164
90,103,108
105,115,160
85,115,176
103,162,197
32,62,103
1,32,103
48,103,146
103,131,193
1,103,108
64,75,103
103,115,172
17,32,103
70,103,197
7,103,195
108,167,195
38,103,115
21,103,115
10,27,146
32,103,166
103,108,160
95,103,115
1,32,87
8,103,130
74,103,108
81,103,171
115,160,165
38,103,172
96,103,160
103,108,193
108,115,119
48,103,134
103,162,189
3,103,115
32,93,103
103,108,197
14,103,108
103,108,144
20,108,115
103,115,160
86,115,160
65,103,138
32,38,103
3,96,103
32,160,176
45,103,115
16,103,108
32,103,130
70,103,108
3,32,98
4,103,160
32,100,103
75,103,131
103,115,197
103,108,128
2,103,168
32,45,103
32,75,103
27,103,115
2,103,115
70,99,103
27,45,108
99,103,123
32,103,191
32,103,138
32,75,160
20,32,108
3,103,160
3,133,160
27,36,103
32,48,108
103,115,124
26,103,131
32,48,55
16,103,173
100,160,165
3,79,115
103,141,166
75,103,115
32,99,103
32,115,128
103,108,112
103,115,128
41,103,177
68,101,108
99,103,160
27,72,115
1,108,115
5,32,103
103,115,185
69,103,146
103,107,108
103,105,115
5,32,160
97,103,115
108,122,168
32,103,179
70,115,116
103,115,189
20,115,160
103,160,176
103,108,120
32,76,103
74,108,115
27,161,165
27,103,160
