3,6,27,28,34
1,5,7,29,89
1,7,8,10,83,107
5,6,17,27,42,137
7,8,10,31,40,76
2,3,29,36,102,118
1,8,10,14,49,83
4,5,16,30,88,158
2,3,13,29,102,124
2,3,22,27,28,77
2,11,21,28,132,199
2,4,45,47,86,121
1,5,7,11,90,163
2,3,13,22,29,91
1,3,28,29,51,142
4,5,6,37,87,114
4,5,19,26,41,174
2,4,21,48,63,97
1,5,26,39,49,142
2,3,27,28,29,36
2,7,29,46,89,130
1,5,7,30,40,163
2,7,11,53,66,129
2,3,22,28,29,47
2,4,14,33,45,121
7,12,13,16,29,40
1,9,26,28,61,75
1,5,30,62,188,198
3,16,28,32,34,116
1,5,30,62,127,188
3,8,13,49,83,155
1,8,10,14,83,100
2,3,13,29,102,134
2,3,36,49,102,147
2,17,22,27,28,120
3,6,25,28,47,87,176
1,3,22,28,49,67,182
1,5,7,11,53,127,163
1,14,15,33,43,104,122
2,4,21,46,48,143,177
3,6,28,34,83,110,184
3,6,8,22,58,81,82
2,4,14,33,110,117,121
1,3,8,49,74,92,102
3,9,13,43,57,128,164
2,3,22,27,29,120,121
2,4,14,30,63,67,69
4,5,16,40,53,73,143
2,7,13,48,49,85,156
1,3,8,28,94,135,191
2,3,28,29,91,110,180
1,10,14,43,68,91,167
1,3,9,28,29,108,126
3,6,34,50,52,115,136
2,4,14,45,56,63,132
2,11,21,28,67,84,178
2,4,14,33,110,113,121
1,5,7,33,40,53,163
1,3,8,28,49,83,92
2,14,45,49,63,103,194
1,3,8,22,28,49,83
2,7,13,45,49,134,195
2,3,13,22,66,67,166
1,3,9,22,28,67,151
2,3,22,27,28,29,120
1,8,11,21,28,90,173
2,11,35,56,60,86,132
1,11,15,24,50,72,169
1,3,9,22,28,91,190
5,6,11,25,40,91,131
1,3,8,22,49,83,163
1,5,7,11,40,53,163
1,5,11,39,40,146,167
2,3,22,29,115,133,143
5,6,17,27,39,145,146
4,5,6,33,37,40,57
3,8,20,22,58,94,152
4,5,16,30,40,41,141
3,9,13,16,83,123,163
2,3,28,29,36,119,179
2,3,36,49,63,67,179
2,7,29,46,101,106,179
1,11,15,24,44,143,154
1,7,8,10,38,90,159
4,5,6,33,40,57,148
1,5,11,39,40,50,146
1,7,10,24,38,49,90
1,8,10,22,49,71,83
6,11,15,18,21,28,50
1,5,11,39,50,62,193
1,8,11,21,40,141,154
1,3,8,22,28,83,135
2,4,45,65,67,118,166
5,6,11,87,91,138,148
1,3,8,28,49,92,108
1,3,8,22,49,74,141
2,7,46,48,49,59,61
1,9,14,30,43,103,162
4,14,33,57,88,113,165
3,19,27,29,32,34,36
1,5,7,11,53,105,172
1,8,10,14,49,99,120
3,8,20,40,58,94,196
1,3,8,22,28,160,169
1,3,8,22,74,160,161
1,3,8,22,28,83,160
1,5,11,50,105,143,144
1,9,14,15,43,67,107
4,10,24,45,92,155,175
2,14,33,45,80,121,178
1,3,8,108,135,140,141
1,3,9,28,67,103,151
3,6,22,51,94,120,197
1,3,8,22,49,74,83
3,6,8,22,27,78,120
3,6,22,50,51,91,96
1,9,14,15,83,107,185
1,5,11,39,50,171,193
1,15,22,24,44,83,98,104
3,8,20,22,49,58,78,94
3,6,8,28,87,91,94,139
1,10,14,49,67,103,141,186
1,9,26,61,67,93,111,167
1,9,14,67,93,107,146,151
2,3,13,29,46,91,110,179
1,3,22,29,50,94,106,115
1,7,8,10,40,48,49,94
2,13,14,67,84,85,102,168
2,4,14,30,63,69,110,132
3,9,16,22,28,29,32,125
1,5,22,29,62,104,141,173
3,6,8,22,27,28,120,137
6,10,22,43,54,88,120,157
1,7,8,10,38,49,90,94
4,10,14,41,50,69,70,134
1,8,10,40,79,159,160,167
3,6,8,22,28,83,87,137
1,3,28,49,94,120,172,182
3,8,13,22,87,91,128,163
1,5,22,50,74,89,143,187
1,3,9,22,29,43,91,160
7,8,10,31,40,48,49,94
3,6,25,27,28,51,120,137
3,6,8,22,58,78,82,94
6,8,10,37,38,94,109,139
1,3,8,22,28,91,94,135
1,3,8,40,49,92,94,141
3,6,8,40,52,81,82,91
1,7,8,38,49,64,94,105
4,5,26,41,47,53,95,166
3,6,22,43,57,58,115,169
6,8,11,21,40,81,131,192
2,11,23,36,53,54,132,185
1,3,8,22,28,49,94,120
2,11,21,35,54,77,132,182
3,6,8,22,78,88,91,94
1,5,11,39,53,146,149,193
5,6,26,47,58,137,143,170
4,6,10,14,43,52,67,153
1,3,22,29,43,50,115,169
1,5,11,50,62,90,173,193
5,6,27,37,114,171,183,188
5,6,11,25,40,50,112,143
1,3,28,55,92,108,135,151
2,4,21,46,63,67,69,150
1,3,9,22,29,141,143,189
7,10,31,41,48,49,94,200
1,3,9,22,28,29,91,160,189
1,3,22,28,29,50,51,91,94
3,9,13,16,22,29,125,141,143
1,7,8,10,48,49,61,94,120
4,6,10,14,43,67,118,176,181,187
