6,60,114,173,181
48,56,77,88,176
82,91,176,181,195
91,173,176,181,195
8,30,63,88,140
10,51,86,99,120
31,83,114,126,171
11,77,128,162,184
39,85,93,114,119
4,75,150,173,175
31,55,121,169,181
48,59,77,143,193
3,102,128,152,184
32,37,77,88,114
46,48,68,116,143
19,31,93,176,188
13,21,43,69,195
26,115,130,140,176
48,49,82,177,181
48,56,77,162,176
48,77,168,177,181
1,62,111,182,198
30,67,105,128,141
44,105,135,136,143
2,48,56,63,91,180
5,77,145,147,156,184
115,117,154,158,174,176
4,15,87,127,158,196
15,69,110,131,185,197
37,88,91,102,176,200
8,77,119,128,141,173
14,25,76,85,120,143
8,48,77,105,145,173
3,78,166,169,179,191
12,51,77,83,105,145
6,21,71,120,131,187
2,11,134,173,177,178
46,49,119,149,192,197
8,91,167,173,178,181
36,48,71,82,143,177
41,92,94,120,125,163
4,10,124,158,169,179
24,98,161,173,180,195
48,67,93,119,176,180
9,37,97,125,196,199
48,77,115,143,176,177
48,97,134,149,158,173
21,37,82,101,149,186
4,6,67,79,82,181
30,42,84,119,131,185
6,34,48,71,115,194
65,105,145,149,158,173
37,89,97,102,177,184
3,6,78,115,143,176
37,88,90,102,158,176
53,82,91,149,176,193
58,103,127,161,188,197
17,90,173,176,181,195
6,10,60,112,173,176
4,10,37,88,125,177
95,105,110,173,180,197
4,86,115,158,165,181
21,28,104,114,122,151
2,89,103,150,161,173
10,31,41,48,94,173
4,5,6,57,115,173
36,48,82,87,162,176
36,48,82,143,176,177
17,37,57,167,177,181
21,25,77,142,154,187
47,59,69,160,186,193
6,24,48,97,145,173
37,44,95,105,136,160
25,76,82,87,91,176
4,5,19,37,87,158
37,57,125,167,177,181
5,39,77,114,119,193
4,6,97,114,118,181
7,12,30,95,114,118
10,78,101,115,142,173
37,57,99,136,158,181
5,19,42,88,91,118
6,44,80,114,122,181
30,44,103,105,162,166
15,29,115,136,173,177
20,118,145,166,179,198
12,32,37,44,74,109
64,105,135,143,177,187
5,11,58,77,105,143
4,53,104,132,158,176
2,21,99,120,143,195
31,59,77,114,173,181
6,48,61,97,119,194
9,57,123,157,160,162
5,7,19,53,116,138
48,57,99,148,158,181
40,51,93,99,110,180
4,6,10,24,79,181
82,158,169,177,181,191
27,48,74,158,165,181
18,20,43,50,60,160
48,61,94,115,139,149
34,59,81,118,141,172
5,11,77,105,141,172
95,105,136,149,173,197
37,105,144,167,177,196
8,30,62,95,105,110
8,63,85,128,137,148
17,46,63,64,149,192
21,35,39,77,156,194
4,57,62,95,110,173
13,43,57,110,176,177
5,16,96,156,183,188
3,29,108,119,126,141
33,89,95,150,175,197
57,109,158,169,176,181
11,60,158,169,173,177
2,4,48,115,143,177
21,104,105,158,166,173
6,48,61,67,82,100
7,25,38,109,156,176
34,80,114,144,180,196
115,136,137,158,166,172
6,57,88,109,176,180
21,77,82,105,177,191
19,133,172,185,198,199
36,75,110,162,176,185
94,107,115,158,181,196
48,82,94,105,113,158
53,68,105,136,143,190
32,55,123,129,130,154
7,20,33,87,145,160
21,48,77,82,149,176
65,105,113,158,169,177
9,13,111,137,143,171
48,57,91,173,178,181
24,28,77,84,151,198
4,6,44,71,82,94
53,93,111,128,162,184
21,82,90,104,176,194
4,6,21,71,79,82
4,6,88,114,173,180
21,41,48,120,131,149
71,94,171,185,196,199
6,28,37,94,119,176
6,21,79,138,168,183
21,48,74,158,180,185
4,95,97,150,159,190
4,64,94,115,135,158
4,48,56,57,115,134
20,60,158,173,176,181
4,6,10,124,169,177
4,6,21,71,79,180
38,54,55,70,86,130
31,45,72,94,135,171
4,53,73,158,176,180
29,35,68,120,171,194
77,78,82,105,143,177
48,72,94,115,119,134
42,119,128,131,174,189
4,39,57,108,134,165
2,45,105,121,147,190
21,48,74,143,158,185
7,13,48,82,156,176
2,47,48,97,149,199
2,21,48,77,168,177
8,21,48,77,82,105
4,6,21,71,124,177
21,41,48,77,185,194
20,22,49,60,70,157
4,21,124,158,169,177
6,21,71,82,83,156
4,30,57,88,140,176
48,56,93,153,162,184
2,21,48,67,105,180
35,38,49,64,80,87
11,105,141,149,155,199
48,70,105,143,158,185
91,163,173,176,180,195
2,7,46,61,106,195
106,115,117,154,158,176
21,48,149,158,173,176
12,37,57,115,139,189
35,47,87,95,136,159
4,6,21,97,114,173
4,10,141,173,176,180
48,59,67,105,135,143
48,119,163,173,176,180
8,105,120,145,152,173
11,127,134,158,173,177
17,39,87,98,140,195
8,105,145,152,167,173
36,48,62,173,176,193
30,79,102,133,138,199
10,63,99,137,142,148
16,30,76,141,154,176
57,144,151,173,176,181
46,48,127,130,162,184
20,94,158,173,176,181
2,33,48,97,121,162
31,48,62,93,176,188
4,37,64,87,117,150
20,111,158,166,173,181
18,63,73,153,180,195
11,53,105,128,162,164
48,91,135,176,183,188
20,21,149,158,173,176
31,60,110,114,173,180
8,23,48,77,87,168
6,11,134,169,173,177
93,111,113,119,134,169
17,75,136,149,168,198
27,48,74,116,158,181
19,26,47,93,154,176
4,21,48,120,143,158
48,77,82,103,105,177
53,67,93,117,148,184
5,11,50,58,105,143
6,17,48,57,134,162
4,6,10,37,79,88
78,105,167,169,173,177
10,71,104,136,151,173
6,42,43,57,115,169
1,26,89,111,143,161
40,51,72,94,110,163
4,16,24,56,122,181
37,49,82,117,177,181
82,90,94,158,181,191
8,30,76,79,140,166
2,48,49,67,103,105
65,105,158,169,173,177
30,76,105,155,158,183
9,97,134,158,173,177
2,4,21,97,132,143
20,94,147,164,173,181
6,14,18,43,52,176
48,58,82,105,113,143
6,8,21,37,82,90
11,50,51,105,109,128
31,60,110,152,173,176
48,105,135,143,158,177
111,123,139,162,175,189
2,4,33,48,115,177
8,23,48,59,77,168
28,53,62,91,100,176
10,37,144,167,177,181
4,56,57,115,140,176
6,8,21,71,82,83
33,48,93,106,162,176
15,18,97,98,125,135
8,22,82,129,141,169
2,17,48,103,168,177
27,48,148,158,165,181
6,43,57,71,170,177
27,36,67,69,151,186
1,48,115,144,149,173
2,48,80,118,177,180
47,52,66,97,125,172
31,107,143,165,170,198
4,5,57,115,144,173
2,21,101,147,149,173
9,26,75,107,145,175
10,48,68,91,173,181
4,15,53,79,159,164
33,48,93,106,115,176
4,57,128,173,176,177
4,6,50,97,134,173
21,28,37,77,176,177
33,53,73,75,162,176
15,29,65,76,169,173
4,30,47,87,140,176
68,91,113,128,153,157
13,21,40,41,48,82
1,26,48,67,105,143
6,8,48,87,145,160
2,4,21,48,120,143
35,49,82,87,145,195
2,30,85,129,166,198
48,49,67,85,103,145
6,11,60,81,173,177
48,49,82,103,105,177
44,80,98,122,165,181
2,22,33,47,53,199
48,81,82,99,130,193
6,37,88,109,114,122
4,6,44,94,118,181
31,47,55,81,89,93
77,78,82,92,103,177
22,60,61,82,121,194
2,21,48,105,149,199
2,4,86,115,132,173
2,36,115,146,154,187
3,6,94,115,119,176
30,87,102,124,158,169
8,21,48,99,105,199
14,50,93,165,171,188
13,21,41,48,82,157
34,53,56,66,76,180
57,150,151,173,176,181
48,103,105,144,173,177
98,102,103,161,183,195
35,42,52,56,77,115
20,22,94,158,173,175
4,6,79,82,181,193
6,8,21,48,71,168
10,76,91,173,176,180
10,37,99,136,158,181
3,94,106,139,172,182
4,10,79,158,159,181
10,55,158,169,176,181
4,10,37,128,176,177
71,97,129,147,156,184
104,144,173,176,181,195
4,21,71,143,164,177
2,47,48,67,72,156
57,95,136,151,173,197
4,57,111,158,159,181
64,85,118,137,142,156
2,4,48,56,63,97
2,30,103,105,177,186
2,48,59,77,115,143
4,30,57,87,140,176
13,21,123,127,132,158
4,21,82,104,158,176
21,48,67,74,143,165
6,18,21,156,176,194
5,6,115,119,147,173
6,24,48,97,119,173
1,11,50,67,72,90
82,146,176,181,187,195
6,17,57,118,136,192
37,38,109,128,149,176
24,48,57,173,178,181
9,63,99,136,192,196
2,21,48,99,105,199
18,20,29,40,124,160
6,21,42,48,120,143
9,13,56,86,123,162
37,77,83,115,119,149
22,89,95,97,163,173
14,83,131,142,171,185
9,111,118,141,192,200
8,17,108,135,140,141
27,37,102,114,128,183
4,6,10,37,40,177
35,51,77,105,145,147
10,103,134,169,173,177
52,100,112,141,149,176
8,10,49,141,153,155
14,33,57,88,99,136
14,44,77,103,110,162
23,39,49,87,108,195
17,82,90,176,181,195
16,45,47,72,81,147
29,65,115,143,144,177
26,115,130,143,154,176
21,48,149,158,165,176
4,6,114,173,181,193
